,CV,Zer,MDFAnnZer,CVAnnMDF,CVAnnZer,HSNum,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,C_MDFM,M_MDFM,C_MinM,M_MinM,C_MaxM,M_MaxM,PSFloodThreshold,PS1YrARI,PS2YrARI,AS10YrARI,AS20YrARI
CV,1,0.227118057,0.113796434,0.84589763,-0.165414226,0.215773124,0.938853372,-0.396291953,0.080279765,-0.450119082,0.676145838,0.214903642,-0.158619882,0.710396338,-0.433791289,0.474430634,0.3320729,0.183160151,0.700532841,0.599078194,0.657131309,0.732889022,-0.779604406,0.653258767,0.409157524,-0.39110702,-0.214045185,-0.15422679,0.463347632,-0.587247321,-0.087737591,0.395268346,0.64566816,0.868615817,0.916938535
Zer,0.227118057,1,0.970513402,0.349446331,-0.401172091,-0.122619059,0.297477799,0.249514762,-0.350608955,0.123742036,-0.030235689,0.050763568,-0.556472508,0.592363134,-0.602291971,0.377140894,0.625673057,0.166256396,0.555831739,0.547733496,0.021605043,0.412864413,-0.271738394,0.661411281,0.654895748,-0.1856626,0.485336086,-0.208851588,0.761398949,-0.434362768,-0.31779352,-0.021763225,0.302346262,0.293002498,0.186686979
MDFAnnZer,0.113796434,0.970513402,1,0.205271216,-0.415111095,-0.253032756,0.181767664,0.326968663,-0.431688609,0.21387708,-0.08804354,-0.007061448,-0.529167698,0.477530384,-0.573228116,0.341506699,0.587875747,0.142957563,0.430674235,0.426064284,-0.080740472,0.310616507,-0.148904437,0.582048649,0.588894414,-0.084248904,0.516329295,-0.106961479,0.718225601,-0.326065002,-0.348146147,-0.115289197,0.180586079,0.199340603,0.112754833
CVAnnMDF,0.84589763,0.349446331,0.205271216,1,-0.143321783,0.132885733,0.775948474,-0.02010896,-0.161863399,-0.143179877,0.498139514,0.400366306,-0.344871652,0.830800472,-0.655932531,0.630231883,0.597115031,0.272200261,0.537000134,0.452828341,0.771648746,0.763257747,-0.60405328,0.690128609,0.471894539,-0.701980562,-0.056599931,-0.536865359,0.430839485,-0.703391874,-0.37593456,0.163482879,0.424096162,0.594683648,0.663247623
CVAnnZer,-0.165414226,-0.401172091,-0.415111095,-0.143321783,1,-0.048076865,-0.091471758,-0.055480556,-0.04629161,0.321084115,-0.374803634,-0.20767703,0.052508693,-0.472758539,0.538547142,-0.477321502,-0.220595659,-0.042462232,-0.248397308,-0.15742438,0.055592134,0.026883086,0.265091886,-0.149936437,0.004357429,0.018600141,0.218489025,-0.077554049,-0.241738304,-0.071450012,0.133965613,-0.334019452,-0.166594733,-0.221868777,-0.147859078
HSNum,0.215773124,-0.122619059,-0.253032756,0.132885733,-0.048076865,1,0.135443473,-0.619774453,0.881063429,-0.618270983,0.168788981,-0.199662612,0.138018364,0.226954125,0.070671327,-0.123117978,-0.268304647,-0.122941403,0.413822988,0.43434213,0.046066207,-0.044882242,-0.515128851,-0.122742063,-0.261387929,-0.270278715,-0.527707635,-0.14332682,0.065780563,-0.192183337,0.596174119,0.580780145,0.454303684,0.24496263,0.153046339
HSPeak,0.938853372,0.297477799,0.181767664,0.775948474,-0.091471758,0.135443473,1,-0.452370183,0.010072,-0.409306503,0.522781832,0.140312286,-0.120755741,0.636435103,-0.371345617,0.422275311,0.310824644,0.217064988,0.773044077,0.668371946,0.663637651,0.759810827,-0.694155515,0.673706208,0.52502094,-0.334124519,-0.073872994,-0.167763007,0.441787493,-0.605789698,-0.070311541,0.44984042,0.778401029,0.932743932,0.950736033
HSMeanDur,-0.396291953,0.249514762,0.326968663,-0.02010896,-0.055480556,-0.619774453,-0.452370183,1,-0.723337868,0.630142245,-0.154377663,0.477502755,-0.417341136,-0.025475146,-0.242317919,0.309109938,0.490778571,0.278446384,-0.534309874,-0.516892314,-0.191707638,-0.176488081,0.407778291,0.112387623,0.188128817,-0.124093811,0.513212275,-0.203670566,0.064909589,-0.039030335,-0.597001844,-0.645967335,-0.657947215,-0.579952101,-0.543542242
MDFAnnHSNum,0.080279765,-0.350608955,-0.431688609,-0.161863399,-0.04629161,0.881063429,0.010072,-0.723337868,1,-0.716597547,0.198341198,-0.24639935,0.33699108,-0.050331343,0.349508823,-0.258438965,-0.468776585,-0.144877085,0.299657974,0.304078692,-0.187292359,-0.248387216,-0.420360944,-0.337482525,-0.449620643,0.073399197,-0.651573024,0.227975935,-0.12066784,0.082122831,0.802405071,0.634032637,0.416273568,0.207319663,0.099374036
CVAnnHSNum,-0.450119082,0.123742036,0.21387708,-0.143179877,0.321084115,-0.618270983,-0.409306503,0.630142245,-0.716597547,1,-0.660035779,-0.184495202,-0.402816232,-0.233639911,-0.081919357,-0.0922832,0.29273108,-0.175677561,-0.464922154,-0.307570531,0.052603451,0.014870507,0.63992913,-0.018465118,0.134225422,-0.1771007,0.592812085,-0.370469473,-0.018728193,0.027883692,-0.508866131,-0.707455901,-0.58851803,-0.616101037,-0.513186319
