,CV,Zer,MDFAnnZer,CVAnnMDF,CVAnnZer,HSNum,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,C_MDFM,M_MDFM,C_MinM,M_MinM,C_MaxM,M_MaxM,PSFloodThreshold,PS1YrARI,PS2YrARI,AS10YrARI,AS20YrARI
CVAnnHSPeak,0.676145838,-0.030235689,-0.08804354,0.498139514,-0.374803634,0.168788981,0.522781832,-0.154377663,0.198341198,-0.660035779,1,0.593027435,0.077706575,0.462915537,-0.247999216,0.472434817,0.184168501,0.406136971,0.295207085,0.115360417,0.185417409,0.238744672,-0.67427013,0.32046283,0.116775745,-0.008039775,-0.369474446,0.279391186,0.219089758,-0.118090719,-0.07004692,0.284593326,0.358043341,0.613943424,0.617730081
CVAnnHSMeanDur,0.214903642,0.050763568,-0.007061448,0.400366306,-0.20767703,-0.199662612,0.140312286,0.477502755,-0.24639935,-0.184495202,0.593027435,1,-0.063282446,0.251360706,-0.198494322,0.586772088,0.409695546,0.653331562,-0.088850835,-0.220714536,0.069597229,0.096044291,-0.159023362,0.236143271,0.146954768,-0.131557553,-0.018267626,-0.079404667,-0.042866156,-0.144310485,-0.2761337,-0.084973171,-0.03109515,0.10299506,0.09222579
LSPeak,-0.158619882,-0.556472508,-0.529167698,-0.344871652,0.052508693,0.138018364,-0.120755741,-0.417341136,0.33699108,-0.402816232,0.077706575,-0.063282446,1,-0.365264839,0.317105445,-0.292071534,-0.616916743,-0.122003823,-0.161440982,-0.294795001,-0.057007253,-0.181420703,0.316360986,-0.496161283,-0.545085625,0.488580099,-0.464196824,0.400136198,-0.779956837,0.588186695,0.307381824,0.17396278,-0.017512215,0.03195573,0.053307147
LSMeanDur,0.710396338,0.592363134,0.477530384,0.830800472,-0.472758539,0.226954125,0.636435103,-0.025475146,-0.050331343,-0.233639911,0.462915537,0.251360706,-0.365264839,1,-0.847236587,0.712566759,0.61895755,0.320489092,0.651600172,0.583223779,0.457287935,0.648282741,-0.684340706,0.751245501,0.46086278,-0.57831358,-0.086776567,-0.429845745,0.593790851,-0.619663409,-0.306493934,0.216595107,0.461200052,0.591055763,0.587078499
MDFAnnLSNum,-0.433791289,-0.602291971,-0.573228116,-0.655932531,0.538547142,0.070671327,-0.371345617,-0.242317919,0.349508823,-0.081919357,-0.247999216,-0.198494322,0.317105445,-0.847236587,1,-0.741470974,-0.622557731,-0.244168313,-0.315421522,-0.274288681,-0.4513275,-0.550132083,0.294550458,-0.56122994,-0.309456538,0.529868183,0.006117625,0.436678641,-0.423340277,0.374613081,0.577311298,0.107122626,-0.137235129,-0.301314349,-0.35681137
CVAnnLSNum,0.474430634,0.377140894,0.341506699,0.630231883,-0.477321502,-0.123117978,0.422275311,0.309109938,-0.258438965,-0.0922832,0.472434817,0.586772088,-0.292071534,0.712566759,-0.741470974,1,0.655602164,0.663071631,0.291224282,0.232788566,0.31015995,0.430868495,-0.398869872,0.608990235,0.281257569,-0.467994751,-0.089744108,-0.323423191,0.291895696,-0.475614591,-0.32399283,0.096990074,0.258372035,0.386208805,0.387883212
CVAnnLSPeak,0.3320729,0.625673057,0.587875747,0.597115031,-0.220595659,-0.268304647,0.310824644,0.490778571,-0.468776585,0.29273108,0.184168501,0.409695546,-0.616916743,0.61895755,-0.622557731,0.655602164,1,0.386668889,0.329205621,0.318757689,0.304036129,0.481899813,-0.230452993,0.715471402,0.49788692,-0.470639008,0.370029509,-0.414832449,0.509252256,-0.547466461,-0.512717685,-0.243058875,0.101310699,0.19164785,0.184615111
CVAnnLSMeanDur,0.183160151,0.166256396,0.142957563,0.272200261,-0.042462232,-0.122941403,0.217064988,0.278446384,-0.144877085,-0.175677561,0.406136971,0.653331562,-0.122003823,0.320489092,-0.244168313,0.663071631,0.386668889,1,0.134191427,0.024153854,-0.129354352,0.076392433,-0.318755696,0.424464153,0.292872832,-0.083532299,0.023480983,-0.015820893,0.118438493,-0.313636127,-0.123496773,0.038637779,0.222090078,0.280552558,0.219066134
MRateRise,0.700532841,0.555831739,0.430674235,0.537000134,-0.248397308,0.413822988,0.773044077,-0.534309874,0.299657974,-0.464922154,0.295207085,-0.088850835,-0.161440982,0.651600172,-0.315421522,0.291224282,0.329205621,0.134191427,1,0.932533664,0.304763881,0.586709764,-0.707953791,0.644908474,0.483924619,-0.227883467,-0.030217092,-0.111885491,0.5692404,-0.574131551,0.222491181,0.607172853,0.869227573,0.827815265,0.711231339
MRateFall,0.599078194,0.547733496,0.426064284,0.452828341,-0.15742438,0.43434213,0.668371946,-0.516892314,0.304078692,-0.307570531,0.115360417,-0.220714536,-0.294795001,0.583223779,-0.274288681,0.232788566,0.318757689,0.024153854,0.932533664,1,0.271650438,0.588731828,-0.645573775,0.607791647,0.385228929,-0.28918128,-0.029558929,-0.240093995,0.606967365,-0.567517053,0.32004531,0.492019702,0.802057142,0.699337515,0.584893042
CVAnnMRateRise,0.657131309,0.021605043,-0.080740472,0.771648746,0.055592134,0.046066207,0.663637651,-0.191707638,-0.187292359,0.052603451,0.185417409,0.069597229,-0.057007253,0.457287935,-0.4513275,0.31015995,0.304036129,-0.129354352,0.304763881,0.271650438,1,0.674486738,-0.206789563,0.321984969,0.208954167,-0.639038671,-0.087749023,-0.520333276,0.042657628,-0.4535625,-0.37060304,0.086253813,0.313401622,0.429623845,0.569530384
CVAnnMRateFall,0.732889022,0.412864413,0.310616507,0.763257747,0.026883086,-0.044882242,0.759810827,-0.176488081,-0.248387216,0.014870507,0.238744672,0.096044291,-0.181420703,0.648282741,-0.550132083,0.430868495,0.481899813,0.076392433,0.586709764,0.588731828,0.674486738,1,-0.342562367,0.655528377,0.436854624,-0.388850099,0.067657061,-0.422657098,0.376811142,-0.463597893,-0.239258595,-0.031238051,0.437226749,0.612669917,0.689439807
BFI,-0.779604406,-0.271738394,-0.148904437,-0.60405328,0.265091886,-0.515128851,-0.694155515,0.407778291,-0.420360944,0.63992913,-0.67427013,-0.159023362,0.316360986,-0.684340706,0.294550458,-0.398869872,-0.230452993,-0.318755696,-0.707953791,-0.645573775,-0.206789563,-0.342562367,1,-0.554810216,-0.347038568,0.323163856,0.302123238,0.021849843,-0.648499161,0.579479229,-0.202206888,-0.573073719,-0.69900354,-0.757463031,-0.688248062
CVAnnBFI,0.653258767,0.661411281,0.582048649,0.690128609,-0.149936437,-0.122742063,0.673706208,0.112387623,-0.337482525,-0.018465118,0.32046283,0.236143271,-0.496161283,0.751245501,-0.56122994,0.608990235,0.715471402,0.424464153,0.644908474,0.607791647,0.321984969,0.655528377,-0.554810216,1,0.756625519,-0.312488993,0.361630894,-0.270744794,0.673320548,-0.70333843,-0.341270575,0.066577437,0.434776979,0.602651755,0.565240874
C_MDFM,0.409157524,0.654895748,0.588894414,0.471894539,0.004357429,-0.261387929,0.52502094,0.188128817,-0.449620643,0.134225422,0.116775745,0.146954768,-0.545085625,0.46086278,-0.309456538,0.281257569,0.49788692,0.292872832,0.483924619,0.385228929,0.208954167,0.436854624,-0.347038568,0.756625519,1,-0.178710195,0.728635665,-0.114381148,0.680445878,-0.616600687,-0.462394677,0.040484821,0.373915285,0.421707355,0.366628427
M_MDFM,-0.39110702,-0.1856626,-0.084248904,-0.701980562,0.018600141,-0.270278715,-0.334124519,-0.124093811,0.073399197,-0.1771007,-0.008039775,-0.131557553,0.488580099,-0.57831358,0.529868183,-0.467994751,-0.470639008,-0.083532299,-0.227883467,-0.28918128,-0.639038671,-0.388850099,0.323163856,-0.312488993,-0.178710195,1,0.086956748,0.847975677,-0.285176607,0.697963796,0.2319283,-0.116979213,-0.18738359,-0.110260186,-0.185270014
C_MinM,-0.214045185,0.485336086,0.516329295,-0.056599931,0.218489025,-0.527707635,-0.073872994,0.513212275,-0.651573024,0.592812085,-0.369474446,-0.018267626,-0.464196824,-0.086776567,0.006117625,-0.089744108,0.370029509,0.023480983,-0.030217092,-0.029558929,-0.087749023,0.067657061,0.302123238,0.361630894,0.728635665,0.086956748,1,-0.047856691,0.349158904,-0.235733471,-0.500880354,-0.407522731,-0.167426408,-0.194199391,-0.233471058
M_MinM,-0.15422679,-0.208851588,-0.106961479,-0.536865359,-0.077554049,-0.14332682,-0.167763007,-0.203670566,0.227975935,-0.370469473,0.279391186,-0.079404667,0.400136198,-0.429845745,0.436678641,-0.323423191,-0.414832449,-0.015820893,-0.111885491,-0.240093995,-0.520333276,-0.422657098,0.021849843,-0.270744794,-0.114381148,0.847975677,-0.047856691,1,-0.120099853,0.518101032,0.222072864,0.067528018,-0.016851119,0.07488898,0.008810635
C_MaxM,0.463347632,0.761398949,0.718225601,0.430839485,-0.241738304,0.065780563,0.441787493,0.064909589,-0.12066784,-0.018728193,0.219089758,-0.042866156,-0.779956837,0.593790851,-0.423340277,0.291895696,0.509252256,0.118438493,0.5692404,0.606967365,0.042657628,0.376811142,-0.648499161,0.673320548,0.680445878,-0.285176607,0.349158904,-0.120099853,1,-0.592017415,-0.154816099,0.103942348,0.395884906,0.422707329,0.351058094
M_MaxM,-0.587247321,-0.434362768,-0.326065002,-0.703391874,-0.071450012,-0.192183337,-0.605789698,-0.039030335,0.082122831,0.027883692,-0.118090719,-0.144310485,0.588186695,-0.619663409,0.374613081,-0.475614591,-0.547466461,-0.313636127,-0.574131551,-0.567517053,-0.4535625,-0.463597893,0.579479229,-0.70333843,-0.616600687,0.697963796,-0.235733471,0.518101032,-0.592017415,1,0.095242598,-0.258716096,-0.450857779,-0.436353582,-0.42199158
PSFloodThreshold,-0.087737591,-0.31779352,-0.348146147,-0.37593456,0.133965613,0.596174119,-0.070311541,-0.597001844,0.802405071,-0.508866131,-0.07004692,-0.2761337,0.307381824,-0.306493934,0.577311298,-0.32399283,-0.512717685,-0.123496773,0.222491181,0.32004531,-0.37060304,-0.239258595,-0.202206888,-0.341270575,-0.462394677,0.2319283,-0.500880354,0.222072864,-0.154816099,0.095242598,1,0.534045102,0.34177976,0.10683796,-0.01220051
PS1YrARI,0.395268346,-0.021763225,-0.115289197,0.163482879,-0.334019452,0.580780145,0.44984042,-0.645967335,0.634032637,-0.707455901,0.284593326,-0.084973171,0.17396278,0.216595107,0.107122626,0.096990074,-0.243058875,0.038637779,0.607172853,0.492019702,0.086253813,-0.031238051,-0.573073719,0.066577437,0.040484821,-0.116979213,-0.407522731,0.067528018,0.103942348,-0.258716096,0.534045102,1,0.739457404,0.571932066,0.44085263
PS2YrARI,0.64566816,0.302346262,0.180586079,0.424096162,-0.166594733,0.454303684,0.778401029,-0.657947215,0.416273568,-0.58851803,0.358043341,-0.03109515,-0.017512215,0.461200052,-0.137235129,0.258372035,0.101310699,0.222090078,0.869227573,0.802057142,0.313401622,0.437226749,-0.69900354,0.434776979,0.373915285,-0.18738359,-0.167426408,-0.016851119,0.395884906,-0.450857779,0.34177976,0.739457404,1,0.87463725,0.755389523
AS10YrARI,0.868615817,0.293002498,0.199340603,0.594683648,-0.221868777,0.24496263,0.932743932,-0.579952101,0.207319663,-0.616101037,0.613943424,0.10299506,0.03195573,0.591055763,-0.301314349,0.386208805,0.19164785,0.280552558,0.827815265,0.699337515,0.429623845,0.612669917,-0.757463031,0.602651755,0.421707355,-0.110260186,-0.194199391,0.07488898,0.422707329,-0.436353582,0.10683796,0.571932066,0.87463725,1,0.961182389
AS20YrARI,0.916938535,0.186686979,0.112754833,0.663247623,-0.147859078,0.153046339,0.950736033,-0.543542242,0.099374036,-0.513186319,0.617730081,0.09222579,0.053307147,0.587078499,-0.35681137,0.387883212,0.184615111,0.219066134,0.711231339,0.584893042,0.569530384,0.689439807,-0.688248062,0.565240874,0.366628427,-0.185270014,-0.233471058,0.008810635,0.351058094,-0.42199158,-0.01220051,0.44085263,0.755389523,0.961182389,1
