"","138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]","138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]","138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]","138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]","138102C [138102C_amamoor.csv]","138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]","138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]","138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]","138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]","138903A [138903A_tinana.csv]","141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]","141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]","143112A [reynolds_short.csv]","143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]","146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]","145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]","145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]","145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv]","146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv]","146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv]","Mary_Miva [Mary River at Miva (S).csv]","WideBay_Brooyar [Wide Bay Creek at Brooyar (S).csv]","Glaston_Glaston [Glastonbury Creek at Glastonbury (S).csv]","Munna_Marodian [Munna Creek at Marodian (S).csv]","Amamoor_Zach [Amamoor Creek at Zachariah (S).csv]","ObiObi_Kida [Obi Obi Creek at Kidaman (S).csv]","SixMile_Cooran [Six Mile Creek at Cooran (S).csv]","Mary_Moy [Mary River at Moy Pocket (S).csv]","Yabba_Borumba [Yabba Creek at Borumba Dam (S).csv]","Tinana_Bauple [Tinana Creek at Bauple East (S).csv]","Eudlo_Kiels [Eudlo Creek at Kiels Mountain (S).csv]","NthMar_Eumund [North Maroochy River at Eumundi (S).csv]","Moogerah_Out [Reynolds Creek at Moogerah Dam Outflows (S).csv]","Stanley_Peach [Stanley River at Peachester (S).csv]","Teviot_Over [Teviot Brook at The Overflow (S).csv]","Logan_Rath [Logan River at Rathdowney (S).csv]","Burnett_MaroonTW [Burnett Creek at Maroon Dam Tailwater (S).csv]","Nerang_Glenh [Nerang River at Glenhurst (S).csv]","Coomera_Army [Coomera River at Army Camp (S).csv]","Currumbin_Nich [Currumbin Creek at Nicholls Bridge (S).csv]"
"138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]",0,0.278501049071312,0.240724991476174,0.162858114025588,0.267520060365278,0.0932524742907465,0.131535236981742,0.0928928600377399,0.364746706241245,0.0874331540755555,0.151460886986343,0.208880260478337,0.305486292704684,0.125814999708185,0.254354858359183,0.207349162227731,0.156903372028903,0.236140993755815,0.123857325479463,0.217353985083731,0.0841673152263281,0.168330991415831,0.155062407854307,0.182680187722153,0.199231470551133,0.107149703333209,0.094499005986712,0.0911112128070504,0.185730046385376,0.105131849128566,0.121537263359459,0.180706600719645,0.33072897252186,0.132208297638907,0.165508440727249,0.0958180678738387,0.165441685988014,0.116487946116086,0.132569632337306,0.150298427300359
"138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]",0.278501049071312,0,0.133481603798433,0.193614893028398,0.170354921201828,0.321906365528361,0.253738454185418,0.244833361779432,0.50576097317239,0.263890609387763,0.295095759013555,0.329861082743435,0.497546136533248,0.312094602961792,0.371925893760278,0.146682076057356,0.30008074887986,0.363350549002187,0.289814386850597,0.436124298509144,0.332099293587274,0.182718590728642,0.192146596220821,0.184451706407261,0.182370277752525,0.324162123950207,0.312708792463067,0.282549039960987,0.236558410949074,0.291455313857442,0.300386207282483,0.325971001322747,0.427446111354204,0.31999273206686,0.196419379425355,0.286182662979869,0.287767717578417,0.355211844854237,0.29951108401292,0.359756235165145
"138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]",0.240724991476174,0.133481603798433,0,0.173695319419318,0.113083812691864,0.294290310168763,0.222729172747114,0.199478241939749,0.480852730166709,0.219348855658017,0.2612568742603,0.304295692628322,0.458153475907872,0.279780284162248,0.332865017453936,0.136470874530258,0.28797824067354,0.326965410232646,0.264465830834907,0.40798546546807,0.290717039703004,0.155864503858297,0.157410179099457,0.188789739588788,0.0926257513481985,0.293062324410319,0.268805060397205,0.234972884380827,0.183691216930814,0.256820041094886,0.262729798659889,0.287120210928325,0.424785679815426,0.290417126651845,0.177181322470624,0.264641620152979,0.25949225131298,0.324108540606456,0.278368448004336,0.331971189792949
"138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]",0.162858114025588,0.193614893028398,0.173695319419318,0,0.18384703134834,0.216415734403462,0.169830367613495,0.152290069533602,0.433267812975992,0.162476134874182,0.185007730742757,0.234856651919288,0.396502133651151,0.21084930285256,0.26206298185395,0.125664836986272,0.199493147264967,0.293158723335796,0.183670830322483,0.306042794997754,0.212751005222519,0.177035720544899,0.17020596672247,0.0557460113002783,0.136394120128766,0.234196818526085,0.208255158381471,0.192805501694165,0.152118550740237,0.201494934892823,0.186162981156649,0.207877136639972,0.311301870392927,0.208421348350379,0.119028702809914,0.173097736998922,0.170551106694056,0.217450876845644,0.195875999343363,0.236626458305299
"138102C [138102C_amamoor.csv]",0.267520060365278,0.170354921201828,0.113083812691864,0.18384703134834,0,0.301447284432157,0.236116835756192,0.228516167826315,0.51898420604681,0.227121169016787,0.259594798748055,0.289846154445935,0.454445231745147,0.286906545288955,0.319713120153422,0.16766547126685,0.310774406253644,0.351135649825915,0.278776135095611,0.383866757987608,0.306958750465318,0.193670352723953,0.213021212794146,0.195486698305421,0.139512725417933,0.316135657291085,0.282576984972374,0.259875539742742,0.218298686902075,0.275292267830519,0.27176085307528,0.299666763342087,0.417270531643855,0.294417271102202,0.184435832451828,0.289404257791486,0.288872991699896,0.32064222433874,0.292514109726039,0.334518613514421
"138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]",0.0932524742907465,0.321906365528361,0.294290310168763,0.216415734403462,0.301447284432157,0,0.145448034285234,0.114561600479021,0.315949557669769,0.127178382691802,0.137140595075706,0.197575143463383,0.244819411929303,0.107748693825361,0.254063400670959,0.256795730108408,0.159349689626805,0.199653395781246,0.11439899572079,0.180758474244128,0.0997543931369667,0.221446882847778,0.193196149857817,0.228788373938779,0.238144731769158,0.0435856886587525,0.0793380445988937,0.106973209335427,0.236304145837127,0.130064387157188,0.117116478205391,0.176964928847084,0.314781688452798,0.0959570691535304,0.219924058838888,0.114416691579982,0.165864229165914,0.0990871522301574,0.115822210357737,0.0997130445472346
"138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]",0.131535236981742,0.253738454185418,0.222729172747114,0.169830367613495,0.236116835756192,0.145448034285234,0,0.101495972683518,0.40938048436284,0.132280314158198,0.109798566961795,0.129203423229937,0.358461749793202,0.105265932975804,0.303438612443962,0.163065377645754,0.179984778312486,0.281594219728891,0.119831810575507,0.226843100265478,0.163837165966549,0.210746722428665,0.180982029627206,0.201883107921254,0.194950927578981,0.168117447891078,0.11202151818259,0.147050320368229,0.189470575351975,0.174988422630922,0.102807590662672,0.11329184269605,0.300218727467258,0.117914850309084,0.1563483916912,0.111342131326882,0.155307843770837,0.150299543882248,0.131952452332154,0.156863708987559
"138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]",0.0928928600377399,0.244833361779432,0.199478241939749,0.152290069533602,0.228516167826315,0.114561600479021,0.101495972683518,0,0.394265088870203,0.124402637278683,0.128892488836411,0.199118932462738,0.334079012453662,0.105163230316094,0.285703340344671,0.165548662356882,0.147116608749549,0.249210760239959,0.108239376787988,0.224041349918926,0.116374071835173,0.162759421013721,0.128892935662336,0.180217137523729,0.1645917143029,0.131699728083429,0.0976988897781575,0.0728903632365401,0.173366321072911,0.135447479650805,0.120733837499335,0.166855323211728,0.330646402866635,0.113029501080376,0.155806649900179,0.10607284734712,0.163558890109084,0.158527754042552,0.123150255095862,0.153049360418175
"138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]",0.364746706241245,0.50576097317239,0.480852730166709,0.433267812975992,0.51898420604681,0.315949557669769,0.40938048436284,0.394265088870203,0,0.366688734197673,0.340880522126473,0.435931821598858,0.261836963503959,0.379449807974587,0.37069284994398,0.456384307523406,0.415929631276444,0.305508606872849,0.355225230980715,0.390710322540672,0.349935974420066,0.455666465076278,0.419411930128011,0.420370019586407,0.455408414278698,0.313444099815622,0.37332181033945,0.375134656370574,0.472524735271671,0.345416164011716,0.356037691208295,0.406545413686792,0.416262775465604,0.37127770998995,0.458978888135838,0.397500954372515,0.402895889239345,0.328289413640547,0.355903246791858,0.326235821449801
"138903A [138903A_tinana.csv]",0.0874331540755555,0.263890609387763,0.219348855658017,0.162476134874182,0.227121169016787,0.127178382691802,0.132280314158198,0.124402637278683,0.366688734197673,0,0.147953752451261,0.212115477067603,0.31146938443224,0.1526907225373,0.240303519373301,0.190351012835435,0.182640724656532,0.252847729139581,0.142348094968506,0.243509619207081,0.137411844217025,0.183574408076479,0.169198576830314,0.16285050938505,0.183715507343663,0.144231211930255,0.145570324300892,0.132494370817194,0.201641398502211,0.0989019638548968,0.137959775089691,0.188335336013255,0.340529716534883,0.152952083403341,0.151632207129431,0.133297459040116,0.180065766953087,0.149024629784222,0.158292389543358,0.167636055817748
