"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","FRic.SES",0,1,0,1,0,0
"value6","flowering.duration",0.0161698906463363,0.13306,0.0387656556199613,0.14999,0.0220236167451288,0.0387656556199613
"value5","richness",0.00693994466871213,0.16466,0.0271308632637473,0.16503,0.0121449031702462,0.0332472532905488
"value4","redun",0.038903872599416,0.099937,0.000450096133377983,0.31976,0.038903872599416,0.00157533646682294
"value3","nbsp",0.00461448316469516,0.1797,0.00251834253369442,0.25859,0.0107671273842887,0.00587613257862032
"value2","hydro.pc2",0.018877385781539,0.12724,0.0284976456776133,0.16297,0.0220236167451288,0.0332472532905488
"value1","CVAnnHSMeanDur",0.0045079312431321,0.18056,0.0175804480242831,0.18294,0.0107671273842887,0.0307657840424953
