"","R2.linear","Estimate","Std. Error","t value","Pr(>|t|)"
"MDFAnnHSNum.x",0.10519,0.0232193407410886,0.0109859708709748,2.11354472115293,0.0411763967486736
"FRic.SES",0.09772,-0.0476122734817095,0.0234696623764534,-2.02867313206337,0.0495415131344164
"richness.stand",1,1,4.74311402980528e-18,210831954221655904,0
"production_dryland_w",0.16164,0.151436157970424,0.0559462706839125,2.7068141650766,0.0101201232602913
"M_MinM.y",0.39245,0.0714977273123926,0.0144311446061762,4.95440446780593,1.53070484589895e-05
"MDFMDFDry.y",0.11648,-0.0440148407600239,0.0196649791120109,-2.23823480865742,0.0311436176898512
"leaf.area",0.12884,0.0145300284849419,0.00612898571123807,2.37070686236056,0.0229296391197562
"exotics",0.11521,-0.0874121625035615,0.0392957894760325,-2.22446637843671,0.0321327995270951
"richness",0.89093,0.690759417190044,0.0392075908001691,17.6180021034872,7.07124723775857e-20
"nbsp",0.63692,0.00321134956393477,0.00039332506302316,8.16461971492946,6.93631662691617e-10
"FRic",0.46393,0.549346196998289,0.0957933850638882,5.73469866037106,1.31622036001198e-06
"M_MinM.x",0.12913,0.739905891107403,0.311713757271137,2.37367095243028,0.0227706118458195
"C_MinM.x",0.20163,-0.255440923690999,0.0824555471693664,-3.09792285006993,0.00365576904755624
"CVAnnHSMeanDur.x",0.15196,-0.156416549933457,0.0599423699438065,-2.60944887698119,0.0129003505561264
"HSMeanDur.x",0.16369,-0.0125334979609228,0.00459568822448586,-2.72722981819007,0.00961243908671569
"soil_soc",0.20189,0.0344315361283913,0.0111055152848344,3.10039968837922,0.00363152684841714
"soil_pto",0.10968,-1.01474164476157,0.468997229149962,-2.16364102321191,0.0368455046541651
"soil_phc",0.32126,-0.0798781813090553,0.0188347339227344,-4.24100396834588,0.000137255588832536
"clim_tsea",0.34905,-0.000987749887121734,0.000218817549294348,-4.51403413623392,5.98034070423786e-05
"clim_tcld",0.097572,0.0155986797323542,0.00769554496729778,2.02697532125935,0.0497229911606585
"clim_pwet",0.39031,0.000278093756543977,5.63833119385642e-05,4.9321997410686,1.6404478226998e-05
"clim_pdry",0.37489,0.00101369500190482,0.000212345207871691,4.77380682175481,2.68430719250324e-05
