Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering duration,source,source notes
Notelaea longifolia,55.764, cm2/g,,,,44.096,,,,,,AUSTRAITS_dataset_12,
Notelaea longifolia,58.369, cm2/g,,,,22.839,,,,,,AUSTRAITS_dataset_12,
Casuarina cunninghamiana,,,,,,0.001,,25,,,,AUSTRAITS_dataset_49,
Casuarina cunninghamiana,,,,,,0.019,,20,,,,AUSTRAITS_dataset_29,
Pittosporum undulatum,84.318, cm2/g,,,,29.371,,,,,,AUSTRAITS_dataset_12,
Pittosporum undulatum,85.488, cm2/g,,,,14.807,,,,,,AUSTRAITS_dataset_12,
Phyllanthus microcladus,,,,,,0.147,,1,,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,86.551, cm2/g,,,,5.691,,,,,,AUSTRAITS_dataset_12,
Casuarina cunninghamiana,3.724,m2/kg,,,,0.188,,10,,,,AUSTRAITS_dataset_8,
Casuarina cunninghamiana,3.724,m2/kg,,,,0.188,,10,,,,AUSTRAITS_dataset_52,
Casuarina cunninghamiana,,,,,,0.19,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,24.308,m2/kg,,,,0.209,,0.5,,,,AUSTRAITS_dataset_8,
Casuarina littoralis,4.57,m2/kg,,,,,,12,3.119,,,AUSTRAITS_dataset_10,
Araucaria cunninghamii,,,,,,0.219,437,50,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,90.769, cm2/g,,,,10.097,,,,,,AUSTRAITS_dataset_12,
Pittosporum multiflorum,,,,,,0.26,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.26,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.26,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.276,,4.2,,,,AUSTRAITS_dataset_49,
Melaleuca bracteata,,,,,,0.299,,15,,,,AUSTRAITS_dataset_49,
Acronychia oblongifolia,,,,,,0.4,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,105.944, cm2/g,,,,8.646,,,,,,AUSTRAITS_dataset_12,
Araucaria cunninghamii,,,,,,0.75,,,,,,AUSTRAITS_dataset_68,
Araucaria cunninghamii,,,,,,0.75,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,5.057,m2/kg,,,,4.801,,2,,,,AUSTRAITS_dataset_52,
Grevillea robusta,,,,,,1.155,516,35,31.416,,,AUSTRAITS_dataset_49,
Lomandra longifolia,5.56,m2/kg,,,,61.33,,0.4,11.33,,,AUSTRAITS_dataset_10,
Breynia oblongifolia,,,,,,1.2,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,1.2,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,1.2,,,,,,AUSTRAITS_dataset_68,
Psychotria daphnoides,,,,,,1.26,,2,,,,AUSTRAITS_dataset_49,
Lomandra longifolia,1.656,m2/kg,,,,1.539,,0.3,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,1.54,,,,,,Gallagher_field_workPHD,
Breynia oblongifolia,,,,,,1.663,,8,,,,AUSTRAITS_dataset_49,
Pilidiostigma rhytispermum,,,,,,1.89,,10,,,,AUSTRAITS_dataset_49,
Alyxia ruscifolia,,,,,,2.03,,6,,,dec/jan/feb/mar/apr/may,AUSTRAITS_dataset_56,
Breynia oblongifolia,,,,,,2.08,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,29.051,m2/kg,,,,2.182,,0.2,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,,,,,,2.182,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,53.112,m2/kg,,,,2.209,,0.2,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,2.21,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,14,m2/kg,,,,2.545,,1.2,,,,AUSTRAITS_dataset_8,
Trophis scandens,5.652,m2/kg,,,,23.339,,,,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,2.55,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.55,,,,,,Gallagher_field_workPHD,
Diospyros australis,6.065,m2/kg,,,,14.249,,2,,,,AUSTRAITS_dataset_52,
Cayratia clematidea,,,,,,2.7,,,,,,AUSTRAITS_dataset_68,
Rubus rosifolius,,,,,,2.72,,,,,,AUSTRAITS_dataset_68,
Rubus rosifolius,,,,,,2.72,,,,,,Gallagher_field_workPHD,
Pteridium esculentum,6.091,m2/kg,,,,,,1.8,,,,AUSTRAITS_dataset_52,
Macadamia tetraphylla,6.254,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Geitonoplesium cymosum,,,,,,2.82,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.82,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.82,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.02,,,,,,Gallagher_field_workPHD,
Bursaria incana,,,,,,3.15,,8,,,feb/mar/apr,AUSTRAITS_dataset_29,
Breynia oblongifolia,,,,,,3.18,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,11.951,m2/kg,,,,3.18,,0.4,,,,AUSTRAITS_dataset_8,
Diospyros australis,6.576,m2/kg,,,,19.699,,4,,,,AUSTRAITS_dataset_52,
Ochna serrulata,,,,,,3.26,,,,,,AUSTRAITS_dataset_68,
Wikstroemia indica,,,,,,3.26,,4,,,,AUSTRAITS_dataset_49,
Bursaria incana,,,,,,3.325,,10,3.142,,,AUSTRAITS_dataset_49,
Diospyros australis,6.71,m2/kg,,,,11.27,,20,242.304,,,AUSTRAITS_dataset_10,
Morinda jasminoides,,,,,,3.33,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,3.6,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,16.433,m2/kg,,,,3.684,,1,,,,AUSTRAITS_dataset_8,
Tristaniopsis laurina,6.93,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,3.684,,,,,,AUSTRAITS_dataset_68,
Carissa ovata,,,,,,3.75,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,,,,,,3.895,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,8.27,m2/kg,,,,3.895,,1.2,,,,AUSTRAITS_dataset_8,
Jagera pseudorhus,,,,,,3.9,,,,,,AUSTRAITS_dataset_68,
Jagera pseudorhus,,,,,,3.9,,,,,,AUSTRAITS_dataset_68,
Jagera pseudorhus,,,,,,3.9,,,,,,AUSTRAITS_dataset_68,
Alyxia ruscifolia,,,,,,3.97,,,,,,AUSTRAITS_dataset_68,
Alyxia ruscifolia,,,,,,3.97,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.98,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.98,,,,,,Gallagher_field_workPHD,
Wikstroemia indica,,,,,,4,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,7.215,m2/kg,,,,29.577,,3,,,,AUSTRAITS_dataset_52,
Backhousia myrtifolia,,,,,,4.03,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,4.03,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,,,,,,4.2,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,,,,,,4.2,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,,,4.4,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,,,,,,4.428,,,,,,AUSTRAITS_dataset_49,
Carissa ovata,,,,,,4.62,,4,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,31.278,m2/kg,,,,4.717,,0.1,,,,AUSTRAITS_dataset_8,
Diospyros australis,7.395,m2/kg,,,,19.28,,0.1,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,4.72,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,4.758,0.62,,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,4.76,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,,,,,,4.8,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,5.057,m2/kg,,,,4.801,,2,,,,AUSTRAITS_dataset_8,
Alphitonia excelsa,7.972,m2/kg,,,,14.907,,,,,,AUSTRAITS_dataset_52,
Jagera pseudorhus,,,,,,4.81,,,,,,Gallagher_field_workPHD,
Alyxia ruscifolia,,,,,,4.9,,5,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,37.305,m2/kg,,,,5.126,,1.5,,,,AUSTRAITS_dataset_8,
Notelaea microcarpa,8.173,m2/kg,,,,18.844,,3,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,5.13,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,,,5.21,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.21,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.21,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.21,,,,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,5.25,,,,,,AUSTRAITS_dataset_68,
Callerya megasperma,,,,,,5.25,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,,,,,,5.31,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,21.102,m2/kg,,,,5.313,,0.3,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,5.6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,,,5.6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.61,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.61,,,,,,Gallagher_field_workPHD,
Notelaea microcarpa,,,,,,5.653,,10,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,41.995,m2/kg,,,,5.686,,1.6,,,,AUSTRAITS_dataset_8,
Diospyros australis,8.291,m2/kg,,,,22.313,,2,,,,AUSTRAITS_dataset_52,
Pandorea pandorana,,,,,,5.686,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,137.132, cm2/g,,,,8.991,,,,,,AUSTRAITS_dataset_12,
Pteridium esculentum,10.795,m2/kg,,,,5.728,,0.6,,,,AUSTRAITS_dataset_8,
Pteridium esculentum,,,,,,5.728,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.9,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,,,6,,,,,,AUSTRAITS_dataset_68,
Aphananthe philippinensis,,,,,,6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6,,,,,,AUSTRAITS_dataset_68,
Toechima tenax,,,,,,6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.01,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.01,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,,,6.12,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,,,6.125,570,35,,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,,,,,,6.28,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,17.198,m2/kg,,,,6.281,,0.4,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,8.528,m2/kg,,,,12.59,,15,,,,AUSTRAITS_dataset_52,
Melia azedarach,,,,,,6.3,380,45,,,,AUSTRAITS_dataset_49,
Toechima tenax,,,,,,6.3,662.2,30,,,,AUSTRAITS_dataset_49,
Lepiderema pulchella,,,,,,6.431,,15,,,,AUSTRAITS_dataset_49,
Archirhodomyrtus beckleri,11.899,m2/kg,,,,6.476,,5.5,,,,AUSTRAITS_dataset_8,
Archirhodomyrtus beckleri,,,,,,6.48,,,,,,AUSTRAITS_dataset_68,
Ailanthus triphysa,,,,,,6.5,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,18.587,m2/kg,,,,6.55,,1,,,,AUSTRAITS_dataset_8,
Backhousia myrtifolia,8.55,m2/kg,,,,4.03,,10,13.006,,,AUSTRAITS_dataset_10,
Pandorea pandorana,,,,,,6.55,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,6.667,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,6.667,,,,,,AUSTRAITS_dataset_68,
Streblus brunonianus,,,,,,6.67,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.67,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.67,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.67,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.68,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,,,6.75,,,,,,AUSTRAITS_dataset_68,
Mischocarpus pyriformis,,,,,,6.75,,,,,,AUSTRAITS_dataset_68,
Ligustrum sinense,8.96,m2/kg,,,,13.07,,3,22.477,,,AUSTRAITS_dataset_10,
Parsonsia straminea,29.981,m2/kg,,,,6.83,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,,,,,,6.85,,,,,,AUSTRAITS_dataset_68,
