,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
macadamia tetraphylla,3,43.845,18,,6.254,
macfadyena unguiscati,4,14,20,29,16.109,
maclura cochinchinensis,,8.60825,15,11.167,18.42224673,
mallotus claoxyloides,6,32.21625,8,62.86036375,17.06017648,
mallotus philippensis,11,42.04190476,25,22.75025911,19.12979351,0.603333333
marsdenia rostrata,6,38.65233333,1.8,77.35,23.69965666,
melaleuca bracteata,3,0.299,15,0.057017027,,0.87
melaleuca quinquenervia,7,7.508,35,0.200263476,7.962321972,0.670125036
melaleuca spp,3,0.299,15,0.057017027,,0.87
melia azedarach,4,6.3,45,321.3758325,,0.387666667
micromelum minutum,12,28.1105,10,22,,
mischocarpus pyriformis,,37.90657143,30,187.2,8.786000605,0.6
morinda jasminoides,7,9.538090909,20,7.248333333,26.0434634,
myrsine variabilis,5,14.45214286,10,28.404,11.69247939,0.75917
neolitsea dealbata,3,59.3437549,20,146.0075,12.74945021,0.499757143
notelaea longifolia,7,34.93409091,9,97.8275,9.648457335,0.83987
notelaea microcarpa,7,10.5876,10,43.521,6.615,0.638719277
ochna serrulata,6,6.7976,3,83.76,20.19766667,
olea paniculata,3,30.015,30,82.5,15.1194436,0.760333333
pandorea pandorana,7,10.1108,1.6,3.9844375,27.01734496,0.4477
pararchidendron pruinosum,4,12.47666667,20,56,24.60629921,0.5125
parsonsia straminea,5,41.86672727,17,8.848,22.37626912,
passiflora edulis,5,130.67,5,13.481,21.6,
pavetta australiensis,3,47.775,7,219,,
pittosporum multiflorum,6,0.268,4.2,11.071,,
pittosporum undulatum,4,28.9654,25,9.342539041,11.1524932,0.6446
planchonella australis,4,29.4,40,670.4572629,,0.7568
polyscias elegans,5,29.274125,30,6.840260938,13.73551125,0.36075
pothos longipes,2,4.2,,109,12.0048,
pseudoweinmannia lachnocarpa,3,16.678,35.2,,,0.744666667
psychotria daphnoides,3,1.26,2,18.413,,
psychotria loniceroides,3,20.94175,5,9.589085781,14.66992496,0.69
rhodamnia argentea,4,24.684,40,16.978,,0.705366667
rhodamnia rubescens,4,16.72766667,30,3.798,10.993,0.6414
rhodomyrtus psidioides,2,31.845,20,4.1765,13.12388208,0.7783
rhodosphaera rhodanthema,3,7.963,27,448.871,,0.5895
ricinus communis,3,,3.5,295.6,47.11,
ripogonum spp,5,37.2,15,1.89,11.94,
rubus moluccanus,6,45.15766667,,0.85,13.84331023,
rubus rosifolius,12,3.19675,1,0.524784111,23.95933333,
sarcopteryx stipata,4,12.066,40,37.19,9.169264625,0.83875
schefflera actinophylla,5,117.469,24,7.879037868,,0.4065
