"","R2.linear","Estimate","Std. Error","t value","Pr(>|t|)"
"richness.stand.ln",1,1,4.72848676412695e-17,21148414913341436,0
"FRic.SES",0.10271,-2.62173092215188,1.25703698380299,-2.08564342651256,0.0437779878665072
"richness.stand",0.77724,47.3504966340639,4.11217139141865,11.5147186551795,5.88414909540951e-14
"production_irrigated_w",0.13476,-53.0795940321237,21.8186384078698,-2.43276381595738,0.0198013485436478
"M_MinM.y",0.34819,3.61704186598421,0.802818080487479,4.50543149674445,6.14011134796789e-05
"exotics",0.15924,-5.51936207459185,2.05735777148723,-2.68274295850935,0.0107505507885672
"richness",0.72908,33.5613978390505,3.31878487407423,10.1125559843382,2.49905759451143e-12
"nbsp",0.95194,0.210860398206434,0.00768591518702093,27.4346506662615,1.18419292426868e-26
"FRic",0.63623,34.5519491526144,4.23822923437967,8.15244934661295,7.19479660263688e-10
"M_MaxM.x",0.12607,45.5390903032873,19.4502846059845,2.34130714412661,0.0245621159637043
"M_MinM.x",0.13393,40.4715796196703,16.6955967645423,2.42408703267336,0.0202141107233765
"C_MinM.x",0.144,-11.5939461827651,4.585670369587,-2.52829908134222,0.0157370742322902
"CVAnnBFI.x",0.11061,-5.82392334875602,2.6790248588948,-2.1738967182106,0.0360103147147944
"soil_soc",0.24752,2.04761303448936,0.579164715182545,3.53545887864384,0.00108979135223051
"soil_slt",0.1216,0.365584494692168,0.159398770460482,2.29352142200371,0.027439775096009
"soil_pto",0.11001,-54.581525312542,25.1847259618929,-2.16724713999785,0.0365498989215833
"soil_phc",0.3904,-4.72936793048093,0.95868372413611,-4.9331889249947,1.63539718307643e-05
"soil_ece",0.40204,-0.533278039074027,0.105503628802994,-5.05459428385931,1.11935281045073e-05
"soil_bdw",0.2078,-14.5178786489829,4.59845915913276,-3.15711810121217,0.00311627392659829
"soil_awc",0.24021,-1.72269329317582,0.497011632826805,-3.46610256057353,0.00132610161262817
"clim_tsea",0.38964,-0.0560503424427409,0.0113801900040541,-4.92525541513574,1.67634199246304e-05
"clim_tcld",0.099549,0.846234322155837,0.412866338004764,2.04965686048755,0.0473458309413019
"clim_pwet",0.46543,0.0163103325079264,0.00283558368810497,5.75201944359703,1.24614000606974e-06
"clim_pdry",0.41697,0.0574189947087289,0.0110142550502951,5.21315281392459,6.80999780117956e-06
"site",0.11809,-0.0712891764538054,0.0316040860156405,-2.25569492560314,0.0299283303356291
