"","Taxon","leaf.area","source"
"1681","Melodinus australis",24.82,"AUSTRAITS_dataset_68"
"1695","Melodinus australis",49.613,"AUSTRAITS_dataset_49"
"1696","Melodinus australis",110.25,"AUSTRAITS_dataset_6"
"1809","Myrsine variabilis",4.03,"AUSTRAITS_dataset_68"
"1810","Myrsine variabilis",6.12,"Gallagher_field_workPHD"
"1811","Myrsine variabilis",8.67,"AUSTRAITS_dataset_68"
"1812","Myrsine variabilis",13.125,"AUSTRAITS_dataset_49"
"1813","Myrsine variabilis",15.07,"Gallagher_field_workPHD"
"1814","Myrsine variabilis",19.18,"Gallagher_field_workPHD"
"1815","Myrsine variabilis",34.97,"Gallagher_field_workPHD"
"1859","Notelaea longifolia",20.15,"Gallagher_field_workPHD"
"1860","Notelaea longifolia",21.45,"AUSTRAITS_dataset_68"
"1862","Notelaea longifolia",22.839,"AUSTRAITS_dataset_12"
"1863","Notelaea longifolia",23.11,"Gallagher_field_workPHD"
"1864","Notelaea longifolia",25.38,"Gallagher_field_workPHD"
"1865","Notelaea longifolia",30.03,"AUSTRAITS_dataset_49"
"1866","Notelaea longifolia",33.76,"Gallagher_field_workPHD"
"1867","Notelaea longifolia",34.93,"Gallagher_field_workPHD"
"1868","Notelaea longifolia",39.04,"Gallagher_field_workPHD"
"1869","Notelaea longifolia",44.096,"AUSTRAITS_dataset_12"
"1870","Notelaea longifolia",89.49,"Gallagher_field_workPHD"
"1887","Notelaea microcarpa",4.8,"AUSTRAITS_dataset_68"
"1888","Notelaea microcarpa",4.801,"AUSTRAITS_dataset_8"
"1890","Notelaea microcarpa",5.653,"AUSTRAITS_dataset_49"
"1891","Notelaea microcarpa",18.84,"AUSTRAITS_dataset_68"
"1892","Notelaea microcarpa",18.844,"AUSTRAITS_dataset_8"
"1923","Pandorea pandorana",2.09,"AUSTRAITS_dataset_8"
"1925","Pandorea pandorana",2.182,"AUSTRAITS_dataset_8"
"1927","Pandorea pandorana",5.2,"AUSTRAITS_dataset_68"
"1937","Pandorea pandorana",5.6,"AUSTRAITS_dataset_68"
"1938","Pandorea pandorana",5.686,"AUSTRAITS_dataset_8"
"1941","Pandorea pandorana",6.55,"AUSTRAITS_dataset_8"
"1944","Pandorea pandorana",13.93,"Gallagher_field_workPHD"
"1945","Pandorea pandorana",14.02,"Gallagher_field_workPHD"
"1946","Pandorea pandorana",19.6,"AUSTRAITS_dataset_49"
"1947","Pandorea pandorana",26.25,"AUSTRAITS_dataset_10"
"2149","Pouteria queenslandica",19.6,"AUSTRAITS_dataset_49"
"2150","Pouteria queenslandica",43.5,"AUSTRAITS_dataset_68"
"2195","Pteridium esculentum",3.895,"AUSTRAITS_dataset_68"
"2197","Pteridium esculentum",5.728,"AUSTRAITS_dataset_8"
"2199","Pteridium esculentum",28.581,"AUSTRAITS_dataset_3"
"2456","Synoum glandulosum",10.4,"AUSTRAITS_dataset_3"
"2457","Synoum glandulosum",8.646,"AUSTRAITS_dataset_12"
"2458","Synoum glandulosum",8.991,"AUSTRAITS_dataset_12"
"2459","Synoum glandulosum",10.097,"AUSTRAITS_dataset_12"
"2460","Synoum glandulosum",10.456,"AUSTRAITS_dataset_68"
"2463","Synoum glandulosum",10.5,"AUSTRAITS_dataset_68"
"2465","Synoum glandulosum",11.21,"AUSTRAITS_dataset_68"
"2466","Synoum glandulosum",13.183,"AUSTRAITS_dataset_28"
"2467","Synoum glandulosum",14.798,"AUSTRAITS_dataset_13"
"2469","Synoum glandulosum",16.21,"Gallagher_field_workPHD"
"2470","Synoum glandulosum",16.92,"AUSTRAITS_dataset_8"
"2472","Synoum glandulosum",18.375,"AUSTRAITS_dataset_49"
"2473","Synoum glandulosum",18.671,"AUSTRAITS_dataset_8"
"2476","Synoum glandulosum",18.72,"Gallagher_field_workPHD"
"2477","Synoum glandulosum",19.004,"AUSTRAITS_dataset_52"
"2480","Synoum glandulosum",24.16,"Gallagher_field_workPHD"
"2481","Synoum glandulosum",24.427,"AUSTRAITS_dataset_28"
"2482","Synoum glandulosum",25.1,"AUSTRAITS_dataset_52"
"2485","Synoum glandulosum",28.695,"AUSTRAITS_dataset_8"
"2488","Synoum glandulosum",29.64,"AUSTRAITS_dataset_28"
"2489","Synoum glandulosum",33.28,"Gallagher_field_workPHD"
"2490","Synoum glandulosum",107.663,"AUSTRAITS_dataset_28"
"2491","Synoum glandulosum",187.718,"AUSTRAITS_dataset_28"
"2492","Synoum glandulosum",203.557,"AUSTRAITS_dataset_28"
"2493","Synoum glandulosum",203.56,"AUSTRAITS_dataset_68"
"2513","Synoum glandulosum",26.38075,"C. James SEQLD field data"
"2608","Toona ciliata",11.349,"AUSTRAITS_dataset_52"
"2609","Toona ciliata",20.583,"AUSTRAITS_dataset_68"
"2610","Toona ciliata",23.275,"AUSTRAITS_dataset_49"
"2611","Toona ciliata",66.4,"AUSTRAITS_dataset_39"
"2682","Wikstroemia indica",3.26,"AUSTRAITS_dataset_49"
"2683","Wikstroemia indica",4,"AUSTRAITS_dataset_68"
"2684","Wikstroemia indica",8.36,"AUSTRAITS_dataset_39"
