"","metric","pval.linear","r2.linear","f statistic linear","pval.quad","r2.quad","f statistic quad"
"value","richness.stand.ln",0,1,4.578e+33,0,1,2.388e+33
"value77","richness.stand",4.23055470793573e-21,0.90592,365.9,2.2475344446939e-33,0.98228,1026
"value44","richness",1.25195853571658e-15,0.81787,170.6,8.68956529972523e-20,0.90525,176.7
"value43","nbsp",2.18779523756736e-10,0.65804,73.13,1.04683928778146e-10,0.69139,41.45
"value41","FRic",1.38525606620893e-06,0.46253,32.7,7.97089030746668e-07,0.51226,19.43
"value68","M_MinM.y",4.63931054280974e-05,0.35734,21.13,1.55048801597829e-05,0.4646,16.05
"value6","clim_tsea",1.7953130447675e-05,0.38751,24.04,1.97362926516549e-05,0.40068,12.37
"value13","soil_ece",2.6382377443911e-05,0.37544,22.84,2.66650588835291e-05,0.39541,12.1
"value2","clim_pdry",2.68688359442112e-05,0.37486,22.79,3.11389340404389e-05,0.3834,11.5
"value4","clim_pwet",3.10801533185862e-05,0.37023,22.34,3.4697472083568e-05,0.38184,11.43
"value15","soil_phc",2.97692838552311e-05,0.3716,22.47,3.61382132612617e-05,0.37603,11.15
"value8","soil_awc",0.000868328697010042,0.25591,13.07,0.000948470452170386,0.26628,6.714
"value51","leaf.area",0.00535069554173054,0.18681,8.729,0.00304863572963929,0.31263,8.414
"value17","soil_slt",0.00321370266683776,0.20661,9.896,0.00327545139393762,0.22682,5.427
"value19","soil_soc",0.00305588603842131,0.20855,10.01,0.00331660738372957,0.21726,5.135
"value34","C_MinM.x",0.00547957357968035,0.18587,8.676,0.00421790055615138,0.26055,6.519
"value72","production_dryland_w",0.00730463428445471,0.17457,8.037,0.00504353171832813,0.27361,6.969
"value25","HSMeanDur.x",0.018385264330335,0.13774,6.07,0.010289115142508,0.30297,8.041
"value9","soil_bdw",0.0131630128391871,0.15115,6.767,0.0144260686134521,0.15147,3.302
"value45","exotics",0.0179862656158253,0.13863,6.116,0.0174668326302375,0.17154,3.831
"value27","CVAnnHSMeanDur.x",0.0232884254132641,0.12822,5.589,0.023051619048207,0.1562,3.425
"value35","M_MinM.x",0.0273905853807728,0.12167,5.264,0.0275271769745314,0.14502,3.138
"value5","clim_tcld",0.0346813240550666,0.11213,4.799,0.0277973430544161,0.20912,4.892
"value55","CVMDFWet.y",0.0429030898777214,0.10353,4.388,0.0392632531756818,0.16131,3.558
"value54","MDFMDFDry.y",0.0621902571804425,0.088559,3.692,0.0449465853700801,0.23934,5.821
"value85","CVAnnHSNum.y",0.0500141409124812,0.097337,4.098,0.0513341311880543,0.11203,2.334
"value78","FRic.SES",0.050519805298375,0.096931,4.079,0.0530604097244825,0.10197,2.101
"value80","MDFAnnHSNum.x",0.0540812298294407,0.094184,3.951,0.0573318488367309,0.094619,1.933
"value16","soil_pto",0.0669778937407966,0.08558,3.556,0.0621089874837837,0.14436,3.121
"value50","wood.density",0.068899827839003,0.084445,3.505,0.0722337936501045,0.08761,1.776
"value64","CVAnnLSMeanDur.y",0.0727360483529886,0.082273,3.407,0.0756904911203224,0.088576,1.798
"value28","LSPeak.x",0.076600316411644,0.080202,3.313,0.0800805895131877,0.083726,1.69
"value81","CVAnnHSNum.x",0.0771849969542488,0.079898,3.3,0.0808989426880398,0.082041,1.653
"value75","production_irrigated_w",0.102810224457232,0.0685,2.794,0.103113156719034,0.092568,1.887
"value1","site",0.113058317217623,0.064756,2.631,0.110785578461337,0.10239,2.11
"value84","MDFAnnHSNum.y",0.1280558261619,0.05988,2.42,0.129985318984446,0.076161,1.525
