"","metric","p","R2.adj","est","stderr","t","p.term","est.quad","stderr.quad","t.quad","p.term.quad"
"hydro","clim_pdry",0.0148191887558036,0.16056,-0.00607348836482394,0.0155983096439044,-0.389368367693442,0.699235778990426,4.35949633841788e-06,5.78113161181324e-05,0.0754090484553167,0.940295521103131
"hydro1","clim_pwet",0.00541098586645473,0.20505,-0.00118937478955027,0.00344190531674579,-0.345557091231894,0.731632625575286,-2.60560419132799e-07,3.43337989050737e-06,-0.0758903551142703,0.939915198911359
"hydro2","clim_tsea",0.00429087449532546,0.21496,0.0690291366372604,0.0462015294753747,1.49408769408928,0.143632734019132,-7.84132467473326e-05,5.66450711645753e-05,-1.38429072706984,0.174562347780481
"hydro3","soil_nto",0.0434481994632352,0.11031,3.69875516175139,9.45264934818239,0.391292961952789,0.697825072708672,-18.0714706782834,24.6187891610748,-0.734051969820533,0.467543525675045
"hydro4","soil_phc",0.0185007525830687,0.15043,4.21394337292652,4.52821794937661,0.930596411223239,0.358094762366341,-0.375759651762139,0.44486491383113,-0.844660120588373,0.403729351764772
"hydro5","soil_soc",0.00398089975717601,0.21813,-0.361873302883354,0.48858854964121,-0.740650396226216,0.463580039420204,0.0145684147735269,0.0660031455607707,0.220723037512105,0.826521580603921
"hydro6","HSMeanDur.x",0.00452715221197217,0.21268,0.55144342206866,0.242741133180882,2.27173456283466,0.0290094749841633,-0.0408882018520363,0.0211605264677135,-1.93228660517606,0.0610077896793365
"hydro7","CVAnnHSMeanDur.x",0.00916832022927891,0.18207,4.1690076115814,2.83093735850812,1.47265978848025,0.149299164017977,-3.136807625519,2.94253369069053,-1.06602267136077,0.293320421216166
"hydro8","LSPeak.x",0.0305460764105794,0.12709,-13.0832762336497,11.0864865633926,-1.18011023229401,0.245488105010007,49.5020582679503,76.5689387502134,0.64650312614934,0.521943952426181
"hydro9","CVAnnBFI.x",0.0119057977196249,0.17044,6.1413701585061,2.24647285274625,2.73378338447244,0.00954870622112782,-5.39582445120341,2.17065635676067,-2.48580316934908,0.0175689060447886
"hydro10","C_MinM.x",0.0450148199112493,0.1086,3.52759976362773,1.66852672380838,2.11420033811389,0.0412989695934342,-7.16271263356057,4.84534867438627,-1.47826567599241,0.147799846897911
"hydro11","FDiv",0.0222913465712547,0.14183,-3.25551325809056,6.07275717698587,-0.536084872688157,0.595108341877942,3.07241942683405,3.92559736865193,0.782662901541819,0.438805835725892
"hydro12","MDFMDFDry.y",0.0199273575445968,0.14702,1.1352722695579,0.390649962191591,2.90611130022616,0.0061469906064745,-0.711602731905843,0.275360850904105,-2.58425527655586,0.0138406940299483
"hydro13","FRic.SES",0,1,1,3.14593332369908e-17,31787069117668736,0,-1.37342207764926e-16,8.29149492975475e-17,-1.65642274316615,0.106093954988142
"hydro14","FDis.SES",0.0108570674297058,0.17456,0.173202884092479,0.0542449402499801,3.19297769145469,0.00287304703336298,-0.0482274496162298,0.0435101381771973,-1.1084186729038,0.274834290127669
"hydro15","MDFAnnHSNum.x",0.000772342547328215,0.28446,0.143086049451283,0.32098719183666,0.445768719407642,0.65836193477635,-0.0875966694754834,0.0694085165539339,-1.2620449740835,0.214830271283276
"hydro16","CVAnnHSNum.x",0.0228485533503108,0.14068,2.22337258464053,1.16922469735643,1.90157853290944,0.0650348141225,-0.725691938199001,0.43922288137695,-1.652217971714,0.106952813811914
"hydro17","MDFAnnHSNum.y",0.0392407288556654,0.11519,-0.823613248828857,0.444140687210274,-1.85439720463828,0.0716659943893077,-0.657941482068524,0.726633535003501,-0.905465341708119,0.3710776319635
