,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv],138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv],138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv],138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv],138102C [138102C_amamoor.csv],138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv],138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv],138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv],138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv],138903A [138903A_tinana.csv],141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv],141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv],143112A [reynolds_short.csv],143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv],146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv],145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv],145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv],145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv],146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv],146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv],Mary_Miva [Mary River at Miva (S).csv],WideBay_Brooyar [Wide Bay Creek at Brooyar (S).csv],Glaston_Glaston [Glastonbury Creek at Glastonbury (S).csv],Munna_Marodian [Munna Creek at Marodian (S).csv],Amamoor_Zach [Amamoor Creek at Zachariah (S).csv],ObiObi_Kida [Obi Obi Creek at Kidaman (S).csv],SixMile_Cooran [Six Mile Creek at Cooran (S).csv],Mary_Moy [Mary River at Moy Pocket (S).csv],Yabba_Borumba [Yabba Creek at Borumba Dam (S).csv],Tinana_Bauple [Tinana Creek at Bauple East (S).csv],Eudlo_Kiels [Eudlo Creek at Kiels Mountain (S).csv],NthMar_Eumund [North Maroochy River at Eumundi (S).csv],Moogerah_Out [Reynolds Creek at Moogerah Dam Outflows (S).csv],Stanley_Peach [Stanley River at Peachester (S).csv],Teviot_Over [Teviot Brook at The Overflow (S).csv],Logan_Rath [Logan River at Rathdowney (S).csv],Burnett_MaroonTW [Burnett Creek at Maroon Dam Tailwater (S).csv],Nerang_Glenh [Nerang River at Glenhurst (S).csv],Coomera_Army [Coomera River at Army Camp (S).csv],Currumbin_Nich [Currumbin Creek at Nicholls Bridge (S).csv]
138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv],0,0.297935007,0.262225841,0.183859632,0.287726416,0.117413807,0.15460356,0.112071119,0.382799961,0.109249599,0.175157794,0.231188471,0.324589506,0.149534878,0.274859844,0.228870501,0.17899271,0.257827876,0.148376147,0.239493786,0.082322472,0.190971714,0.179044653,0.202887025,0.221701741,0.130991707,0.11867971,0.110483438,0.207644293,0.12739733,0.146220466,0.203904398,0.34878921,0.155699896,0.188270049,0.119569857,0.189112231,0.138537047,0.156832666,0.17433315
138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv],0.297935007,0,0.130511505,0.18975404,0.16579391,0.313159644,0.246963718,0.243347145,0.492041584,0.259366278,0.286942946,0.320985868,0.483375366,0.303120196,0.361347742,0.142373219,0.292175867,0.353670808,0.281826953,0.424204513,0.350587499,0.177378046,0.187412964,0.181072037,0.1777113,0.315259644,0.304176554,0.279811973,0.229849081,0.28515067,0.292183982,0.317271151,0.415036562,0.310826269,0.190646677,0.278820724,0.280215273,0.346914386,0.29123891,0.350005269
138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv],0.262225841,0.130511505,0,0.171376168,0.110264222,0.287311657,0.217822305,0.20028183,0.466910105,0.217090407,0.254002206,0.295475068,0.445171266,0.27271213,0.323669856,0.133418178,0.281385146,0.31739999,0.257106736,0.396034325,0.311378201,0.152269616,0.15281856,0.186238312,0.090152442,0.286030375,0.262519939,0.234590947,0.179492636,0.252489912,0.25532562,0.278743798,0.413085419,0.283076365,0.1729216,0.258869072,0.251904645,0.317681716,0.270599997,0.322333063
138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv],0.183859632,0.18975404,0.171376168,0,0.180722896,0.211163156,0.1659809,0.151692011,0.423514279,0.159100879,0.181926504,0.230609388,0.387136948,0.20627671,0.256549795,0.123797194,0.194538382,0.287377151,0.180638969,0.299782639,0.232915751,0.173628959,0.16795135,0.054318101,0.134921085,0.22851068,0.203298631,0.190874248,0.149229908,0.196002481,0.183153965,0.204484338,0.304142031,0.203879924,0.1173659,0.168785132,0.168279913,0.211371508,0.192485619,0.232330659
138102C [138102C_amamoor.csv],0.287726416,0.16579391,0.110264222,0.180722896,0,0.293751728,0.23030981,0.227959295,0.504426471,0.224127719,0.252036704,0.281698422,0.441092707,0.279122391,0.310398375,0.163188883,0.303004432,0.341365744,0.270663929,0.373034531,0.32663581,0.188457124,0.207224194,0.192231898,0.135664837,0.307918677,0.275380403,0.258254768,0.212575835,0.269912435,0.263951122,0.29129114,0.405284901,0.286452455,0.179456338,0.282396993,0.280838612,0.313810946,0.283998302,0.325060503
138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv],0.117413807,0.313159644,0.287311657,0.211163156,0.293751728,0,0.141203104,0.116185793,0.30853397,0.125953886,0.134354635,0.193311805,0.238802893,0.105095881,0.247672906,0.249958706,0.154862844,0.19550939,0.112291951,0.177070561,0.124355159,0.215621321,0.189152761,0.223383573,0.232566442,0.04239317,0.077060607,0.108679025,0.229826866,0.127785422,0.115025651,0.173368723,0.306406911,0.093610827,0.214181155,0.11138558,0.162618294,0.09760166,0.113673763,0.09833152
138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv],0.15460356,0.246963718,0.217822305,0.1659809,0.23030981,0.141203104,0,0.103537402,0.399183975,0.130938714,0.107783831,0.126918064,0.349069856,0.102653189,0.295562952,0.158952175,0.174923972,0.275007236,0.117532024,0.221766803,0.186586098,0.205202918,0.177264927,0.197302591,0.19061009,0.163229277,0.108749848,0.147610351,0.1843378,0.171421116,0.10110466,0.111535421,0.292239319,0.114889838,0.152442407,0.108434401,0.152339437,0.147340758,0.129296632,0.153768329
138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv],0.112071119,0.243347145,0.20028183,0.151692011,0.227959295,0.116185793,0.103537402,0,0.389539754,0.123221343,0.131342771,0.199803839,0.330430862,0.107580112,0.28337591,0.166389026,0.147583391,0.248602836,0.111307149,0.224074062,0.135492372,0.163653612,0.131734469,0.178586016,0.1661704,0.132909271,0.099875078,0.070888094,0.173733805,0.134910923,0.123530269,0.16855011,0.326798668,0.11517478,0.156943204,0.107612624,0.16537441,0.157429989,0.125779928,0.155092772
138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv],0.382799961,0.492041584,0.466910105,0.423514279,0.504426471,0.30853397,0.399183975,0.389539754,0,0.360296862,0.331484084,0.423439649,0.254828871,0.369650299,0.360585207,0.444122495,0.405773363,0.296671953,0.345396844,0.379467377,0.369055505,0.443453975,0.40731448,0.41120751,0.442465129,0.306012789,0.364162769,0.370830417,0.460031153,0.338680369,0.346089265,0.394856597,0.405013291,0.361758799,0.446631104,0.388020881,0.391290632,0.321939724,0.346054463,0.316966484
138903A [138903A_tinana.csv],0.109249599,0.259366278,0.217090407,0.159100879,0.224127719,0.125953886,0.130938714,0.123221343,0.360296862,0,0.147365802,0.209940525,0.306008616,0.15123213,0.236833771,0.187984289,0.179585073,0.249655228,0.141935062,0.240492128,0.158388994,0.181378787,0.168377044,0.159252564,0.182254121,0.142594575,0.143860922,0.13093352,0.198699656,0.096962669,0.137771954,0.18692075,0.333913689,0.151445562,0.150413932,0.131558904,0.178918184,0.145728761,0.157410863,0.16677284
