"","R2.linear","Estimate","Std. Error","t value","Pr(>|t|)"
"richness.stand.ln",1,1,1.47798062230996e-17,67659885718737136,0
"richness.stand",0.90592,12.9112130358157,0.674980500242609,19.1282756037768,4.23055470793573e-21
"production_dryland_w",0.17457,2.13478703708831,0.753045100875224,2.8348727514556,0.0073046342844547
"M_MinM.y",0.35734,0.925481360315328,0.201336094915629,4.59669867294861,4.63931054280974e-05
"CVMDFWet.y",0.10353,-0.835010750158929,0.398599825336185,-2.09485979943586,0.0429030898777214
"leaf.area",0.18681,0.237329279615699,0.080326947109697,2.95454126112368,0.00535069554173054
"exotics",0.13863,-1.30066916681158,0.525951523890234,-2.47298297985924,0.0179862656158252
"richness",0.81787,8.97783475400159,0.687265511156574,13.0631242340287,1.25195853571656e-15
"nbsp",0.65804,0.0442787151828594,0.0051779797128474,8.55134968431739,2.18779523756734e-10
"FRic",0.46253,7.4406447636026,1.30114999044432,5.71851425142902,1.38525606620893e-06
"M_MinM.x",0.12167,9.74273904067608,4.2464981131229,2.29429962786707,0.0273905853807728
"C_MinM.x",0.18587,-3.32692351706429,1.12950338783814,-2.94547458014445,0.00547957357968035
"CVAnnHSMeanDur.x",0.12822,-1.94902033872854,0.824428317640802,-2.36408708558906,0.0232884254132641
"HSMeanDur.x",0.13774,-0.155962480970012,0.0633006966291118,-2.46383514361334,0.018385264330335
"soil_soc",0.20855,0.474707087102543,0.150017799773504,3.16433841730284,0.0030558860384213
"soil_slt",0.20661,0.120359780529024,0.0382611508998853,3.14574386023985,0.00321370266683776
"soil_phc",0.3716,-1.1653694674679,0.245837161033345,-4.74041215969716,2.97692838552311e-05
"soil_ece",0.37544,-0.130156863089787,0.0272329448860631,-4.77938994972215,2.6382377443911e-05
"soil_bdw",0.15115,-3.12731792070841,1.20222276196876,-2.60127991220788,0.0131630128391871
"soil_awc",0.25591,-0.449085582976362,0.124225477811201,-3.61508436827176,0.00086832869701004
"clim_tsea",0.38751,-0.0141177653546757,0.00287926838139921,-4.90324745198466,1.7953130447675e-05
"clim_tcld",0.11213,0.226833027384576,0.103545554018907,2.19065926619271,0.0346813240550666
"clim_pwet",0.37023,0.00367407296213807,0.000777336229316876,4.7264913477233,3.10801533185862e-05
"clim_pdry",0.37486,0.0137503256139178,0.00288055580409215,4.77349739046331,2.68688359442112e-05
