"","Taxon","leaf.area","source"
"1","Acacia bakeri",16.25,"AUSTRAITS_dataset_68"
"2","Acacia bakeri",17.063,"AUSTRAITS_dataset_49"
"15","Acmena smithii",11.91,"AUSTRAITS_dataset_68"
"16","Acmena smithii",14,"AUSTRAITS_dataset_68"
"18","Acmena smithii",20.166,"AUSTRAITS_dataset_30"
"19","Acmena smithii",20.17,"AUSTRAITS_dataset_68"
"20","Acmena smithii",24.75,"AUSTRAITS_dataset_68"
"21","Acmena smithii",25.3,"Gallagher_field_workPHD"
"22","Acmena smithii",25.5,"AUSTRAITS_dataset_32"
"23","Acmena smithii",25.872,"AUSTRAITS_dataset_49"
"24","Acmena smithii",27.85,"AUSTRAITS_dataset_68"
"37","Acronychia oblongifolia",16.52,"AUSTRAITS_dataset_49"
"38","Acronychia oblongifolia",24.93,"Gallagher_field_workPHD"
"51","Ailanthus triphysa",6.5,"AUSTRAITS_dataset_68"
"52","Ailanthus triphysa",7.875,"AUSTRAITS_dataset_49"
"57","Alangium villosum",19,"AUSTRAITS_dataset_68"
"60","Alangium villosum",27.2,"AUSTRAITS_dataset_39"
"61","Alangium villosum",34.32,"Gallagher_field_workPHD"
"62","Alangium villosum",34.9,"Gallagher_field_workPHD"
"63","Alangium villosum",36.723,"AUSTRAITS_dataset_28"
"64","Alangium villosum",41.125,"AUSTRAITS_dataset_49"
"66","Alangium villosum",44.307,"AUSTRAITS_dataset_28"
"67","Alangium villosum",45.44,"AUSTRAITS_dataset_28"
"75","Alchornea ilicifolia",11.67,"AUSTRAITS_dataset_68"
"76","Alchornea ilicifolia",23.1,"AUSTRAITS_dataset_49"
"80","Alectryon tomentosus",23.625,"AUSTRAITS_dataset_49"
"86","Alphitonia excelsa",14.907,"AUSTRAITS_dataset_52"
"87","Alphitonia excelsa",14.91,"AUSTRAITS_dataset_68"
"88","Alphitonia excelsa",17.16,"AUSTRAITS_dataset_43"
"89","Alphitonia excelsa",17.2,"AUSTRAITS_dataset_61"
"90","Alphitonia excelsa",17.255,"AUSTRAITS_dataset_49"
"91","Alphitonia excelsa",17.587,"AUSTRAITS_dataset_52"
"92","Alphitonia excelsa",17.59,"AUSTRAITS_dataset_68"
"93","Alphitonia excelsa",20.928,"AUSTRAITS_dataset_8"
"95","Alphitonia excelsa",20.93,"AUSTRAITS_dataset_68"
"96","Alphitonia excelsa",22.17,"AUSTRAITS_dataset_68"
"98","Alphitonia excelsa",32.28,"AUSTRAITS_dataset_43"
"99","Alphitonia excelsa",32.3,"AUSTRAITS_dataset_45"
"101","Alphitonia excelsa",51.975,"AUSTRAITS_dataset_56"
"114","Alyxia ruscifolia",2.03,"AUSTRAITS_dataset_56"
"115","Alyxia ruscifolia",3.97,"AUSTRAITS_dataset_68"
"117","Alyxia ruscifolia",4.9,"AUSTRAITS_dataset_49"
"123","Aphananthe philippinensis",6,"AUSTRAITS_dataset_68"
"125","Aphananthe philippinensis",8.75,"AUSTRAITS_dataset_49"
"126","Aphananthe philippinensis",12.01,"Gallagher_field_workPHD"
"135","Aphananthe philippinensis",8.001142857,"C. James SEQLD field data"
"136","Aphananthe philippinensis",2.266,"C. James SEQLD field data"
"137","Aphananthe philippinensis",2.605,"C. James SEQLD field data"
"140","Araucaria cunninghamii",0.219,"AUSTRAITS_dataset_49"
"141","Araucaria cunninghamii",0.75,"AUSTRAITS_dataset_68"
"150","Archidendron muellerianum",19.833,"AUSTRAITS_dataset_68"
"151","Archidendron muellerianum",23.8,"AUSTRAITS_dataset_49"
"154","Archirhodomyrtus beckleri",6.476,"AUSTRAITS_dataset_8"
"155","Archirhodomyrtus beckleri",6.48,"AUSTRAITS_dataset_68"
"156","Archirhodomyrtus beckleri",7.67,"AUSTRAITS_dataset_68"
"157","Archirhodomyrtus beckleri",8.64,"AUSTRAITS_dataset_68"
"160","Archirhodomyrtus beckleri",10.535,"AUSTRAITS_dataset_49"
"161","Archirhodomyrtus beckleri",15.58,"AUSTRAITS_dataset_39"
"2807","Archontophoenix spp",225,"NSW flora online, leaf area calculated as mean leaf length * mean leaf width"
"168","Ardisia crenata",14.875,"NSW Flora Online"
"170","Argophyllum nullumense",24.5,"AUSTRAITS_dataset_49"
"174","Argyrodendron trifoliolatum",14.667,"AUSTRAITS_dataset_68"
"176","Argyrodendron trifoliolatum",20.568,"AUSTRAITS_dataset_52"
"192","Argyrodendron trifoliolatum",22.281,"C. James SEQLD field data"
"193","Argyrodendron trifoliolatum",27.192,"C. James SEQLD field data"
"199","Aristolochia elegans",25.025,"NSW Flora Online"
"202","Arytera distylis",10,"AUSTRAITS_dataset_68"
"204","Arytera distylis",10.5,"AUSTRAITS_dataset_49"
"206","Arytera divaricata",18.75,"AUSTRAITS_dataset_68"
"208","Arytera divaricata",35.77,"Gallagher_field_workPHD"
"209","Arytera divaricata",38.588,"AUSTRAITS_dataset_49"
"210","Arytera divaricata",43.6,"Gallagher_field_workPHD"
"211","Arytera divaricata",45.82,"Gallagher_field_workPHD"
"212","Arytera divaricata",46.61,"Gallagher_field_workPHD"
"223","Atalaya salicifolia",13.781,"AUSTRAITS_dataset_49"
"227","Atractocarpus chartaceus",11.67,"AUSTRAITS_dataset_68"
"228","Atractocarpus chartaceus",12.25,"AUSTRAITS_dataset_49"
"232","Auranticarpa rhombifolia",23.8,"AUSTRAITS_dataset_49"
"237","Backhousia myrtifolia",4.03,"AUSTRAITS_dataset_10"
"239","Backhousia myrtifolia",8.663,"AUSTRAITS_dataset_49"
"240","Backhousia myrtifolia",11.57,"AUSTRAITS_dataset_68"
"254","Beilschmiedia obtusifolia",14.67,"AUSTRAITS_dataset_68"
"257","Beilschmiedia obtusifolia",31.51,"Gallagher_field_workPHD"
"258","Beilschmiedia obtusifolia",33.6,"AUSTRAITS_dataset_49"
"266","Breynia oblongifolia",3.3,"AUSTRAITS_dataset_3"
"267","Breynia oblongifolia",1.2,"AUSTRAITS_dataset_10"
"271","Breynia oblongifolia",1.663,"AUSTRAITS_dataset_49"
"272","Breynia oblongifolia",2.08,"AUSTRAITS_dataset_68"
"273","Breynia oblongifolia",2.545,"AUSTRAITS_dataset_8"
"275","Breynia oblongifolia",2.55,"AUSTRAITS_dataset_68"
"276","Breynia oblongifolia",3.18,"AUSTRAITS_dataset_68"
"278","Breynia oblongifolia",4.758,"AUSTRAITS_dataset_30"
"279","Breynia oblongifolia",4.76,"AUSTRAITS_dataset_68"
"280","Breynia oblongifolia",5.691,"AUSTRAITS_dataset_12"
"281","Breynia oblongifolia",6.28,"AUSTRAITS_dataset_68"
"282","Breynia oblongifolia",6.281,"AUSTRAITS_dataset_8"
"300","Bridelia exaltata",19.83,"AUSTRAITS_dataset_68"
"301","Bridelia exaltata",20.825,"AUSTRAITS_dataset_49"
"304","Bridelia leichhardtii",10.264,"AUSTRAITS_dataset_49"
"305","Bursaria incana",3.15,"AUSTRAITS_dataset_29"
"306","Bursaria incana",3.325,"AUSTRAITS_dataset_49"
"311","Calamus muelleri",21.95,"Gallagher_field_workPHD"
"312","Calamus muelleri",47.25,"AUSTRAITS_dataset_68"
"314","Calamus muelleri",90.56,"AUSTRAITS_dataset_68"
"315","Calamus muelleri",54.675,"AUSTRAITS_dataset_68"
"324","Callerya megasperma",5.25,"AUSTRAITS_dataset_68"
"326","Callerya megasperma",12.833,"AUSTRAITS_dataset_68"
"327","Callerya megasperma",13.48,"Gallagher_field_workPHD"
"328","Callerya megasperma",7.35,"AUSTRAITS_dataset_49"
"348","Callistemon viminalis",3.535,"C. James SEQLD field data"
"349","Callistemon viminalis",3.792,"C. James SEQLD field data"
"350","Callistemon viminalis",2.064,"C. James SEQLD field data"
"352","Callistemon viminalis",2.45,"NSW Flora Online"
"355","Canarium australasicum",21,"AUSTRAITS_dataset_68"
"357","Canarium australasicum",26.6,"AUSTRAITS_dataset_49"
"365","Capparis arborea",16.25,"AUSTRAITS_dataset_68"
"367","Capparis arborea",16.35,"Gallagher_field_workPHD"
"368","Capparis arborea",17.83,"Gallagher_field_workPHD"
"369","Capparis arborea",23.625,"AUSTRAITS_dataset_49"
"370","Capparis arborea",27.995,"AUSTRAITS_dataset_28"
"371","Capparis arborea",31.538,"AUSTRAITS_dataset_28"
"372","Capparis arborea",33.117,"AUSTRAITS_dataset_28"
"373","Capparis arborea",33.12,"AUSTRAITS_dataset_68"
"380","Capparis velutina",18.2,"AUSTRAITS_dataset_49"
"381","Capparis velutina",19.6,"AUSTRAITS_dataset_49"
"2741","Cardiospermum grandiflorum",8.81,"NSW flora online"
"383","Carex appressa",17.48,"AUSTRAITS_dataset_68"
"384","Carex appressa",31.86,"AUSTRAITS_dataset_68"
"385","Carex appressa",36,"AUSTRAITS_dataset_10"
"2777","Carex spp",17.48,"AUSTRAITS_dataset_68"
"2778","Carex spp",31.86,"AUSTRAITS_dataset_68"
"2779","Carex spp",36,"AUSTRAITS_dataset_10"
"394","Carissa ovata",3.75,"AUSTRAITS_dataset_68"
"395","Carissa ovata",4.62,"AUSTRAITS_dataset_49"
"399","Carronia multisepalea",43.4,"AUSTRAITS_dataset_49"
"402","Carronia multisepalea",47.67,"AUSTRAITS_dataset_68"
"405","Castanospermum australe",27.65,"AUSTRAITS_dataset_32"
"406","Castanospermum australe",27.651,"AUSTRAITS_dataset_67"
"407","Castanospermum australe",29.333,"AUSTRAITS_dataset_68"
"409","Castanospermum australe",30.625,"AUSTRAITS_dataset_49"
"410","Castanospermum australe",48.39,"AUSTRAITS_dataset_68"
"423","Castanospermum australe",28.4685,"C. James SEQLD field data"
"424","Castanospermum australe",20.5552,"C. James SEQLD field data"
"427","Casuarina cunninghamiana",0.019,"AUSTRAITS_dataset_29"
"428","Casuarina cunninghamiana",0.188,"AUSTRAITS_dataset_8"
"430","Casuarina cunninghamiana",0.19,"AUSTRAITS_dataset_68"
"443","Casuarina cunninghamiana",1.120625,"C. James SEQLD field data"
"448","Cayratia clematidea",2.7,"AUSTRAITS_dataset_10"
"450","Cayratia clematidea",5.21,"AUSTRAITS_dataset_68"
"454","Cayratia clematidea",5.9,"Gallagher_field_workPHD"
"455","Cayratia clematidea",6.75,"AUSTRAITS_dataset_68"
"456","Cayratia clematidea",7.15,"Gallagher_field_workPHD"
"457","Cayratia clematidea",8.75,"AUSTRAITS_dataset_49"
"471","Celtis sinensis",93.2,"http://www.sciencedirect.com/science/article/pii/S1146609X06000452"
"475","Celtis sinensis",10.7586,"C. James SEQLD field data"
"476","Celtis sinensis",8.276,"C. James SEQLD field data"
"483","Cinnamomum camphora",11.128,"C. James SEQLD field data"
