"","metric","p","R2.adj","est","stderr","t","p.term","est.quad","stderr.quad","t.quad","p.term.quad"
"hydro","clim_pdry",0.000166390947200205,0.34143,0.000726944293852391,0.00210431612582741,0.345453938659791,0.731709522075796,1.06836959226939e-06,7.79913256884423e-06,0.136985694606255,0.891784805722349
"hydro1","clim_pwet",0.00010556557917939,0.35743,0.000246085291046663,0.000471321496701099,0.522117689876396,0.604700456430841,3.21664127244543e-08,4.70154057075389e-07,0.0684167502978633,0.94582229620208
"hydro2","clim_tcld",0.0314145824222139,0.12577,0.446285662512859,0.238731978422245,1.86940042746814,0.0694973852809145,-0.014906807494975,0.00825886575574755,-1.80494609500112,0.0792265703198635
"hydro3","clim_tsea",0.000170663164962563,0.34053,-0.00887183226999849,0.00644963948953477,-1.37555475533074,0.177230562507206,9.67172176830796e-06,7.90753665558361e-06,1.22310173061021,0.229024465748052
"hydro4","soil_phc",0.000652027850429781,0.29098,-0.44395336045786,0.630067421273217,-0.704612467600269,0.485463261900669,0.0357840505405762,0.0618996020523041,0.578098232527235,0.566699920515631
"hydro5","soil_pto",0.0465170694904102,0.10702,-3.91874930802682,2.16605471362373,-1.80916450696248,0.0785562690000086,27.0357035481473,19.6981484798801,1.37249973396037,0.178171080337499
"hydro6","soil_soc",0.0153589173443744,0.15894,0.0274764513748858,0.077182576837675,0.35599292613244,0.723867716404546,0.000949707074894377,0.0104265498188883,0.0910854588901432,0.927916032354756
"hydro7","HSMeanDur.x",0.001440899863968,0.25993,-0.107175234476784,0.0358454197793788,-2.98992828474113,0.00493884612116181,0.00830931914722793,0.00312476070309284,2.65918575428944,0.0115065239766451
"hydro8","CVAnnHSPeak.x",0.0268189454063363,0.13321,-0.486462032552292,0.223471078313379,-2.17684559551869,0.0359468296195822,0.34970624554264,0.143050097867433,2.44464177764295,0.0193832898389478
"hydro9","CVAnnHSMeanDur.x",0.0305123856321775,0.12714,-0.57306853332425,0.445421630765032,-1.28657544614521,0.206234343451002,0.43706374695974,0.462980274413113,0.944022393856357,0.351282187860248
"hydro10","C_MinM.x",0.00251620880767069,0.23728,-0.687950755235117,0.235075177242082,-2.92651382126434,0.00582969649161381,1.33475023526778,0.682650857297178,1.95524582002645,0.0581391144890549
"hydro11","FRic",4.19300132511632e-06,0.46026,0.930763993690135,0.304781131565432,3.05387669147857,0.00417136888388612,-2.01811486224177,1.53249015730831,-1.31688601888733,0.195975249562094
"hydro12","nbsp",6.1836043454015e-09,0.62056,0.00446333025951099,0.00225574666817167,1.97864872083735,0.0553358000060074,-2.01735040350546e-05,3.57803901889314e-05,-0.563814534400891,0.576282034562541
"hydro13","richness",6.08956373142544e-19,0.89079,0.884584114081507,0.144027511031143,6.14177185836553,4.03644031926445e-07,-0.74213290905627,0.531157415763432,-1.39719956275034,0.170676902479594
"hydro14","seed.mass",0.021814805611091,0.14283,0.135813510000887,0.0466012649960145,2.91437389119162,0.0060165910533414,-0.0392700825980585,0.014109875988193,-2.78316284501148,0.00842786401650016
"hydro15","leaf.area",0.0160427106678546,0.15695,0.0731027715278447,0.0327860600492704,2.22969064956225,0.0319203024249106,-0.00556183572861836,0.00306151214428875,-1.81669562833319,0.0773715230444278
"hydro16","MDFMDFDry.y",0.000353352002175807,0.31407,-0.227878047160968,0.0533561906641078,-4.27088299079529,0.000130370292219159,0.136821222108271,0.0376096441424067,3.63792918620036,0.000833065409428954
"hydro17","LSPeak.y",0.0346905415353391,0.12107,0.0854000284424084,0.0409343319753434,2.08626901481741,0.0439037835551897,-0.177162889488117,0.0655989998675068,-2.7006949777579,0.01037554683068
"hydro18","M_MinM.y",3.22648621326494e-05,0.39731,0.105136983732485,0.0262705762025311,4.00208137506916,0.000289794587975243,-0.0354453073349894,0.0232970110280274,-1.52145300065949,0.136647341646668
"hydro19","M_MaxM.y",0.00341204871760264,0.22462,0.0730244618677127,0.0208564877937184,3.50128279458953,0.00122667346432687,-0.0267129379266266,0.00737231275571028,-3.62341354901633,0.000868248016502283
"hydro20","production_dryland_w",0.00256086924527003,0.23656,0.508000466290621,0.156831880532065,3.23914031105914,0.00253459059333261,-0.805647284036692,0.333752691634995,-2.41390497883319,0.0208475345498401
"hydro21","richness.stand",0,1,1,1.99455457855464e-17,50136507205766992,0,7.05396378054394e-17,1.00881854665251e-16,0.699230184055456,0.488780822578265
