"","site","mean","sd","FDis.orig","FDis.SES"
"1",1,0.17879648179222,0.0305819244808093,0.152434966698606,-0.861996605549012
"2",2,0.182393040185096,0.0327667542070758,0.210381048802111,0.854158713436794
"3",3,0.181928816761866,0.0328932276084933,0.195270568205688,0.405607853465167
"4",4,0.183342746508882,0.0305957928708741,0.229118842439436,1.49615655079596
"5",5,0.118591547120216,0.0330808982769929,0.131380075505242,0.386583468137595
"6",6,0.179695735158894,0.0336992631984353,0.227940895357153,1.43163842824015
"7",7,0.149443276546751,0.0421056480110268,0.158717508826565,0.22026100340233
"8",8,0.0945432171449543,0.0301116706123038,0.120620008486023,0.86600280923683
"9",9,0.190214915711142,0.0234059696852567,0.22078994531441,1.30629194237257
"10",10,0.184071275969677,0.0308948807560676,0.219229804403376,1.13800498895904
"11",11,0.181700327878276,0.0328303235995697,0.234158636478673,1.59786145394816
"12",12,0.187467507579705,0.026590324341815,0.167540344557866,-0.749414063765375
"13",13,0.102576431514448,0.0297373847526452,0.159995532518629,1.93087258620057
"14",14,0.175563789275352,0.0355895869822583,0.16924796734961,-0.177462636160698
"15",15,0.188537569102841,0.0259282350280838,0.211743543941118,0.895007886697307
"16",16,0.186798425067622,0.0259378297835338,0.232271806619655,1.75316832331519
"17",17,0.185196799117872,0.0291941211749174,0.23394691300735,1.66986064068827
"18",18,0.186937504146614,0.0263746198916852,0.214072472685009,1.0288288001811
"19",19,0.185485259677953,0.0276626065929492,0.205976080015142,0.740740763829983
"20",20,0.184979863440132,0.031666214787932,0.223056516739191,1.20243778910923
"21",21,0.160630154343317,0.038691260136146,0.20016714071739,1.02185832756418
"22",22,0.188770271411612,0.025363666391723,0.204465277246544,0.618798780607445
"23",23,0.176159272763402,0.0319973603117407,0.182189063719198,0.188446512370062
"24",24,0.177449170637177,0.0364858672277021,0.171985397789993,-0.149750390009529
"25",25,0.189932990028251,0.0228920205248357,0.224410615082066,1.50609794432124
"26",26,0.187966156931002,0.0246316945740498,0.154910612107385,-1.34199231499248
"27",27,0.181627581734531,0.0335914913538363,0.226379160990393,1.3322296049458
"28",28,0.134575031289284,0.0382194281994946,0.15881360021147,0.634194964813901
"29",29,0.190734251993557,0.0223985860590159,0.14493436664636,-2.04476680923177
"30",30,0.187118187353363,0.0254245424747385,0.20593666363397,0.740169711974374
"31",31,0.182236222565803,0.0313944709717616,0.223943527270201,1.32849203740086
"32",32,0.155091183219426,0.049939784747412,0.175874759067837,0.416172715872348
"33",33,0.18391953424955,0.0312875759428802,0.216503346453964,1.04142974399487
"34",34,0.183364136426065,0.0315777706653999,0.187435667291275,0.12893661520164
"35",35,0.186943750516419,0.027462492858801,0.195976026384815,0.328894973767881
"36",36,0.176778755486473,0.0355493752246784,0.192575033216622,0.444347548453795
"37",37,0.178377241723148,0.0328652994121744,0.219867586808816,1.26243624210825
"38",38,0.166044445027562,0.0434382752258198,0.184090157353754,0.415433445098314
"39",39,0.181344856085815,0.030806972615085,0.222328702717687,1.33034320327223
"40",40,0.149887786769852,0.0357246120926159,0.172466841700298,0.632030793557976
"41",41,0.172612918069802,0.0375861735395656,0.233247514960774,1.61321547741868
"42",42,0.145237244439873,0.0356236955805635,0.177557289849135,0.907262564496415
"43",43,0.184323738679993,0.0306479028967874,0.213411401031256,0.949091441891521
"44",44,0.178537489905872,0.0359360816423421,0.214920718433934,1.01244283921018
