"","raw","imputed"
"1",55.2395,790.463919589698
"2",21.1313288488754,131.060378164713
"3",239.893016400627,125.568947929437
"4",14.3107843136667,1383.34641393323
"5",37.699,195.552457721066
"6",191.78,57.9340216458977
"7",23.7102552931315,132.445558342711
"8",20.1637488062229,307.519279062042
"9",142.89354273591,31.3288440060275
"10",36.4741591356523,1456.12876153052
"11",1.495,258.159765088101
"12",568.2,365.908054081815
"13",110,285.688590439488
"14",2.104,22.3126692536361
"15",NA,1007.5634707921
"16",59.7,1190.40763345798
"17",33.27,82.3623323897743
"18",NA,275.888736697896
"19",10.9135,300.487077664203
"20",384,609.077311243404
"21",6.744,136.589239111909
"22",2.927,267.122675524151
"23",443.925,331.119618005171
"24",7385.3471161391,128.352273887841
"25",0.0483264695868348,136.422422088133
"26",0.373767044854716,60.5979845890099
"27",678.88,1188.38601284881
"28",49.052,86.5544135838381
"29",34.692,22.1464995949822
"30",0.9155,30.3943497884894
"31",0.9155,33.1496878080498
"32",50.76,170.567368987694
"33",62.832,49.9969726938492
"34",13487.4390112089,79.5303445119986
"35",1.1005,201.236298002418
"36",24.4743333333333,67.5801150940646
"37",47.44,218.169103867626
"38",92.5,71.0390066473443
"39",NA,396.447523983274
"40",65.4,43.137154961301
"41",37.7593333333333,918.32902438638
"42",NA,555.348525910272
"43",NA,365.065719640008
"44",3.993,32.0866099223326
"45",43.7,111.76152261838
"46",9.5,142.420070142087
"47",NA,146.195749125249
"48",323.99,284.899399919165
"49",NA,89.1067929827628
"50",NA,914.476886033737
"51",263.884307802667,386.632079778999
"52",183.145331763925,558.63396425388
"53",0.055,254.695421646105
"54",0.055,342.644213705734
"55",NA,151.419211065586
"56",17.508,375.123651463341
"57",3.89,25.4124078845734
"58",21.3085,119.292872995836
"59",233.462,903.161610851392
"60",38.4701665346167,92.0281825380692
"61",NA,600.886881405985
"62",46.04,341.471243329517
"63",NA,2892.05138696978
"64",91.2435,181.352417089849
"65",108.47,796.874252680354
"66",27.7260968060315,1126.71532296175
"67",86.232,354.314795087847
"68",NA,530.102063598268
"69",NA,295.146081413908
"70",59.49,880.114857396644
"71",250.42,381.47771299396
"72",20585.2752053774,208.105263604426
"73",NA,125.014506359643
"74",1758.5,76.024384798058
"75",258.292,450.503376831616
"76",13.424157367255,971.19517760141
"77",7.62,348.279840712178
"78",0.445,140.94223628723
"79",0.23,3029.00336268915
"80",0.44,423.019625718993
"81",0.8725,45.514579990905
"82",0.13,1134.2995170618
"83",0.25,2439.56884100353
"84",1.978,1781.68749049328
"85",33.0403313391311,42.8503448839087
"86",53.326,883.865960541931
"87",15.32,20.3487948713003
"88",2.24233836543282,523.066119966244
"89",21.8742563300835,721.646511931083
"90",42.6376666666667,653.359321207374
"91",152.7,284.705577495515
"92",41.5,657.681113807649
"93",NA,432.675527893002
"94",6.7451208425893,1133.00595832532
"95",NA,169.999932096901
"96",37.2531570887905,864.734752633872
"97",19.0005,170.364979672643
"98",36,459.92764176068
"99",48,195.718708104734
"100",22.793,70.7664733381013
"101",16.8256666666667,131.277110895252
"102",13.92,23.4631781995806
"103",11.33,28.9167305602076
"104",11.33,30.8142561295484
"105",6.50012467935515,3881.12259016357
"106",0.565,2676.83618979482
"107",NA,164.718154530353
"108",29,765.291477380339
"109",11.167,83.9734906699856
"110",62.860363750646,79.0550074645718
"111",22.7502591092639,156.995669553029
"112",77.35,45.4092908748238
"113",0.0570170270528256,129.684309973811
"114",0.200263476228058,337.305635306864
"115",0.0570170270528256,112.97290239372
"116",321.375832537482,129.492235427663
"117",22,54.8554597261821
"118",187.2,910.180302145257
"119",7.24833333333333,528.469693334865
"120",28.404,239.050016885357
"121",146.0075,479.617749173331
"122",97.8275,1601.35381960553
"123",43.521,129.650001138591
"124",83.76,26.9366686859825
"125",82.5,5165.99104378722
"126",3.9844375,128.469629890235
"127",56,88.2137922417238
"128",8.848,78.3943138246556
"129",13.481,20.5876663880611
"130",219,361.797708834852
"131",11.071,30.8496220142027
"132",9.34253904089783,121.719687234191
"133",670.457262907258,1722.95489306544
"134",6.84026093777776,233.475881378917
"135",109,769.173613300935
"136",NA,1002.43080737048
"137",18.413,1084.47903583059
"138",9.58908578102923,708.6539862129
"139",16.978,881.630359535726
"140",3.798,460.021273716931
"141",4.1765,2367.24868358297
"142",448.871,429.616038855216
"143",295.6,333.015087374783
"144",1.89,397.174007867129
"145",0.85,71.7501089323086
"146",0.524784110637871,56.6138357965542
"147",37.19,507.285361395997
"148",7.87903786820389,57.3762920852072
"149",0.91,28.574335733781
"150",18.5,58.0390641696593
"151",20.604,40.7283530940322
"152",NA,68.1876218877541
"153",NA,987.114620143596
"154",35.2845,86.1925585104454
"155",1.07,23.2225212643405
"156",20.588666673519,36.3078446725144
"157",NA,330.365197880207
"158",12,483.777026351138
"159",202.231066045636,415.826496775015
"160",243.77094605727,516.933878091113
"161",1455.38103790523,332.374388867584
"162",21.1037099916711,1659.20247686053
"163",198.320896260964,1147.64050409038
"164",23.597,63.8333434291549
"165",2.148,41.0509880472469
"166",9,35.1328832871728
"167",NA,983.017358686129
"168",2,898.638360563525
"169",3.53,42.8124830428981
"170",10.25641026,691.28307747543
"171",80.55,198.88777230317
"172",17,99.6497911260697
"173",131.15,609.339742748646
"174",NA,89.7800486018557
