"","Taxon","maximum.height","source","vine"
"74","Elaeocarpus grandis",34.7,"AUSTRAITS_dataset_32",NA
"75","Elaeocarpus obovatus",40,"AUSTRAITS_dataset_49",NA
"76","Elattostachys nervosa",40,"AUSTRAITS_dataset_49",NA
"77","Elattostachys xylocarpa",25,"AUSTRAITS_dataset_49",NA
"78","Endiandra discolor",25,"AUSTRAITS_dataset_49",NA
"79","Endiandra globosa",30,"AUSTRAITS_dataset_49",NA
"80","Endiandra pubens",25,"AUSTRAITS_dataset_49",NA
"81","Endiandra sieberi",30,"AUSTRAITS_dataset_49",NA
"82","Endiandra virens",10,"AUSTRAITS_dataset_49",NA
"83","Erythrina species 'croftby'",30,"AUSTRAITS_dataset_49",NA
"84","Eugenia uniflora",8,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=T40",NA
"85","Eupomatia bennettii",2,"AUSTRAITS_dataset_49",NA
"86","Eupomatia laurina",15,"AUSTRAITS_dataset_8",NA
"87","Euroschinus falcatus",30,"AUSTRAITS_dataset_49",NA
"88","Ficus coronata",20,"AUSTRAITS_dataset_49",NA
"89","Ficus fraseri",35,"AUSTRAITS_dataset_49",NA
"90","Ficus obliqua",50,"AUSTRAITS_dataset_49",NA
"91","Ficus opposita",10,"AUSTRAITS_dataset_49",NA
"92","Ficus racemosa",35,"AUSTRAITS_dataset_49",NA
"93","Ficus virens",40,"AUSTRAITS_dataset_49",NA
"94","Ficus watkinsiana",40,"AUSTRAITS_dataset_49",NA
"96","Flindersia schottiana",45,"AUSTRAITS_dataset_49",NA
"98","Glochidion ferdinandi",35,"AUSTRAITS_dataset_49",NA
"99","Grevillea robusta",35,"AUSTRAITS_dataset_49",NA
"100","Guioa semiglauca",40,"AUSTRAITS_dataset_49",NA
"101","Helicia glabriflora",30,"AUSTRAITS_dataset_49",NA
"102","Heritiera trifoliolata",40,"NSW Flora Online",NA
"103","Hibiscus heterophyllus",8,"AUSTRAITS_dataset_49",NA
"105","Hodgkinsonia ovatiflora",35,"AUSTRAITS_dataset_49",NA
"106","Hymenosporum flavum",28,"AUSTRAITS_dataset_49",NA
"107","Ixora beckleri",15,"AUSTRAITS_dataset_49",NA
"108","Jagera pseudorhus",15,"AUSTRAITS_dataset_49",NA
"109","Lantana camara",4,"AUSTRAITS_dataset_8",NA
"110","Lepiderema pulchella",15,"AUSTRAITS_dataset_49",NA
"111","Leucaena leucocephala",8,"NSW Flora Online",NA
"112","Ligustrum lucidum",4.5,"AUSTRAITS_dataset_8",NA
"113","Ligustrum sinense",3,"AUSTRAITS_dataset_10",NA
"114","Lomandra longifolia",1,"AUSTRAITS_dataset_8",NA
"115","Lophostemon confertus",40,"AUSTRAITS_dataset_49",NA
"116","Lophostemon suaveolens",30,"AUSTRAITS_dataset_39",NA
"117","Macadamia tetraphylla",18,"AUSTRAITS_dataset_49",NA
"119","Mallotus claoxyloides",8,"AUSTRAITS_dataset_49",NA
"120","Mallotus discolor",30,"AUSTRAITS_dataset_49",NA
"121","Mallotus philippensis",25,"AUSTRAITS_dataset_49",NA
"123","Medicosma cunninghamii",10,"AUSTRAITS_dataset_49",NA
"124","Melaleuca bracteata",15,"AUSTRAITS_dataset_49",NA
"125","Melaleuca quinquenervia",35,"AUSTRAITS_dataset_49",NA
"126","Melia azedarach",45,"AUSTRAITS_dataset_49",NA
"127","Micromelum minutum",10,"AUSTRAITS_dataset_56",NA
"128","Mischarytera lautereriana",30,"AUSTRAITS_dataset_49",NA
"129","Mischocarpus australis",35,"AUSTRAITS_dataset_49",NA
"130","Mischocarpus pyriformis",30,"AUSTRAITS_dataset_49",NA
"132","Myrsine variabilis",10,"AUSTRAITS_dataset_49",NA
"133","Neolitsea dealbata",20,"AUSTRAITS_dataset_39",NA
"134","Notelaea longifolia",9,"AUSTRAITS_dataset_49",NA
"135","Notelaea microcarpa",10,"AUSTRAITS_dataset_49",NA
"136","Ochna serrulata",3,"AUSTRAITS_dataset_52",NA
"137","Olea paniculata",30,"AUSTRAITS_dataset_49",NA
"139","Pararchidendron pruinosum",20,"AUSTRAITS_dataset_49",NA
"142","Pavetta australiensis",7,"AUSTRAITS_dataset_49",NA
"143","Phyllanthus microcladus",1,"AUSTRAITS_dataset_49",NA
"144","Pilidiostigma rhytispermum",10,"AUSTRAITS_dataset_49",NA
"145","Pittosporum multiflorum",4.2,"AUSTRAITS_dataset_49",NA
"146","Pittosporum undulatum",25,"AUSTRAITS_dataset_49",NA
"147","Planchonella australis",40,"AUSTRAITS_dataset_49",NA
"148","Pleurostylia opposita",15,"AUSTRAITS_dataset_49",NA
"149","Polyscias elegans",30,"AUSTRAITS_dataset_49",NA
"150","Pouteria queenslandica",40,"AUSTRAITS_dataset_49",NA
"151","Pseudoweinmannia lachnocarpa",35.2,"AUSTRAITS_dataset_52",NA
"152","Psychotria daphnoides",2,"AUSTRAITS_dataset_49",NA
"153","Psychotria loniceroides",5,"AUSTRAITS_dataset_49",NA
"154","Psychotria spp. 'shute harbour'",5,"AUSTRAITS_dataset_49",NA
"155","Psydrax odorata",15,"AUSTRAITS_dataset_49",NA
"156","Pteridium esculentum",1.8,"AUSTRAITS_dataset_52",NA
"157","Rhodamnia argentea",40,"AUSTRAITS_dataset_49",NA
"158","Rhodamnia rubescens",30,"AUSTRAITS_dataset_49",NA
"159","Rhodomyrtus psidioides",20,"AUSTRAITS_dataset_49",NA
"160","Rhodosphaera rhodanthema",27,"AUSTRAITS_dataset_49",NA
"161","Ricinus communis",3.5,"http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/Html/Ricinus_communis.htm",NA
"163","Sarcopteryx stipata",40,"AUSTRAITS_dataset_49",NA
"164","Schefflera actinophylla",24,"AUSTRAITS_dataset_49",NA
"165","Senna septemtrionalis",3,"NSW Flora Online",NA
"166","Senna sulfurea",11,"AUSTRAITS_dataset_49",NA
"167","Sloanea australis",45,"AUSTRAITS_dataset_49",NA
"168","Sloanea woollsii",45,"AUSTRAITS_dataset_49",NA
"170","Solanum mauritianum",4,"NSW Flora Online",NA
"172","Sterculia quadrifida",25,"AUSTRAITS_dataset_49",NA
"173","Streblus brunonianus",30,"AUSTRAITS_dataset_49",NA
"174","Synoum glandulosum",20,"AUSTRAITS_dataset_49",NA
"175","Syzygium australe",24,"AUSTRAITS_dataset_49",NA
"176","Syzygium floribundum",30,"AUSTRAITS_dataset_49",NA
"177","Syzygium luehmannii",35,"AUSTRAITS_dataset_49",NA
"178","Syzygium oleosum",17,"AUSTRAITS_dataset_8",NA
"179","Tabernaemontana pandacaqui",4,"AUSTRAITS_dataset_49",NA
"180","Tecoma capensis",3,"NSW Flora Online",NA
"181","Toechima tenax",30,"AUSTRAITS_dataset_49",NA
"182","Toona ciliata",45,"AUSTRAITS_dataset_49",NA
"183","Trema tomentosa",6,"AUSTRAITS_dataset_29",NA
"184","Tristaniopsis laurina",30,"AUSTRAITS_dataset_49",NA
"185","Turraea pubescens",7,"AUSTRAITS_dataset_49",NA
"186","Vitex melicopea",30,"AUSTRAITS_dataset_49",NA
"187","Wikstroemia indica",4,"AUSTRAITS_dataset_49",NA
"188","Wilkiea huegeliana",13.5,"AUSTRAITS_dataset_49",NA
"189","Wilkiea macrophylla",10,"AUSTRAITS_dataset_49",NA
