"","site","mean","sd","FRic.orig","FRic.SES"
"1",1,0.0436672451601173,0.0100578066322005,0.0377627345043859,-0.587057483967502
"2",2,0.0027908932318938,0.00136071135882551,0.00242843469224831,-0.266374302892821
"3",3,0.0099885140828788,0.00360343025101875,0.00941851127380785,-0.158183388983262
"4",4,0.0564041873388868,0.00628893547324809,0.0548083202327773,-0.253757907502474
"5",5,0.0173463367122153,0.00812925225348765,0.0166103857152437,-0.0905312043498095
"6",6,0.0977309375789143,0.00892255746816434,0.098584053449925,0.0956133792418339
"7",7,0.000119216259777357,6.58308638092821e-05,0.00011484955859893,-0.0663321263879729
"8",8,0.0714991580718202,0.00918096499626353,0.0732446631384616,0.190122178589261
"9",9,0.143576461049184,0.0138634609885356,0.139977627262053,-0.259591294706782
"10",10,0.130200845689995,0.0118796461427994,0.130633724864599,0.0364387263223128
"11",11,0.119672120444473,0.0140941607096135,0.115401438133635,-0.303010757350398
"12",12,0.122981134569375,0.0169153230165113,0.11698258741144,-0.354622087445777
"13",13,0.0280297827093846,0.00608034338804015,0.0275404858638981,-0.080471909933396
"14",14,0.0405991588698935,0.00670625132118364,0.0395337829158857,-0.158863111891217
"15",15,0.0815843317809326,0.00954627191198322,0.0778075183257035,-0.39563229395217
"16",16,0.0818129246941325,0.00855831399088554,0.0779464752772041,-0.45177699965742
"17",17,0.109091065777467,0.0100488814994133,0.111038292903787,0.193775508889577
"18",18,0.151482235912058,0.015856725798095,0.1476519447242,-0.241556247905757
"19",19,0.154469959821168,0.016171297387398,0.155036690114024,0.035045443743918
"20",20,0.0600726070837338,0.00816922809502528,0.0615019184997948,0.174962848317502
"21",21,0.0250806702289672,0.00556783736742131,0.0250057544171002,-0.0134551005935343
"22",22,0.167769033246743,0.0170771631890419,0.166482839599915,-0.0753165869875547
"23",23,0.131746904769574,0.0132925680162106,0.127952477764054,-0.285454774494538
"24",24,0.0287906720639428,0.0043384190917661,0.0281433322497676,-0.149210991488536
"25",25,0.233364425789387,0.0187472713199082,0.242015210293756,0.461442327085869
"26",26,0.0885454648657187,0.0224973908695966,0.0752130767396188,-0.592619304317531
"27",27,0.0535074024474327,0.00709086833731971,0.0578597354476015,0.613794078965216
"28",28,0.00390092533330019,0.00124499916399711,0.00406437309617969,0.131283431833593
"29",29,0.132286080558846,0.019054914355259,0.121602552972257,-0.560670459462851
"30",30,0.0860301468829908,0.0156353712622624,0.0780428471197706,-0.510848103907736
"31",31,0.0533956716340817,0.00750652712428468,0.0539173600725154,0.0694979755346458
"32",32,0.0175188166196525,0.00361033472979367,0.0158733791058738,-0.455757606129977
"33",33,0.078810470714598,0.0119927286199442,0.08041525182849,0.133812843160918
"34",34,0.071684234433697,0.00784687680916507,0.0739974253921737,0.294791292731257
"35",35,0.061774416820101,0.0108808527613226,0.0563858823037852,-0.495230900970375
"36",36,0.0120860521228427,0.00349334387965214,0.0103835127251355,-0.487366676846218
"37",37,0.0152702421141342,0.00415492271123459,0.0143278270714715,-0.226818910521357
"38",38,0.00285733935847926,0.00128635642619184,0.00283189048397542,-0.019783688241975
"39",39,0.0461129860877927,0.00889049978554314,0.0432180295243047,-0.325623601970671
"40",40,0.0723897387796007,0.0102281056616568,0.0743124374022885,0.187981888952872
"41",41,0.0374271802961339,0.00549723405877681,0.0388593755946298,0.2605301653855
"42",42,0.00930063684551476,0.00196374922520445,0.009558449693056,0.131286033996731
"43",43,0.0132705127893177,0.00252863234000922,0.0135433521668789,0.107899979464906
"44",44,0.003463231548988,0.000730530765698116,0.00322279854610787,-0.329120981852652
