"","site","clim_dnrg","clim_isot","clim_pcld","clim_pdmt","clim_pdry","clim_prec","clim_psea","clim_pwet","clim_pwmt","clim_pwrm","clim_tavg","clim_tcld","clim_tdry","clim_tmax","clim_tmin","clim_trng","clim_tsea","clim_twet","clim_twrm","soil_awc","soil_bdw","soil_cly","soil_der","soil_des","soil_ece","soil_nto","soil_phc","soil_pto","soil_slt","soil_snd","soil_soc","CV.x","MDFAnnZer","CVAnnZer","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","MDFAnnHSNum.x","CVAnnHSNum.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","MDFAnnLSNum.x","CVAnnLSNum.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","MRateRise.x","MRateFall.x","CVAnnMRateRise.x","CVAnnMRateFall.x","BFI.x","CVAnnBFI.x","PS1YrARI.x","PS2YrARI.x","PS10YrARI.x","C_MDFM.x","M_MDFM.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","richness.stand","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","MDFAnnHSNum.y","CVAnnHSNum.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","MDFAnnLSNum.y","CVAnnLSNum.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","MRateRise.y","MRateFall.y","CVAnnMRateRise.y","CVAnnMRateFall.y","BFI.y","CVAnnBFI.y","PS1YrARI.y","PS2YrARI.y","PS10YrARI.y","C_MDFM.y","M_MDFM.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","replicate"
"site",1,0.0666991237004582,0.160785705337099,-0.161341576524754,-0.190269942945218,-0.163412350015321,-0.193645706100565,-0.0535060747550673,-0.181088205957076,-0.178282937001726,-0.234116590832682,0.375592353746229,0.277370766008994,0.297293897621611,0.376763267741982,0.157037942322726,0.0502429642970413,0.0245694503428745,0.26842222526413,0.442988952638898,-0.0103506597798054,0.0901981774614971,0.000340496318650979,0.0207681798838658,0.260604289313387,0.0405973173754754,-0.251862528806472,0.221475277371896,0.0152228309342487,0.0152379108712031,0.203615637761713,-0.211592631830724,0.184659154961481,0.0226210150146272,0.0598397346775013,0.157118804919162,-0.249216538337525,0.24772103872384,0.214643085464646,0.145127643384364,-0.152364276195699,0.21953661727109,-0.273760779581164,0.28142197694031,-0.197471836561588,0.132482516943629,0.137331521110578,0.243108929607912,-0.318188917238351,-0.244127284635478,-0.318464653530706,0.238213248328681,0.13616393776772,-0.149211636758523,-0.088967568386373,-0.369944020328237,0.393621214850748,0.0657950792507537,-0.0342698506442951,-0.0825466153556313,0.183329495866969,-0.0355898715494454,0.117337803881029,-0.153149083872818,0.291744688376375,-0.211481245042928,NA,0.138419525846802,0.287526287710031,-0.185601858897443,0.0400586311067391,0.0884237458600838,-0.167666628482372,0.0745089625614258,0.10679444472609,0.0355244909091707,-0.16825904175172,-0.0453452483864361,-0.0522483658678591,0.213682974132843,0.0914691270002019,-0.270328646449026,0.134866053241221,0.0896990819191836,-0.0269899037898895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164658930109433
"clim_dnrg",0.0666991237004582,1,0.570022181364767,-0.909447363128165,-0.943146602587922,-0.911807194680369,-0.88205758117696,0.3896830930152,-0.85904510136338,-0.902220678111509,-0.865314563099017,-0.399716743892452,-0.680371951957226,-0.618865491764124,0.623678367237197,-0.858515723520422,0.996845979349515,0.985584240498014,0.354124666796937,0.00273759389861219,0.741141470575358,0.425708637850206,-0.00938854427073086,-0.154399239651154,-0.230122264051281,0.866313545970179,-0.225771797316411,0.877293777205739,0.333546312358572,-0.514579134396628,0.427489390581879,-0.374163050754361,0.0930652780688829,0.244912348263831,-0.0763498028816776,-0.0887291101356124,0.13708606830418,-0.187322070990541,0.224552968218133,0.193633663193089,0.324862887153382,-0.463729463156097,0.261219856940118,-0.00427500879984417,0.395210160039195,-0.115048088651953,0.0159808125982282,0.0186464049263022,0.464295734348875,0.0552116192969633,0.50678303500674,0.0452194679862955,0.0286265544242056,0.288868711719401,0.227446106979309,0.112430294445929,0.430680845881653,-0.12456930921884,-0.062144278976585,0.00381529655749685,0.586036294737415,-0.204061093262144,0.552144362820893,-0.344608121195961,0.217504977692903,-0.398257017441274,NA,0.0263429544128602,0.163114344476593,-0.40195314664664,0.0582431293392526,0.0560368295652333,-0.645930627623326,-0.352207917656149,-0.202223948332245,-0.442271570354046,-0.644174334489286,0.548022738529282,0.147457887889007,-0.198145132575981,0.0238179911016888,0.0950359300797405,0.447558237112526,-0.543839952932215,-0.643985700734459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125341639941704
"clim_isot",0.160785705337099,0.570022181364767,1,-0.732968498809523,-0.636294361889637,-0.72832269941872,-0.707658400985133,0.177933520479925,-0.696378525364795,-0.639446564898186,-0.656597885705418,0.247086215079241,0.018479199987929,0.0840142848175824,0.705013988229813,-0.207169190684529,0.503302642491003,0.430007166833216,0.735127301881482,0.471441682852777,0.207238174216684,0.583940186254429,0.145345293057325,-0.0668615466678482,-0.207176554447842,0.303294298027231,0.110842798002639,0.519854688017081,0.300750289467415,-0.297570717499979,0.20478071094354,-0.47108406002424,0.25638663001856,0.364830042536393,-0.0951089268675754,0.103679359021306,0.0930547803746519,0.249289047327191,0.347029523991502,0.233107710262593,0.264495968135337,-0.407915698600933,0.180671512800808,0.24180092408605,0.46535803088116,-0.144293775758432,0.241362419976282,-0.204859547327432,0.38261866262645,0.384049632003197,0.103698887906249,0.0525494060814657,0.0215148824820511,0.196852936850912,0.229607012226633,0.0205130525415108,0.429355854471938,-0.231272573117011,-0.102736937453189,0.11090565501127,0.417635013300235,-0.392816893296848,0.390323879315065,-0.45742269349974,0.288033628995956,-0.401888073800734,NA,0.0760514573558007,0.103690862402283,-0.0832971436527579,-0.0433651812534597,0.0577235231414373,-0.235437018710748,-0.132495885644843,-0.0747816036311752,-0.167548284460671,-0.274603059566479,0.238896456273704,0.143832719069542,0.0474813647274281,0.00836458705485376,-0.0695665253438024,0.210164237154888,-0.300489106035024,-0.433071517323822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267673212356692
"clim_pcld",-0.161341576524754,-0.909447363128165,-0.732968498809523,1,0.958424196504751,0.994457642240582,0.988361793629265,-0.225288394909845,0.978017448407803,0.975224071628417,0.963788175389013,0.111437776458476,0.414908714267293,0.339766077979283,-0.77888699732279,0.632974927986188,-0.886146792266038,-0.856767027091161,-0.648981330588665,-0.265849131024521,-0.609952135252823,-0.648405801007621,0.0125181871927209,0.129146686606091,0.266166088635424,-0.7063022843336,0.201296413110335,-0.841725718500925,-0.296092478907507,0.47606528474991,-0.465066673760725,0.575064003533637,-0.237494253205518,-0.296111107898356,0.0579338721555898,0.00937003136279477,-0.0896849117784478,-0.0931088628213839,-0.391644026971103,-0.274331388897245,-0.291799741029628,0.445227841560638,-0.210494768219224,-0.206802434789962,-0.414685605018808,0.102543399932359,-0.230266431014881,0.155430328940392,-0.487519867716628,-0.132799457022311,-0.435059412196048,-0.0993727010311026,-0.0519839056206795,-0.317765829979741,-0.268440477342265,0.0194783749085716,-0.5498826101977,0.15255291024357,0.0450708157294187,-0.0981296217533668,-0.550158382108015,0.377002118251742,-0.466049081897775,0.499516621119019,-0.294024102995496,0.485659502802175,NA,-0.0675035986500143,-0.164891293674282,0.389058756988383,-0.0606221696202264,-0.0768692378358654,0.642937744765723,0.314758017080153,0.168865607619026,0.40599436702304,0.663897108264664,-0.456640798420341,-0.118822180703816,0.1691233659058,0.0302615478838234,-0.0563667616804142,-0.394375141506826,0.521813542667031,0.656646397055154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192694200429372
"clim_pdmt",-0.190269942945218,-0.943146602587922,-0.636294361889637,0.958424196504751,1,0.96506507338501,0.956756186982539,-0.310947572168494,0.935608622020704,0.951486729446795,0.949032927673004,0.202251537784535,0.503678064676569,0.432818857734674,-0.740998785358209,0.708809693597103,-0.930142979998752,-0.913819181309972,-0.520701131402783,-0.193907658489501,-0.686874154402266,-0.573340749071603,0.0351243150988638,0.0132478981232101,0.145986701218034,-0.758091798792935,0.255438478825172,-0.88101599066846,-0.302608559086625,0.564097240434293,-0.476860691536335,0.522212478037044,-0.173955557970953,-0.284565645118973,0.0271082756694545,0.0361632935176502,-0.159929587787572,0.0309014030004185,-0.29280557537343,-0.232782375682269,-0.29725524231028,0.419704158777819,-0.203697713857213,-0.134820434275433,-0.377655536360928,0.105545239476681,-0.151301724558209,0.0658728262986475,-0.462372525397695,-0.118486188597587,-0.465657350767928,-0.105192153233456,-0.0667543549676979,-0.265270396791111,-0.192651111754087,-0.00810153066566464,-0.49580455166975,0.126277806284895,0.0677184824653652,-0.00773810120461074,-0.583805922164638,0.304572866920034,-0.522494142661795,0.442692131034703,-0.293222465246292,0.431863908460128,NA,-0.0835533004092516,-0.184825810299468,0.398327031137149,-0.0790190595486281,-0.0929038144168596,0.630818047849435,0.289828511937004,0.138479851439695,0.389261641706453,0.634626271330649,-0.491216763463612,-0.109901873963428,0.168454318420497,-0.00867534478960369,-0.0553180159841734,-0.425091544982227,0.533333832616096,0.600327121216216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0153705717885073
"clim_pdry",-0.163412350015321,-0.911807194680369,-0.72832269941872,0.994457642240582,0.96506507338501,1,0.977941268744854,-0.246972341309995,0.969918532730204,0.965355922828595,0.955765754885621,0.142358555798117,0.438830558197911,0.36605661159039,-0.753372951089243,0.651045029664816,-0.888818562966389,-0.85863064886091,-0.621246081276958,-0.231892384729031,-0.593788658181047,-0.608577448794219,0.0103628035934382,0.126361680331369,0.275619766113912,-0.707867706420695,0.194317543140226,-0.832703964866297,-0.325373079287478,0.455056955347231,-0.465297937854711,0.529503821069922,-0.21267292776724,-0.28917933004139,0.0168186325147991,0.0182114941152092,-0.111069797732983,-0.0599209589672083,-0.353747691408029,-0.251257503597169,-0.317049331669707,0.469582465031044,-0.229819686894242,-0.194446391817604,-0.425458129283271,0.0939339657372221,-0.19357761176033,0.142322900629505,-0.501422325014102,-0.145809198889803,-0.435697491402926,-0.0795266578210836,-0.0239696910604694,-0.312637798850954,-0.24962914895474,-0.0208683357749367,-0.527692875075554,0.159311410334177,0.0649181292153556,-0.0822399947637003,-0.572172730969807,0.326410835421897,-0.499889353892935,0.449276244491468,-0.265425490711822,0.438328147385663,NA,-0.0677938734798733,-0.150851519912254,0.377796212520959,-0.084284647732744,-0.0738976904743421,0.620285921750175,0.301269943547634,0.15820645796227,0.391699905464944,0.637745885940241,-0.454547795893536,-0.112403347155425,0.168966184846325,0.0415778532858482,-0.0567940257000186,-0.397193901827348,0.517049190312575,0.626351117514225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0249084068332365
"clim_prec",-0.193645706100565,-0.88205758117696,-0.707658400985133,0.988361793629265,0.956756186982539,0.977941268744854,1,-0.127279080705519,0.993376571019478,0.98654659835599,0.988802614975677,0.0403800907123135,0.351058930885092,0.27500026120345,-0.815461754972053,0.579474931423474,-0.859773468610363,-0.832334848800716,-0.687677396773119,-0.33667019111932,-0.612807304105039,-0.701405701454908,0.0589340669812581,0.0522323818783064,0.196963519298104,-0.666425129132514,0.271449527256935,-0.829121531943238,-0.228736137420164,0.518018094086661,-0.514369774541423,0.640955352856267,-0.254053727073391,-0.30039725232315,0.0481338239464559,0.0264879410203203,-0.11134245130153,-0.147744130840048,-0.409396207394036,-0.275623874868496,-0.280310661805272,0.414805746869033,-0.205183363263736,-0.232936916940718,-0.396758449636369,0.126844508257688,-0.274521792822774,0.158150146319936,-0.486333023903636,-0.131871897025989,-0.423249028949432,-0.112557176341814,-0.0836168390585623,-0.308808291086242,-0.272037155767886,0.0773047137567047,-0.570514448572398,0.116196177199826,0.0272599341663059,-0.107279621699676,-0.51539630316258,0.432824098595667,-0.418601407554609,0.543049428747405,-0.343069128349219,0.508228457674052,NA,-0.12042648726927,-0.223495047442371,0.384780346324555,-0.0882422484734036,-0.129858727795742,0.657369862758095,0.303382288463346,0.136276521189267,0.41533431316931,0.673675893593077,-0.437232371618253,-0.08847705267684,0.175190649679042,0.0538157080753767,-0.0701258010641516,-0.388244278434095,0.49182198920349,0.638191026905906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0156722167753743
"clim_psea",-0.0535060747550673,0.3896830930152,0.177933520479925,-0.225288394909845,-0.310947572168494,-0.246972341309995,-0.127279080705519,1,-0.0410148711704557,-0.0842308389310018,-0.0375662214020598,-0.407957825398922,-0.465554353366127,-0.44689781469356,0.0444873128465804,-0.453457994974111,0.391508977377821,0.405521247542639,-0.169249401636484,-0.274800013758147,0.265324414997853,-0.11992226584608,0.221764046395074,-0.142988245838979,-0.056409541728495,0.451003697275925,0.263090543731205,0.324916026401391,0.489038423581367,-0.123627041053949,-0.241642385635562,0.157211425992108,-0.0735491948676685,-0.00695640556871985,-0.162762795689893,0.230103248622958,0.140018114908759,-0.463893897679722,-0.213824602031146,-0.0062686762565947,0.107283042110435,-0.112920577702362,-0.00259350440438855,-0.114814588629803,0.0226421403533588,0.0283816484457256,-0.21322868806301,-0.00928531367958864,-0.0389916780900331,0.0414513191298036,0.155276977139852,-0.0178487984482166,-0.0770188398044396,0.0611966350488113,-0.107669920880818,0.306821428112909,-0.0977588842385791,-0.408783633069514,-0.303927950539422,-0.28407715101255,0.413357884513135,0.319129377033899,0.495777055424265,0.12910444923628,-0.0932502413671399,0.0342165167806788,NA,-0.23349695282588,-0.138531264843633,-0.13727268207589,-0.406720343672804,-0.22122980901055,-0.0131736694217785,-0.111460485918855,-0.182780400225527,-0.0322689909793344,-0.0315313190052758,0.288084189416472,0.178489909947416,0.0318767324970435,0.255614916699755,-0.110307635422802,0.1053866072564,-0.222917390319186,-0.118434658354226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0117903767629895
"clim_pwet",-0.181088205957076,-0.85904510136338,-0.696378525364795,0.978017448407803,0.935608622020704,0.969918532730204,0.993376571019478,-0.0410148711704557,1,0.987566996740208,0.992265707903349,0.0347303367303884,0.336906568260777,0.264270582263503,-0.794394528697576,0.563526205722243,-0.836762417152844,-0.807095251389739,-0.691971161970237,-0.331211291493061,-0.589557564405118,-0.70021933397397,0.0744599626107458,0.0529841209607829,0.213024103981764,-0.638905733662448,0.28523791977382,-0.796283275444885,-0.215875955027872,0.497570354367604,-0.528097337131284,0.633540219956864,-0.238893169801135,-0.28332628225808,-0.00488155702093354,0.0727872426416759,-0.102875358889099,-0.160310244137954,-0.409212433226764,-0.260527541964477,-0.294072000753062,0.432849947434671,-0.23940459242788,-0.231632791557321,-0.417366069386185,0.129440699400114,-0.256557204930664,0.134023686161467,-0.488741517811927,-0.117189987718021,-0.412630637732446,-0.0949952671612603,-0.0780568338255443,-0.33456544325403,-0.292405515196922,0.0717383945138275,-0.56971253832483,0.0666506438631591,-0.0160502139183795,-0.150168548298731,-0.499900076610937,0.438233583755517,-0.397907662732066,0.518404582367874,-0.334219165999722,0.492407799125141,NA,-0.138250686223929,-0.225701553463737,0.379318043161946,-0.139049339842176,-0.14840924521567,0.66575519183343,0.301687232233639,0.125126919817259,0.422432005942672,0.67941821300586,-0.41435881733486,-0.0818194752250446,0.183378058142259,0.0898658989876555,-0.0966305131426249,-0.369660605445605,0.472127053004664,0.640723172285709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017150326536948
"clim_pwmt",-0.178282937001726,-0.902220678111509,-0.639446564898186,0.975224071628417,0.951486729446795,0.965355922828595,0.98654659835599,-0.0842308389310018,0.987566996740208,1,0.989567065256739,0.0962728439662816,0.404940830859896,0.333122106201891,-0.789443188549164,0.628368526204233,-0.887385811343887,-0.864927499981966,-0.63338723433987,-0.289285138846505,-0.651704749240099,-0.663675360402714,0.0633908964562359,0.0855386948406741,0.225557974810655,-0.697752454650833,0.340808410121451,-0.839519652350775,-0.203236142360991,0.515103266111734,-0.542549820374027,0.609378154072423,-0.208216055852784,-0.301012187707924,0.0425861700456178,0.0803926897696992,-0.0944818441519822,-0.0932942897370603,-0.398350630397583,-0.249581952645787,-0.315812134261299,0.453507447670263,-0.247629101545789,-0.165186024748173,-0.43121111454009,0.157491295954376,-0.229731078175828,0.109828259721514,-0.48685566775307,-0.0908798573286028,-0.428248736351117,-0.0932838772762327,-0.0818833178113734,-0.330927772504451,-0.289162890024368,0.0574738956278847,-0.581267129769243,0.0678888781687144,-0.01163264783874,-0.125871418873706,-0.532157896876474,0.387565429379684,-0.431722076816407,0.484195828723877,-0.347634715807882,0.479704559863007,NA,-0.134802443212789,-0.239208934092836,0.395758695379364,-0.121187210487997,-0.144575400693849,0.697485803730148,0.313366187926854,0.130018391092888,0.438742146576822,0.705283258848858,-0.46743221511332,-0.0977567719089059,0.19315503170452,0.0518936717709012,-0.0942770927705275,-0.412121520418146,0.520452456766348,0.659380387639949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0130884034567679
