"","metric","pval.linear","r2.linear","f statistic linear","pval.quad","r2.quad","f statistic quad"
"value39","FDis",0.604883359410871,0.0071124,0.2722,0.608937450025063,0.011563,0.2164
"value29","LSMeanDur.x",0.634912003750138,0.0059936,0.2291,0.625623241341795,0.083877,1.694
"value11","soil_der",0.632159779880182,0.0060913,0.2329,0.63582836713863,0.011451,0.2143
"value67","C_MinM.y",0.683747050450701,0.0044148,0.1685,0.67902833706651,0.060985,1.201
"value70","M_MaxM.y",0.722340234029862,0.003361,0.1281,0.68332738968907,0.26439,6.649
"value14","soil_nto",0.693061085650055,0.0041454,0.1582,0.696277298879325,0.008964,0.1673
"value59","CVAnnHSPeak.y",0.729834708780762,0.003175,0.121,0.732971752188763,0.0058922,0.1097
"value66","CVAnnBFI.y",0.767153274031378,0.0023351,0.08894,0.761268420209991,0.077714,1.559
"value61","LSPeak.y",0.796933306580659,0.001764,0.06715,0.781213766595161,0.16614,3.686
"value53","MDFMDFWet.y",0.824887086594419,0.0013046,0.04964,0.826690900076836,0.0072603,0.1353
"value76","replicate",0.853124579038698,0.00091348,0.03474,0.853124579038698,0.00091348,0.03474
"value73","intensive_w",0.865642476101756,0.00076303,0.02902,0.864453236932187,0.044576,0.8631
"value10","soil_cly",0.897410419712961,0.00044316,0.01685,0.898430536787632,0.0073445,0.1369
"value48","maximum.height",0.941756213009079,0.00014233,0.005409,0.941152051336652,0.046719,0.9067
"value82","MDFAnnLSNum.x",0.976414047865257,2.3307e-05,0.0008857,0.976485065316021,0.020795,0.3929
"value23","CVMDFDry.x",0.987672110102563,6.3659e-06,0.0002419,0.987805961359525,0.005181,0.09635
"value56","CVMDFDry.y",0.999067798523825,3.6397e-08,1.383e-06,0.999012707445596,0.13226,2.82
