"","Taxon","wood.density","source"
"37","Acronychia oblongifolia",0.5375,"AUSTRAITS_dataset_49"
"48","Acronychia oblongifolia",0.81,"Ash J, Helman C. 1990.  Floristics and vegetation biomass of a forest catchment, Kioloa, south coastal New South Wales. Cunninghamia 2: 167-182"
"591","Cleistanthus cunninghamii",0.7869,"AUSTRAITS_dataset_49"
"593","Cleistanthus cunninghamii",0.486,"AUSTRAITS_dataset_28"
"595","Cleistanthus cunninghamii",0.569,"AUSTRAITS_dataset_28"
"596","Cleistanthus cunninghamii",0.733,"AUSTRAITS_dataset_28"
"2118","Polyscias elegans",0.4,"AUSTRAITS_dataset_49"
"2121","Polyscias elegans",0.22,"AUSTRAITS_dataset_61"
"2131","Polyscias elegans",0.41,"AUSTRAITS_dataset_34"
"2132","Polyscias elegans",0.413,"AUSTRAITS_dataset_34"
"2559","Syzygium oleosum",0.79,"AUSTRAITS_dataset_49"
"2571","Syzygium oleosum",0.883,"AUSTRAITS_dataset_34"
"2577","Syzygium oleosum",0.58133195,"J. Lawson"
