"","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density","growthForm"
"Acacia.bakeri",1.73205080756888,4.08123755740829,6.32455532033676,1.74224973891051,NA,0.7725,"tree"
"Acacia.fimbriata",2.23606797749979,NA,2.44948974278318,1.32492680862768,0.948412965778601,NA,"tree"
"Acmena.smithii",2,4.66092503932666,4.47213595499958,2.38001760527163,0.961409008371818,0.647333333333333,"tree"
"Acronychia.oblongifolia",1.4142135623731,4.55247185603602,4.47213595499958,1.15566343625896,1.16526478291681,0.67375,"tree"
"Ailanthus.triphysa",NA,2.6809513236909,6.70820393249937,1.57632983030548,NA,0.3705,"tree"
"Alangium.villosum",2.44948974278318,5.94784624885344,4.47213595499958,2.28280331429173,1.24975146600281,0.556833333333333,"tree"
"Alectryon.tomentosus",2,4.8605555238059,4.47213595499958,1.3749362301402,NA,NA,"tree"
"Alphitonia.excelsa",2.23606797749979,4.78130976584064,5.91607978309962,1.30457127849281,1.03017433009708,0.598,"tree"
"Alyxia.ruscifolia",3,1.90613046073277,2.44948974278318,2.15501260375581,NA,NA,"shrub"
"Aphananthe.philippinensis",1.73205080756888,2.57008893675556,5.91607978309962,1.5619852885859,1.17874931341845,0.58125,"tree"
"Archirhodomyrtus.beckleri",1.73205080756888,3.03811893556962,3.16227766016838,0.174641192660448,1.0478304421153,0.53,"tree"
"Argyrodendron.trifoliolatum",1.73205080756888,4.60184745509888,6.32455532033676,2.04139268515822,1.06185308656078,0.762,"tree"
"Aristolochia.elegans",2.44948974278318,5.00249937531231,1.73205080756888,0.323045735481701,NA,NA,"vine"
"Arytera.distylis",1.4142135623731,3.20156211871642,4.47213595499958,NA,NA,0.6321,"tree"
"Arytera.divaricata",NA,6.17977885256962,5.47722557505166,1.77597433112937,1.03945685959162,0.6115,"tree"
"Atalaya.salicifolia",NA,3.71227692932518,3.46410161513775,1.52205280086882,NA,0.724,"tree"
"Auranticarpa.rhombifolia",2.44948974278318,4.87852436706019,6.32455532033676,NA,NA,0.700633333333333,"tree"
"Backhousia.myrtifolia",1.73205080756888,2.84388232292876,5.91607978309962,1.0379640527809,1.0112051348188,0.8167649335,"tree"
"Beilschmiedia.obtusifolia",1.4142135623731,5.15687243717869,5.91607978309962,2.58433122436753,1.04091088563261,0.637,"tree"
"Breynia.oblongifolia",1.73205080756888,1.92111078979497,2.82842712474619,0.828917561616686,1.11234857146296,0.62,"shrub"
"Bursaria.incana",1.73205080756888,1.79930542154466,3.16227766016838,0.466422722433792,NA,0.74,"shrub"
"Calamus.muelleri",1.73205080756888,7.32179964216449,3.16227766016838,2.64730960336355,1.11537498032578,NA,"vine"
"Callerya.megasperma",1.73205080756888,3.11901426736076,4.47213595499958,3.86837091225204,NA,NA,"vine"
"Callistemon.salignus",1.73205080756888,NA,2.44948974278318,-1.31581493039307,NA,0.839,"tree"
"Callistemon.viminalis",2.64575131106459,1.72053770664871,2.82842712474619,-0.427398993135586,0.93847204574779,0.689,"tree"
"Canarium.australasicum",NA,4.87852436706019,6.32455532033676,2.83179301442254,NA,0.584,"tree"
"Capparis.arborea",1.73205080756888,4.99781202127491,3.16227766016838,1.69065671959071,0.949063865596324,0.681,"shrub"
"Cardiospermum.grandiflorum",2.44948974278318,2.96816441593117,3.16227766016838,1.54022933771828,1.37981536260424,NA,"vine"
"Carex.appressa",2,5.33354166259782,1.22474487139159,-0.0383416513622847,1.15044940946088,NA,"herb"
"Carex.spp",2,5.33354166259782,1.22474487139159,-0.0383416513622847,1.15044940946088,NA,"herb"
"Carissa.ovata",1.73205080756888,2.04572725454788,2,1.70552161342267,NA,NA,"shrub"
"Carronia.multisepalea",NA,6.74796265549832,3.87298334620742,1.79818088392634,NA,0.5805,"vine"
"Castanospermum.australe",1.73205080756888,5.51197009114838,5.91607978309962,4.1299294938611,1.16590039804061,0.61475,"tree"
"Casuarina.cunninghamiana",3.46410161513775,0.615959617182815,5,0.0415900468893668,0.451047807241197,0.67705014825,"tree"
"Cayratia.clematidea",1.73205080756888,2.46508958593124,1.4142135623731,1.38871087070611,1.61370581959459,NA,"vine"
"Celtis.sinensis",3.46410161513775,6.11649681871358,3.87298334620742,1.67614468035621,1.44053738355182,0.59,"tree"
"Cinnamomum.camphora",2.44948974278318,3.33586570473093,4.47213595499958,1.96614173273903,1.21608076192616,0.460635,"tree"
"Cinnamomum.oliveri",1.4142135623731,4.92798133113347,5,NA,NA,0.473,"tree"
"Cissus.antarctica",3,6.16729276100949,1.4142135623731,1.81557774832427,1.20487343818057,0.545107896,"vine"
"Cissus.hypoglauca",2.44948974278318,3.98848342105116,3.87298334620742,1.57702431792978,1.15731839345139,NA,"vine"
"Citronella.moorei",2.23606797749979,5.98957427535547,6.32455532033676,NA,NA,0.576,"tree"
"Cleistanthus.cunninghamii",1.4142135623731,4.52342421921712,5,NA,1.19997443453049,0.643725,"tree"
