"","R2.linear","Estimate","Std. Error","t value","Pr(>|t|)"
"richness.ACE",0.83711,0.782084514308296,0.0559659608835836,13.9742890492872,1.48559735174727e-16
"richness.chao",1,1,1.69777213444214e-17,58900719343504888,0
"richness.stand.chao",0.66359,266.388600468401,30.7684297930746,8.65785489412141,1.59707257397482e-10
"richness.stand.ln",0.97006,7.70291695733687,0.219509784651135,35.0914514793911,1.45515325101108e-30
"FRic.SES",0.10419,-20.6507281369663,9.82304361811103,-2.10227389186096,0.0422104705108532
"richness.stand",0.64267,336.741128066337,40.7326365164469,8.26710856122383,5.10039327075471e-10
"production_irrigated_w",0.14953,-437.290511302574,169.177677976384,-2.58480029122765,0.0137079134566825
"M_MinM.y",0.32662,27.3982336626918,6.381768079651,4.29320422189176,0.000117217065425887
"CVAnnBFI.y",0.10754,-35.9564932313341,16.8032938702086,-2.13984790774166,0.0388495021118709
"CVMDFWet.y",0.10392,-25.9051995071516,12.3401522863088,-2.09926092532042,0.0424907447000538
"exotics",0.1517,-42.1319795235822,16.1622971745469,-2.60680638826104,0.0129847841698361
"richness",0.64868,247.584422814764,29.5572401311748,8.37643913017542,3.67902112481313e-10
"nbsp",0.9645,1.65995190898927,0.0516645974182849,32.1293882453013,3.73202325860972e-29
"FRic",0.60982,264.556875264132,34.3290509091634,7.70650129431671,2.77965795571023e-09
"M_MaxM.x",0.14692,384.48537030951,150.292162675292,2.55825296186732,0.0146294032331491
"M_MinM.x",0.12992,311.753136303975,130.87564635217,2.38205613491365,0.0223261174529237
"C_MinM.x",0.098458,-74.9785298521451,36.8054950788025,-2.03715585652664,0.048643427308119
"CVAnnBFI.x",0.12892,-49.1743376926845,20.7354665129028,-2.37150862567212,0.0228865248166776
"soil_soc",0.25231,16.1685790726719,4.51510527318334,3.58099714057661,0.000957244076642566
"soil_slt",0.098208,2.56954884035054,1.26312330516152,2.03428187085977,0.0489460982658418
"soil_phc",0.36851,-35.9355118606418,7.63120834537949,-4.70901988705365,3.28062538832712e-05
"soil_ece",0.37305,-4.01751789844516,0.844893943346343,-4.75505586243536,2.84492474108659e-05
"soil_bdw",0.19988,-111.358025255835,36.1432203151835,-3.08102112331851,0.00382532360135994
"soil_awc",0.21442,-12.7290088145483,3.95249465063533,-3.22049994741985,0.00262264884138356
"clim_tsea",0.34936,-0.415088924971451,0.0918924558560358,-4.51711646080886,5.92409595310089e-05
"clim_pwet",0.43834,0.123792711324208,0.0227317395674961,5.44580897368799,3.275400317263e-06
"clim_pdry",0.37337,0.424938201781608,0.0893040973549682,4.75832816598048,2.81622663526381e-05
"site",0.13012,-0.585270598806065,0.245478677711039,-2.38420136634028,0.0222136668667003
