"","metric","p","R2.adj","est","stderr","t","p.term","est.quad","stderr.quad","t.quad","p.term.quad"
"hydro","clim_pdry",0.00512403177394023,0.20739,-0.018447766852446,0.00896440505321088,-2.05789081851431,0.0466970390896508,5.84244443745153e-05,3.32243727796927e-05,1.75848148471971,0.0869352665174581
"hydro1","clim_pwet",0.00457795573820797,0.21221,-0.00505285141101808,0.0020264960764979,-2.49339313784914,0.0172517631352399,4.38864753743176e-06,2.02147654771e-06,2.17101085956371,0.0364179596116052
"hydro2","clim_tsea",0.00718073920511678,0.1928,0.0271131279952078,0.0277082672120014,0.978521240168501,0.334171609448982,-2.95376222840663e-05,3.39715326720395e-05,-0.869481591225863,0.390189466747735
"hydro3","soil_nto",0.0444742032981845,0.10918,11.6813001208156,5.59418268370759,2.08811559816164,0.0437272197519967,-33.1850815980085,14.5696723686482,-2.27768207536485,0.0286174921943205
"hydro4","soil_phc",0.00590019708521569,0.20133,0.102145516605746,2.59670330273772,0.0393366144287851,0.968833505334831,0.01643109122953,0.255107462567357,0.0644085087287153,0.94899168853088
"hydro5","CVMDFDry.x",2.02263267383607e-05,0.41234,-0.498200613325679,0.127773172304524,-3.89910185636079,0.000391944996415254,0.201013798985614,0.0421656417154603,4.76724154566611,2.88893585717895e-05
"hydro6","HSPeak.x",0.0102249795028211,0.17723,-0.0135729624795904,0.00733850653196344,-1.84955377779829,0.0723782887209467,0.000213255008390803,8.90608965253204e-05,2.39448530961255,0.0218236533900136
"hydro7","LSMeanDur.x",6.39636710177639e-08,0.56948,-0.0394774885316685,0.00657257560413605,-6.00639549993548,6.15471735725994e-07,0.000710151674598142,0.000104596311529842,6.78945236415463,5.41698149825304e-08
"hydro8","CVAnnLSMeanDur.x",0.00502698539604151,0.20821,0.0133617809350722,0.910225238656683,0.0146796423210497,0.988366632413714,0.334748991898028,0.608263234804182,0.550335730887621,0.585396570223456
"hydro9","BFI.x",0.0282836317561465,0.13072,-4.56289406810292,1.62829671254616,-2.80224975764272,0.00802840584587929,9.28559697060828,3.35115692273554,2.77086307346911,0.00869499755551491
"hydro10","CVAnnBFI.x",2.04745225285798e-05,0.41195,-2.3047556902397,1.11864655686898,-2.06030732056295,0.0464532613967008,2.95759056799831,1.08089321296168,2.73624677491906,0.0094896610061228
"hydro11","C_MinM.x",0.0127379386049485,0.1674,2.15268596398658,0.953728075694483,2.25712760151162,0.0299926595087779,-3.84044495827434,2.76959607619803,-1.38664442489618,0.17384882566839
"hydro12","M_MinM.x",0.0412139909062223,0.11284,-24.4644399062152,9.47077920944133,-2.58314964008736,0.0138781851061489,106.980285166679,42.898651794978,2.49379131255595,0.0172352707534813
"hydro13","C_MaxM.x",0.0426270887037118,0.11122,0.606141255265338,2.40396034569795,0.252142784447367,0.802326105286759,0.284415381850294,3.46890883808863,0.0819898691852069,0.935096709264577
"hydro14","M_MaxM.x",0.00581120477430362,0.20198,-24.8205018007898,7.48373303889506,-3.31659369352042,0.00205037173288963,161.452477615588,52.1043739820599,3.09863578192453,0.00370273727807516
"hydro15","regulation",0.00267400673720472,0.23477,2.94072632303882,0.877863522521896,3.34986731717796,0.0018706815239469,-5.0146482024806,1.78787696028151,-2.804806099012,0.00797626541605831
"hydro16","nbsp",0.0171147761699177,0.154,-0.0253862312669332,0.0130792600701736,-1.94095316789555,0.0599108977692758,0.00031210020950741,0.000207461695631199,1.50437510190906,0.140973979833233
"hydro17","exotics",0,1,1,2.21738281130893e-17,45098211950587720,0,-1.53204808711577e-17,3.06852006397369e-17,-0.499279149288594,0.620538662645289
"hydro18","wood.density",8.26826358692592e-05,0.36586,-13.596593094894,8.18152479100842,-1.66186541533637,0.104990705891546,12.3710791801449,6.41270012373145,1.9291529217721,0.0614086478967738
"hydro19","leaf.area",3.27764788041656e-06,0.46739,-0.440848889150578,0.101192524962257,-4.35653611089363,0.000100784498485821,0.0333588044922513,0.00944920321678258,3.53032988358249,0.001130341595126
"hydro20","CVMDFDry.y",0.0404026951053424,0.1138,0.575964381183123,0.247051869714103,2.33135001912614,0.0252895980266832,1.42141391391609,0.540411716041516,2.6302425941611,0.0123613605205551
"hydro21","LSPeak.y",0.0481278554065705,0.10537,-0.344996051295331,0.160365816117127,-2.15130667899544,0.0380497061374163,0.659848868174025,0.256993009109239,2.56757516658185,0.0144163077957788
"hydro22","C_MinM.y",0.02537412372519,0.1358,0.136252386742918,0.0571773525894795,2.38297823477732,0.0224213988780981,-0.0394567458538724,0.024782713065978,-1.59210760132793,0.119869185940898
"hydro23","production_natural_w",0.00707267274645411,0.19346,0.154200752198111,0.612238551406711,0.2518638394198,0.802540085676251,0.213152831136146,0.580191705745635,0.367383451065044,0.715426121064059
"hydro24","conservation_w",0.0167130299120279,0.15509,-2.18439303762957,0.870560397388875,-2.50918034427175,0.0166087806010042,3.29576530844574,1.60762262792937,2.05008641405522,0.0474920192101804
"hydro25","production_irrigated_w",7.40885668765251e-05,0.36961,-4.75896884940592,3.95928697586449,-1.2019762342099,0.237009459161232,233.220140557327,84.5965443059357,2.75685186044843,0.00900888538035353
"hydro26","CVAnnLSNum.x",0.01360725273512,0.16442,4.01609340283807,3.47435141352572,1.1559260779446,0.255121137438184,-3.30299041108359,4.032628770548,-0.819066321007955,0.417993198427044
