"","Taxon","flowering.duration","source"
"6","Acacia bakeri",3,"NSW flora online "
"12","Acacia fimbriata",5,"NSW flora online "
"35","Acmena smithii",4,"NSW flora online "
"49","Acronychia oblongifolia",2,"NSW flora online "
"73","Alangium villosum",6,"NSW flora online "
"84","Alectryon tomentosus",4,"FLOYD AG"
"112","Alphitonia excelsa",5,"http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Alphitonia_excelsa.htm"
"122","Alyxia ruscifolia",9,"NSW flora online "
"138","Aphananthe philippinensis",3,"FLOYD AG"
"153","Archidendron muellerianum",2,"NSW flora online "
"164","Archirhodomyrtus beckleri",3,"NSW flora online "
"172","Argophyllum nullumense",1,"NSW flora online "
"194","Argyrodendron trifoliolatum",3,"FLOYD AG"
"198","Aristolochia elegans",6,"http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Aristolochia_elegans.htm"
"205","Arytera distylis",2,"FLOYD AG"
"230","Atractocarpus chartaceus",4,"NSW flora online "
"236","Auranticarpa rhombifolia",6,"NSW flora online "
"252","Backhousia myrtifolia",3,"NSW flora online, AUSTRAITS_dataset_24"
"264","Beilschmiedia obtusifolia",2,"FLOYD AG"
"298","Breynia oblongifolia",3,"AUSTRAITS_dataset_24"
"309","Bursaria incana",3,"AUSTRAITS_dataset_29"
"321","Calamus muelleri",3,"NSW flora online "
"332","Callerya megasperma",3,"NSW flora online "
"341","Callistemon salignus",3,"NSW flora online "
"347","Callistemon viminalis",7,"NSW flora online "
"379","Capparis arborea",3,"NSW flora online "
"392","Carex appressa",4,"NSW flora online "
"398","Carissa ovata",3,"NSW flora online "
"422","Castanospermum australe",3,"NSW flora online "
"442","Casuarina cunninghamiana",12,"AUSTRAITS_dataset_24"
"469","Cayratia clematidea",3,"NSW flora online "
"472","Celtis sinensis",12,"NSW flora online"
"480","Cestrum nocturnum",6,"NSW flora online "
"484","Cinnamomum camphora",6,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=T01"
"493","Cinnamomum oliveri",2,"http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0004/390055/NSW-Rainforest-Trees-Part-I-Family-Lauraceae.pdf"
"536","Cissus antarctica",9,"NSW flora online "
"576","Cissus hypoglauca",6,"NSW flora online "
"587","Citronella moorei",5,"NSW flora online "
"601","Cleistanthus cunninghamii",2,"FLOYD AG"
"630","Clematis aristata",4,"NSW flora online "
"638","Clerodendrum floribundum",5,"NSW flora online "
"649","Commersonia bartramia",3,"https://www.rbgsyd.nsw.gov.au/annan/the_garden/Plant_of_the_Month/commersonia_bartramia"
"652","Croton acronychioides",5,"FLOYD AG"
"655","Cryptocarya bidwillii",3,"Floyd AG"
"673","Cryptocarya glaucescens",2,"AUSTRAITS_dataset_24"
"679","Cryptocarya laevigata",3,"FLOYD AG"
"692","Cryptocarya obovata",3,"FLOYD AG"
"703","Cryptocarya triplinervis",4,"FLOYD AG"
"732","Cupaniopsis anacardioides",4,"AUSTRAITS_dataset_56, NSW flora online"
"736","Cupaniopsis newmanii",4,"FLOYD AG"
"742","Cyperus involucratus",5,"http://weeds.brisbane.qld.gov.au/weeds/umbrella-sedge"
"750","Daphnandra tenuipes",4,"FLOYD AG"
"755","Derris involuta",6,"NSW flora online "
"784","Dioscorea transversa",3,"NSW flora online "
"813","Diospyros ellipticifolia",4,"NSW flora online "
"816","Diospyros fasciculosa",3,"FLOYD AG"
"834","Diospyros pentamera",4,"FLOYD AG"
"847","Diploglottis australis",3,"NSW flora online "
"871","Drypetes deplanchei",3,"AUSTRAITS_dataset_29"
"899","Elaeocarpus grandis",3,"NSW flora online "
"910","Elaeocarpus obovatus",3,"NSW flora online "
"917","Elattostachys nervosa",9,"FLOYD AG"
"922","Elattostachys xylocarpa",5,"FLOYD AG"
"948","Embelia australiana",1,"NSW flora online "
"961","Endiandra discolor",2,"FLOYD AG"
"973","Endiandra pubens",3,"FLOYD AG"
"981","Endiandra sieberi",5,"AUSTRAITS_dataset_24"
"989","Eugenia uniflora",7,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=T40"
"998","Eupomatia bennettii",3,"NSW flora online "
"1042","Eupomatia laurina",3,"NSW flora online "
"1080","Ficus coronata",12,"Stanley & Ross (1983). Flora of south-eastern QLD. QLD Department of Primary Industries, Brisbane"
"1194","Flagellaria indica",12,"AUSTRAITS_dataset_56"
"1212","Flindersia schottiana",2,"NSW flora online "
"1259","Geitonoplesium cymosum",6,"NSW flora online "
"1293","Glochidion ferdinandi",12,"Wikipedia"
"1315","Grevillea robusta",3,"NSW flora online "
"1348","Guioa semiglauca",3,"NSW flora online "
"1366","Hicksbeachia pinnatifolia",3,"NSW flora online "
"1381","Hippocratea barbata",2,"NSW flora online "
"1387","Hodgkinsonia ovatiflora",3,"NSW flora online "
"1397","Hymenosporum flavum",3,"NSW flora online "
"1402","Ipomoea cairica",3,"NSW flora online "
"1408","Ixora beckleri",4,"NSW flora online "
"1425","Jagera pseudorhus",3,"FLOYD AG"
"1437","Lantana camara",2,"NSW flora online "
"1454","Legnephora moorei",3,"NSW flora online "
"1457","Lepiderema pulchella",2,"FLOYD AG"
"1461","Leucaena leucocephala",3,"NSW flora online "
"1480","Ligustrum lucidum",6,"NSW flora online "
"1492","Ligustrum sinense",5,"NSW flora online "
"1524","Lomandra longifolia",5,"AUSTRAITS_dataset_24"
"1537","Lophostemon confertus",3,"NSW flora online "
"1558","Lophostemon suaveolens",3,"NSW flora online "
"1565","Macadamia tetraphylla",3,"NSW flora online "
"1598","Mallotus claoxyloides",6,"FLOYD AG"
"1611","Mallotus philippensis",11,"AUSTRAITS_dataset_29"
"1638","Marsdenia rostrata",6,"NSW flora online "
"1643","Medicosma cunninghamii",12,"NSW flora online "
"1650","Melaleuca bracteata",3,"NSW flora online "
"1663","Melaleuca quinquenervia",7,"AUSTRAITS_dataset_24, NSW flora online"
"1676","Melia azedarach",4,"AUSTRAITS_dataset_24, NSW flora online"
"1702","Melodinus australis",6,"NSW flora online "
