"","Taxon","site","countSum"
"166","Adiantum.spp","34",0
"167","Adiantum.spp","35",0
"168","Adiantum.spp","36",0
"169","Adiantum.spp","37",0
"170","Adiantum.spp","38",0
"171","Adiantum.spp","39",0
"172","Adiantum.spp","40",0
"173","Adiantum.spp","41",0
"174","Adiantum.spp","42",0
"175","Adiantum.spp","43",0
"176","Adiantum.spp","44",0
"177","Alectryon.tomentosus","1",0
"178","Alectryon.tomentosus","2",0
"179","Alectryon.tomentosus","3",3
"180","Alectryon.tomentosus","4",0
"181","Alectryon.tomentosus","5",0
"182","Alectryon.tomentosus","6",0
"183","Alectryon.tomentosus","7",0
"184","Alectryon.tomentosus","8",0
"185","Alectryon.tomentosus","9",0
"186","Alectryon.tomentosus","10",0
"187","Alectryon.tomentosus","11",0
"188","Alectryon.tomentosus","12",0
"189","Alectryon.tomentosus","13",0
"190","Alectryon.tomentosus","14",1
"191","Alectryon.tomentosus","15",0
"192","Alectryon.tomentosus","16",0
"193","Alectryon.tomentosus","17",0
"194","Alectryon.tomentosus","18",0
"195","Alectryon.tomentosus","19",0
"196","Alectryon.tomentosus","20",1
"197","Alectryon.tomentosus","21",0
"198","Alectryon.tomentosus","22",0
"199","Alectryon.tomentosus","23",0
"200","Alectryon.tomentosus","24",0
"201","Alectryon.tomentosus","25",0
"202","Alectryon.tomentosus","26",0
"203","Alectryon.tomentosus","27",0
"204","Alectryon.tomentosus","28",0
"205","Alectryon.tomentosus","29",0
"206","Alectryon.tomentosus","30",0
"207","Alectryon.tomentosus","31",2
"208","Alectryon.tomentosus","32",0
"209","Alectryon.tomentosus","33",1
"210","Alectryon.tomentosus","34",0
"211","Alectryon.tomentosus","35",0
"212","Alectryon.tomentosus","36",0
"213","Alectryon.tomentosus","37",0
"214","Alectryon.tomentosus","38",0
"215","Alectryon.tomentosus","39",0
"216","Alectryon.tomentosus","40",0
"217","Alectryon.tomentosus","41",0
"218","Alectryon.tomentosus","42",0
"219","Alectryon.tomentosus","43",0
"220","Alectryon.tomentosus","44",0
"221","Alocasia.spp","1",0
"222","Alocasia.spp","2",0
"223","Alocasia.spp","3",0
"224","Alocasia.spp","4",0
"225","Alocasia.spp","5",0
"226","Alocasia.spp","6",0
"227","Alocasia.spp","7",0
"228","Alocasia.spp","8",0
"229","Alocasia.spp","9",0
"230","Alocasia.spp","10",0
"231","Alocasia.spp","11",0
"232","Alocasia.spp","12",9
"233","Alocasia.spp","13",0
"234","Alocasia.spp","14",0
"235","Alocasia.spp","15",0
"236","Alocasia.spp","16",0
"237","Alocasia.spp","17",0
"238","Alocasia.spp","18",0
"239","Alocasia.spp","19",0
"240","Alocasia.spp","20",0
"241","Alocasia.spp","21",0
"242","Alocasia.spp","22",0
"243","Alocasia.spp","23",0
"244","Alocasia.spp","24",4
"245","Alocasia.spp","25",0
"246","Alocasia.spp","26",0
"247","Alocasia.spp","27",0
"248","Alocasia.spp","28",0
"249","Alocasia.spp","29",0
"250","Alocasia.spp","30",0
"251","Alocasia.spp","31",0
"252","Alocasia.spp","32",0
"253","Alocasia.spp","33",0
"254","Alocasia.spp","34",0
"255","Alocasia.spp","35",0
"256","Alocasia.spp","36",0
"257","Alocasia.spp","37",0
"258","Alocasia.spp","38",0
"259","Alocasia.spp","39",0
"260","Alocasia.spp","40",0
"261","Alocasia.spp","41",0
"262","Alocasia.spp","42",0
"263","Alocasia.spp","43",0
"264","Alocasia.spp","44",0
"265","Alphitonia.excelsa","1",1
"266","Alphitonia.excelsa","2",0
