	flowering.duration	leaf.area	maximum.height	seed.mass	SLA	wood.density
cupaniopsis anacardioides	2	5.658456062	3.872983346	2.262795853	1.022982063	0.7675
cyperus involucratus	2.236067977	6.184658438	1.095445115	-1.259637311		
cyperus spp	2.236067977	6.184658438	1.095445115	-1.259637311		
daphnandra tenuipes	2	3.615107191	4.472135955			0.5633
derris involuta	2.449489743	2.883227358	4.472135955	1.243236538		
dioscorea transversa	1.732050808	4.530322084	1.224744871	1.328552879	1.63020966	
diospyros australis		4.080290337	4.472135955	2.368216202	0.859636329	0.633
diospyros ellipticifolia	2	8.511756575	2.449489743	1.585124066		
diospyros fasciculosa	1.732050808	5.187147578	5.477225575			0.69
diospyros pentamera	2	3.856812155	5.272570531	1.663135315	0.921619172	0.601666667
diploglottis australis	1.732050808	9.517860404	6.708203932			0.621233333
drypetes deplanchei	1.732050808	4.464494852	5	1.960201936	1.013145624	0.778
dysoxylum rufum		6.11814242	5.477225575	2.03530964	1.389978975	0.551
elaeocarpus grandis	1.732050808	5.005996404	5.89067059	1.442888735	1.143085427	
elaeocarpus obovatus	1.732050808	3.438568016	6.32455532	1.935668459	1.03509679	0.60665
elattostachys nervosa	3	4.839387014	6.32455532		1.246266051	0.6622
elattostachys xylocarpa	2.236067977	3.214887245	5			0.6626
embelia australiana	1	4.707835414		1.774443969	1.106362609	
endiandra discolor	1.414213562	4.969024049	5	2.398669011	1.011046076	0.58725
endiandra globosa		6.121601098	5.477225575	4.313556677		0.754
endiandra pubens	1.732050808	4.890296515	5			0.64965
endiandra sieberi	2.236067977	3.918545649	5.477225575	3.245142373	0.967059062	0.6325
eugenia uniflora	2.645751311	3.023863423	2.828427125	2.412110955		0.7568
eupomatia laurina	1.732050808	6.008188856	3.872983346	1.127887035	1.165821332	0.509
euroschinus falcatus		4.959982719	5.477225575	0.881954971	1.135806572	0.4225
ficus coronata	3.464101615	5.61351473	4.472135955	-0.351639989	1.224654231	0.438253
ficus fraseri		6.143544812	5.916079783	-0.638272164	1.181942738	0.443
ficus obliqua		4.404505269	7.071067812	-0.356547324	1.12090412	0.513
ficus opposita		6.374114318	3.16227766	-0.059234564	0.91771741	0.44
ficus racemosa		7.919406543	5.916079783	-0.886056648		0.37
ficus virens		6.803528496	6.32455532	-0.602059991		0.342
ficus watkinsiana		7.801281946	6.32455532	0.296226287		0.375
flagellaria indica	3.464101615	4.731693468	1.414213562	1.519044394	1.275216806	
flindersia schottiana	1.414213562	6.456727757	6.708203932	1.726939008	0.979224512	0.584857143
geitonoplesium cymosum	2.449489743	2.380296725	1.732050808	1.185258765	1.5172145	
glochidion ferdinandi	3.464101615	4.639975754	5.916079783	0.350701148	1.167727744	0.587793125
grevillea robusta	1.732050808	6.623251971	5.916079783	1.339933297	1.025497576	0.525517021
guioa semiglauca	1.732050808	3.811889295	6.32455532	1.62979343	1.092755913	0.7161
helicia glabriflora		5.241819023	5.477225575	2.183839037	0.924307082	0.5762
hippocratea barbata	1.414213562	3.63174889	1.140175425	1.618048097	1.424930587	
hodgkinsonia ovatiflora	1.732050808	3.201562119	5.916079783			0.8256
hymenosporum flavum	1.732050808	5.438351466	5.291502622	0.828989735	1.167782313	0.5885
ixora beckleri	2	5.404858925	3.872983346			0.8256
jagera pseudorhus	1.732050808	2.349893615	3.872983346	1.571163084	1.348279248	0.653
lantana camara	1.414213562	5.347351369	2	1.27876503	1.37491559	
legnephora moorei	1.732050808	11.43883735		1.556302501	1.433798281	
leucaena leucocephala	1.732050808	0.460163015	2.828427125	1.681241237		0.76
ligustrum lucidum	2.449489743	5.43006906	2.121320344	1.357801491	1.120958012	0.57942
ligustrum sinense	2.236067977	1.923408433	1.732050808	1.225972281	0.987326443	0.612
lomandra hystrix	2.449489743	9.233092656	1.140175425	1.143639235		
lomandra longifolia	2.236067977	6.299391505	1	1.05422991	0.705710431	
lomandra sp	2.236067977	6.299391505	1	1.05422991	0.705710431	
lophostemon confertus	1.732050808	5.80361956	6.32455532	0.812921687		0.7328
lophostemon suaveolens	1.732050808	5.964993115	5.477225575	-0.247951552	0.974105737	0.613878132
macadamia tetraphylla	1.732050808	6.621555708	4.242640687		0.796157877	
macfadyena unguiscati	2	3.741657387	4.472135955	1.462397998	1.207068582	
maclura cochinchinensis		2.933981936	3.872983346	1.047936516	1.265342595	
mallotus claoxyloides	2.449489743	5.675936046	2.828427125	1.79837689	1.231983519	
mallotus philippensis	3.31662479	6.483972915	5	1.356986347	1.281710282	0.603333333
marsdenia rostrata	2.449489743	6.217100074	1.341640786	1.888460318	1.374742054	
melaleuca bracteata	1.732050808	0.546808925	3.872983346	-1.243995431		0.87
melaleuca quinquenervia	2.645751311	2.740072992	5.916079783	-0.69839825	0.901039735	0.670125036
melaleuca spp	1.732050808	0.546808925	3.872983346	-1.243995431		0.87
melia azedarach	2	2.50998008	6.708203932	2.507013215		0.387666667
micromelum minutum	3.464101615	5.30193361	3.16227766	1.342422681		
mischocarpus pyriformis		6.156831281	5.477225575	2.272305844	0.943791229	0.6
morinda jasminoides	2.645751311	3.088379981	4.472135955	0.860238157	1.415698738	
myrsine variabilis	2.236067977	3.801597409	3.16227766	1.453379504	1.067906613	0.75917
neolitsea dealbata	1.732050808	7.703489787	4.472135955	2.164375165	1.105491457	0.499757143
notelaea longifolia	2.645751311	5.910506823	3	1.990460955	0.984457881	0.83987
notelaea microcarpa	2.645751311	3.253859247	3.16227766	1.638698866	0.820529849	0.638719277
ochna serrulata	2.449489743	2.607220742	1.732050808	1.923036669	1.305301201	
olea paniculata	1.732050808	5.47859471	5.477225575	1.916453949	1.179535809	0.760333333
pandorea pandorana	2.645751311	3.179748418	1.264911064	0.600367019	1.431642668	0.4477
pararchidendron pruinosum	2	3.532232533	4.472135955	1.748188027	1.391046301	0.5125
parsonsia straminea	2.236067977	6.470450315	4.123105626	0.946845114	1.349787677	
passiflora edulis	2.236067977	11.43109794	2.236067977	1.129722109	1.334453751	
pavetta australiensis	1.732050808	6.91194618	2.645751311	2.340444115		
pittosporum multiflorum	2.449489743	0.517687164	2.049390153	1.044186851		
pittosporum undulatum	2	5.381951319	5	0.970464921	1.047371967	0.6446
planchonella australis	2	5.422176685	6.32455532	2.8263711		0.7568
polyscias elegans	2.236067977	5.410556811	5.477225575	0.835072669	1.137844829	0.36075
pothos longipes	1.414213562	2.049390153		2.037426498	1.079354929	
pseudoweinmannia lachnocarpa	1.732050808	4.083870713	5.93295879			0.744666667
psychotria daphnoides	1.732050808	1.122497216	1.414213562	1.265124553		
psychotria loniceroides	1.732050808	4.576215685	2.236067977	0.981777204	1.166427892	0.69
rhodamnia argentea	2	4.968299508	6.32455532	1.229886529		0.705366667
rhodamnia rubescens	2	4.089947025	5.477225575	0.57955496	1.041116228	0.6414
rhodomyrtus psidioides	1.414213562	5.643137425	4.472135955	0.620812486	1.11806232	0.7783
rhodosphaera rhodanthema	1.732050808	2.821878807	5.196152423	2.652121548		0.5895
ricinus communis	1.732050808		1.870828693	2.47070443	1.673113104	
ripogonum spp	2.236067977	6.099180273	3.872983346	0.276461804	1.077004327	
rubus moluccanus	2.449489743	6.719945436		-0.070581074	1.141239952	
rubus rosifolius	3.464101615	1.787945749	1	-0.280019323	1.37947473	
sarcopteryx stipata	2	3.473614832	6.32455532	1.570426178	0.962334507	0.83875
schefflera actinophylla	2.236067977	10.83831168	4.898979486	0.896473188		0.4065
schoenoplectus validus	2.449489743	9.874208829	1.414213562	-0.040958608		
senna pendula	3.464101615	1.749285568	1.732050808	1.267171728		
senna septemtrionalis	3	2.941725684	1.732050808	1.313951541		
sloanea australis	2.449489743	7.695009205	6.708203932		1.186419979	0.509
sloanea woollsii	1.732050808	5.961124055	6.708203932			0.523733333
smilax australis	2.449489743	7.309249277	2	1.547583968	1.049860016	
solanum mauritianum	3	10.9287465	2	0.029383778	1.303778979	0.449091629
stephania japonica	2.449489743	6.36586065	1	1.313628223	1.334763507	
sterculia quadrifida	1.732050808	9.548787008	5			0.322
streblus brunonianus	3	3.380801187	5.477225575	1.079181246	1.323692259	0.68125
synoum glandulosum	1.732050808	6.505505804	4.472135955	2.305847871	1.092635053	0.527571429
syzygium australe	1.732050808	3.639688631	4.898979486	2.386981943	1.115566094	0.6115
syzygium floribundum	1.414213562	4.9453008	5.477225575	3.162976712	1.13289977	0.5897
syzygium luehmannii	1.732050808	2.514159899	5.916079783	1.32435881	1.143551394	0.645
syzygium oleosum	3.16227766	4.398800342	4.123105626	2.297368476	1.055430998	0.751443983
tabernaemontana pandacaqui	2.449489743	5.100816928	2	1.372856793		
tecoma capensis	2.449489743	1.620185175	1.732050808	0.332034277		
tecoma stans	2.449489743	2.883140649	2.236067977	0.954242509		0.462
toechima tenax	1.732050808	2.479919354	5.477225575			0.6622
toona ciliata	2	5.513778196	6.708203932	0.301029996	1.174141683	0.397125
trema tomentosa	2	4.685936406	2.449489743	0.547774705	1.440019639	0.356552427
tristaniopsis laurina	1.414213562	3.771538148	5.477225575	1.010995384	0.857642293	0.761540363
trophis scandens	3.464101615	4.967584926		1.906065545	1.021017685	0.658939167
wikstroemia indica	1.414213562	2.281812145	2	1.230448921	1.400662867	0.58
wilkiea huegeliana	1.732050808	6.166841777	3.674234614	2.117768295	0.998291186	0.62095
