	flowering.duration	leaf.area	maximum.height	seed.mass	SLA	wood.density
acacia bakeri	1.732050808	4.081237557	6.32455532	1.742249739		0.7725
acacia fimbriata	2.236067977		2.449489743	1.324926809	0.948412966	
acmena smithii	2	4.660925039	4.472135955	2.380017605	0.961409008	0.647333333
acronychia oblongifolia	1.414213562	4.552471856	4.472135955	1.155663436	1.165264783	0.67375
ailanthus triphysa		2.680951324	6.708203932	1.57632983		0.3705
alangium villosum	2.449489743	5.947846249	4.472135955	2.282803314	1.249751466	0.556833333
alectryon tomentosus	2	4.860555524	4.472135955	1.37493623		
alphitonia excelsa	2.236067977	4.781309766	5.916079783	1.304571278	1.03017433	0.598
alyxia ruscifolia	3	1.906130461	2.449489743	2.155012604		
aphananthe philippinensis	1.732050808	2.570088937	5.916079783	1.561985289	1.178749313	0.58125
archirhodomyrtus beckleri	1.732050808	3.038118936	3.16227766	0.174641193	1.047830442	0.53
argyrodendron trifoliolatum	1.732050808	4.601847455	6.32455532	2.041392685	1.061853087	0.762
aristolochia elegans	2.449489743	5.002499375	1.732050808	0.323045735		
arytera distylis	1.414213562	3.201562119	4.472135955			0.6321
arytera divaricata		6.179778853	5.477225575	1.775974331	1.03945686	0.6115
atalaya salicifolia		3.712276929	3.464101615	1.522052801		0.724
auranticarpa rhombifolia	2.449489743	4.878524367	6.32455532			0.700633333
backhousia myrtifolia	1.732050808	2.843882323	5.916079783	1.037964053	1.011205135	0.816764934
beilschmiedia obtusifolia	1.414213562	5.156872437	5.916079783	2.584331224	1.040910886	0.637
breynia oblongifolia	1.732050808	1.92111079	2.828427125	0.828917562	1.112348571	0.62
bursaria incana	1.732050808	1.799305422	3.16227766	0.466422722		0.74
calamus muelleri	1.732050808	7.321799642	3.16227766	2.647309603	1.11537498	
callerya megasperma	1.732050808	3.119014267	4.472135955	3.868370912		
callistemon salignus	1.732050808		2.449489743	-1.31581493		0.839
callistemon viminalis	2.645751311	1.720537707	2.828427125	-0.427398993	0.938472046	0.689
canarium australasicum		4.878524367	6.32455532	2.831793014		0.584
capparis arborea	1.732050808	4.997812021	3.16227766	1.69065672	0.949063866	0.681
cardiospermum grandiflorum	2.449489743	2.968164416	3.16227766	1.540229338	1.379815363	
carex appressa	2	5.333541663	1.224744871	-0.038341651	1.150449409	
carex spp	2	5.333541663	1.224744871	-0.038341651	1.150449409	
carissa ovata	1.732050808	2.045727255	2	1.705521613		
carronia multisepalea		6.747962655	3.872983346	1.798180884		0.5805
castanospermum australe	1.732050808	5.511970091	5.916079783	4.129929494	1.165900398	0.61475
casuarina cunninghamiana	3.464101615	0.615959617	5	0.041590047	0.451047807	0.677050148
cayratia clematidea	1.732050808	2.465089586	1.414213562	1.388710871	1.61370582	
celtis sinensis	3.464101615	6.116496819	3.872983346	1.67614468	1.440537384	0.59
cinnamomum camphora	2.449489743	3.335865705	4.472135955	1.966141733	1.216080762	0.460635
cinnamomum oliveri	1.414213562	4.927981331	5			0.473
cissus antarctica	3	6.167292761	1.414213562	1.815577748	1.204873438	0.545107896
cissus hypoglauca	2.449489743	3.988483421	3.872983346	1.577024318	1.157318393	
citronella moorei	2.236067977	5.989574275	6.32455532			0.576
cleistanthus cunninghamii	1.414213562	4.523424219	5		1.199974435	0.643725
clematis aristata	2	5.152696936	2.828427125	0.60129931	1.341241178	0.2981
clerodendrum floribundum	2.236067977	8.104998458	3.605551275	1.640481437		
commersonia bartramia	1.732050808	7.259246977	5	0.977723605	1.06083032	0.4205
cryptocarya bidwillii	1.732050808	4.224926035	4.472135955			0.645
cryptocarya glaucescens	1.414213562	5.076452994	6.708203932	2.510531606	1.019143996	0.5472
cryptocarya laevigata	1.732050808	4.555666496	2.645751311		1.134721198	
cryptocarya obovata	1.732050808	6.472381324	6.708203932		1.122182621	0.51035
cryptocarya triplinervis	2	3.852212568	4.472135955	2.421413565	1.171326578	0.65
