"","Taxon","seed.mass","source"
"409","Castanospermum australe",23561.945,"AUSTRAITS_dataset_49"
"414","Castanospermum australe",7722.17,"AUSTRAITS_dataset_52"
"415","Castanospermum australe",14000,"AUSTRAITS_dataset_52"
"437","Casuarina cunninghamiana",1.57,"AUSTRAITS_dataset_53"
"440","Casuarina cunninghamiana",0.631,"Moles 2004 Seed database"
"444","Casuarina littoralis",3.119,"AUSTRAITS_dataset_10"
"448","Cayratia clematidea",12.31,"AUSTRAITS_dataset_10"
"465","Cayratia clematidea",27.923,"AUSTRAITS_dataset_6"
"467","Cayratia clematidea",33.19,"Gallagher_field_workPHD"
"473","Celtis sinensis",47.44,"http://onlinelibrary.wiley.com/doi/10.1111/j.1438-8677.2011.00528.x/full"
"479","Cestrum nocturnum",3.236,"AUSTRAITS_dataset_53"
"481","Cinnamomum camphora",77,"AUSTRAITS_dataset_52"
"482","Cinnamomum camphora",108,"AUSTRAITS_dataset_53"
"530","Cissus antarctica",65.4,"AUSTRAITS_dataset_53"
"538","Cissus hypoglauca",38.058,"AUSTRAITS_dataset_10"
"570","Cissus hypoglauca",36.11,"AUSTRAITS_dataset_52"
"573","Cissus hypoglauca",39.11,"AUSTRAITS_dataset_53"
"603","Clematis aristata",2.964,"AUSTRAITS_dataset_10"
"607","Clematis aristata",12.566,"AUSTRAITS_dataset_49"
"624","Clematis aristata",0.295,"AUSTRAITS_dataset_53"
"625","Clematis aristata",0.29,"AUSTRAITS_dataset_6"
"626","Clematis aristata",3.85,"Gallagher_field_workPHD"
"635","Clerodendrum floribundum",43.7,"AUSTRAITS_dataset_52"
"644","Commersonia bartramia",13,"AUSTRAITS_dataset_52"
"647","Commersonia bartramia",6,"AUSTRAITS_dataset_53"
"659","Cryptocarya glaucescens",323.99,"AUSTRAITS_dataset_10"
"699","Cryptocarya triplinervis",281.281,"AUSTRAITS_dataset_53"
"700","Cryptocarya triplinervis",281.28,"Gallagher_field_workPHD"
"728","Cupaniopsis anacardioides",178.63,"AUSTRAITS_dataset_53"
"729","Cupaniopsis anacardioides",199.03,"Gallagher_field_workPHD"
"737","Cupaniopsis serrata",293.215,"AUSTRAITS_dataset_49"
"741","Cyperus involucratus",0.055,"AUSTRAITS_dataset_53"
"2788","Cyperus spp",0.055,"AUSTRAITS_dataset_53"
"752","Derris involuta",12.566,"AUSTRAITS_dataset_49"
"754","Derris involuta",22.45,"AUSTRAITS_dataset_6"
"2810","Desmodium spp",3.89,"Kew SID"
"782","Dioscorea transversa",21.307,"AUSTRAITS_dataset_6"
"783","Dioscorea transversa",21.31,"Gallagher_field_workPHD"
"787","Diospyros australis",242.304,"AUSTRAITS_dataset_10"
"811","Diospyros australis",224.62,"Gallagher_field_workPHD"
"833","Diospyros pentamera",46.04,"Gallagher_field_workPHD"
"869","Drypetes deplanchei",91.247,"AUSTRAITS_dataset_53"
"870","Drypetes deplanchei",91.24,"Gallagher_field_workPHD"
"877","Dysoxylum rufum",108.47,"AUSTRAITS_dataset_52"
"888","Elaeagnus triflora",150,"AUSTRAITS_dataset_52"
"898","Elaeocarpus grandis",17.07,"AUSTRAITS_dataset_53"
"908","Elaeocarpus obovatus",86.234,"AUSTRAITS_dataset_53"
"909","Elaeocarpus obovatus",86.23,"Gallagher_field_workPHD"
"946","Embelia australiana",24.17,"Gallagher_field_workPHD"
"947","Embelia australiana",94.81,"Gallagher_field_workPHD"
"960","Endiandra discolor",250.42,"Gallagher_field_workPHD"
"980","Endiandra sieberi",1758.5,"Gallagher_field_workPHD"
"987","Erythrina species 'croftby'",62.832,"AUSTRAITS_dataset_49"
"988","Eugenia uniflora",258.292,"AUSTRAITS_dataset_53"
"1002","Eupomatia laurina",8.15,"AUSTRAITS_dataset_10"
"1041","Eupomatia laurina",18,"Gallagher_field_workPHD"
"1058","Euroschinus falcatus",7.62,"Gallagher_field_workPHD"
"1076","Ficus coronata",0.57,"Gallagher_field_workPHD"
"1078","Ficus coronata",0.32,"Kyle_Hunter Plant Traits"
"1097","Ficus fraseri",0.23,"AUSTRAITS_dataset_53"
"1108","Ficus obliqua",0.44,"AUSTRAITS_dataset_53"
"1113","Ficus opposita",0.9,"AUSTRAITS_dataset_52"
"1115","Ficus opposita",0.845,"AUSTRAITS_dataset_53"
"1121","Ficus racemosa",0.13,"AUSTRAITS_dataset_52"
"1129","Ficus virens",0.25,"AUSTRAITS_dataset_53"
"1139","Ficus watkinsiana",2.856,"AUSTRAITS_dataset_53"
"1140","Ficus watkinsiana",1.1,"Gallagher_field_workPHD"
"1191","Flagellaria indica",37.963,"AUSTRAITS_dataset_53"
"1192","Flagellaria indica",42.73,"AUSTRAITS_dataset_6"
"1199","Flindersia schottiana",36.652,"AUSTRAITS_dataset_49"
"1210","Flindersia schottiana",70,"AUSTRAITS_dataset_53"
"1255","Geitonoplesium cymosum",15.32,"AUSTRAITS_dataset_6"
"1289","Glochidion ferdinandi",2.02,"Gallagher_field_workPHD"
"1296","Grevillea robusta",31.416,"AUSTRAITS_dataset_49"
"1311","Grevillea robusta",20,"AUSTRAITS_dataset_53"
"1321","Guioa semiglauca",27.223,"AUSTRAITS_dataset_10"
"1344","Guioa semiglauca",59.69,"Gallagher_field_workPHD"
"1346","Guioa semiglauca",41,"PIREL Seed Trait Database 02 08 2013"
"1357","Helicia glabriflora",152.7,"Gallagher_field_workPHD"
"1361","Hibiscus heterophyllus",12.552,"AUSTRAITS_dataset_53"
"1378","Hippocratea barbata",41.5,"AUSTRAITS_dataset_53"
"1401","Ipomoea cairica",24.851,"AUSTRAITS_dataset_53"
"1410","Jacaranda mimosifolia",11.7,"AUSTRAITS_dataset_53"
"1423","Jagera pseudorhus",36.15,"AUSTRAITS_dataset_53"
"1427","Lantana camara",23.001,"AUSTRAITS_dataset_10"
"1436","Lantana camara",15,"AUSTRAITS_dataset_53"
"1449","Legnephora moorei",36,"AUSTRAITS_dataset_52"
"1460","Leucaena leucocephala",48,"AUSTRAITS_dataset_53"
"1469","Ligustrum lucidum",21.379,"AUSTRAITS_dataset_10"
"1473","Ligustrum lucidum",16,"AUSTRAITS_dataset_52"
"1476","Ligustrum lucidum",31,"AUSTRAITS_dataset_53"
"1482","Ligustrum sinense",22.477,"AUSTRAITS_dataset_10"
"1485","Ligustrum sinense",11,"AUSTRAITS_dataset_52"
"1488","Ligustrum sinense",17,"AUSTRAITS_dataset_53"
"2805","Lomandra hystrix",13.92,"Kew SID"
"1505","Lomandra longifolia",11.33,"AUSTRAITS_dataset_10"
"2756","Lomandra sp",11.33,"AUSTRAITS_dataset_10"
"1536","Lophostemon confertus",4.08,"AUSTRAITS_dataset_53"
"1554","Lophostemon suaveolens",0.46,"AUSTRAITS_dataset_53"
"1556","Lophostemon suaveolens",0.67,"Kew SID"
"2739","Macfadyena unguiscati",29,"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2005.01034.x/full"
"1581","Maclura cochinchinensis",16.755,"AUSTRAITS_dataset_49"
"1590","Maclura cochinchinensis",7.746,"AUSTRAITS_dataset_52"
"1591","Maclura cochinchinensis",9,"AUSTRAITS_dataset_53"
"1610","Mallotus philippensis",26.9,"AUSTRAITS_dataset_53"
"1637","Marsdenia rostrata",77.35,"Gallagher_field_workPHD"
"1649","Melaleuca bracteata",0.05,"AUSTRAITS_dataset_53"
"1661","Melaleuca quinquenervia",0.313,"Moles 2004 Seed database"
"2797","Melaleuca spp",0.05,"AUSTRAITS_dataset_53"
"1668","Melia azedarach",530,"AUSTRAITS_dataset_52"
"1675","Melia azedarach",412,"AUSTRAITS_dataset_53"
"1697","Melodinus australis",65,"AUSTRAITS_dataset_52"
"1717","Melodorum leichhardtii",83,"AUSTRAITS_dataset_52"
"1718","Melodorum leichhardtii",165.32,"AUSTRAITS_dataset_53"
"1725","Micromelum minutum",22,"AUSTRAITS_dataset_52"
"1746","Mischocarpus pyriformis",187.2,"Gallagher_field_workPHD"
"1748","Morinda jasminoides",5.445,"AUSTRAITS_dataset_10"
"1798","Morinda jasminoides",8.4,"AUSTRAITS_dataset_52"
"1802","Morinda jasminoides",7.9,"AUSTRAITS_dataset_53"
"1822","Myrsine variabilis",29.6,"Gallagher_field_workPHD"
"1824","Myrsine variabilis",27.208,"Moles 2004 Seed database as H. aspera"
"2803","Nandina spp",19.2,"Kew SID"
"1848","Neolitsea dealbata",146,"AUSTRAITS_dataset_53"
"1852","Neolitsea dealbata",146.015,"Moles 2004 Seed database"
"1882","Notelaea longifolia",151.46,"Gallagher_field_workPHD"
"1884","Notelaea longifolia",44.195,"PIREL Seed Trait Database 02 08 2013"
