"","flowering.duration","maximum.height","seed.mass","SLA","leaf.narrowness","wood.density"
"Diospyros.fasciculosa",1.73205080756888,5.47722557505166,1.3749362301402,1.09275591312887,2.8,0.69
"Diospyros.pentamera",2,5.27257053058563,1.66313531495775,0.921619171872095,2.888888889,0.601666666666667
"Drypetes.deplanchei",1.73205080756888,5,1.96020193598134,1.01314562400244,2.166666667,0.778
"Elaeocarpus.grandis",1.73205080756888,5.89067059000926,1.44288873524989,1.14308542690757,5.4,NA
"Elaeocarpus.obovatus",1.73205080756888,6.32455532033676,1.93566845891626,1.03509678970813,3,0.60665
"Elattostachys.nervosa",3,6.32455532033676,1.32855287887182,1.24626605110988,4,0.6622
"Elattostachys.xylocarpa",2.23606797749979,5,2.30584787121472,1.19997443453049,2.037037037,0.6626
"Embelia.australiana",1,4.47213595499958,1.77444396892497,1.10636260926751,2,NA
"Endiandra.discolor",1.4142135623731,5,2.39866901121082,0.987957237778689,2,0.58725
"Endiandra.pubens",1.73205080756888,5,1.77597433112937,0.974105736535344,2.857142857,0.64965
"Eugenia.uniflora",2.64575131106459,2.82842712474619,2.41211095510998,1.03945685959162,1.727272727,0.7568
"Eupomatia.laurina",1.73205080756888,3.87298334620742,1.12788703461468,1.16582133239381,2.714285714,0.509
"Ficus.coronata",3.46410161513775,4.47213595499958,-0.351639989019068,1.22465423067203,2.142857143,0.438253
"Ficus.opposita",3.46410161513775,3.16227766016838,-0.0592345643687825,0.917717410087563,2,0.44
"Ficus.racemosa",1.73205080756888,5.91607978309962,-0.886056647693163,1.27521680646688,2,0.37
"Ficus.watkinsiana",2.23606797749979,6.32455532033676,0.296226287261161,0.82052984852352,3.5,0.375
"Flagellaria.indica",3.46410161513775,1.4142135623731,1.51904439391574,1.27521680646688,20,NA
"Geitonoplesium.cymosum",2.44948974278318,1.73205080756888,1.18525876529659,1.51721450046057,4.285714286,NA
"Glochidion.ferdinandi",3.46410161513775,5.91607978309962,0.350701147577643,1.16772774366598,2.363636364,0.5877931254
"Grevillea.robusta",1.73205080756888,5.91607978309962,1.33993329702093,1.02549757556753,4.583333333,0.525517020818182
"Guioa.semiglauca",1.73205080756888,6.32455532033676,1.62979343003544,1.09275591312887,2.6,0.7161
"Hymenosporum.flavum",1.73205080756888,5.29150262212918,0.828989734704675,1.16778231321981,3.2,0.5885
"Jagera.pseudorhus",1.73205080756888,3.87298334620742,1.5711630837458,1.34827924765456,3.461538462,0.653
"Lantana.camara",1.4142135623731,2,1.27876502960461,1.374915589516,1.75,NA
"Legnephora.moorei",1.73205080756888,2,1.55630250076729,1.43379828114509,1,NA
"Leucaena.leucocephala",1.73205080756888,2.82842712474619,1.68124123737559,0.979224511806442,4,0.76
"Ligustrum.lucidum",2.44948974278318,2.12132034355964,1.35780149050287,1.12095801244251,2.125,0.57942
"Ligustrum.sinense",2.23606797749979,1.73205080756888,1.22597228085552,0.987326443354537,1.75,0.612
"Lomandra.longifolia",2.23606797749979,1,1.0542299098634,0.705710430665193,120,NA
"Lophostemon.confertus",1.73205080756888,6.32455532033676,0.812921686956185,1.06185308656078,3.785714286,0.7328
"Lophostemon.suaveolens",1.73205080756888,5.47722557505166,-0.247951552180562,0.974105736535344,2.666666667,0.6138781315
"Maclura.cochinchinensis",2.44948974278318,3.87298334620742,1.04793651613808,1.26534259452621,2.2,NA
"Mallotus.claoxyloides",2.44948974278318,2.82842712474619,1.79837688979708,1.23198351943958,1.888888889,NA
"Mallotus.philippensis",3.3166247903554,5,1.35698634732644,1.28171028220965,1.777777778,0.603333333333333
"Marsdenia.rostrata",2.44948974278318,1.34164078649987,1.88846031803539,1.3747420544493,1.888888889,NA
"Melaleuca.bracteata",1.73205080756888,3.87298334620742,-1.24399543115516,1.06185308656078,8.444444444,0.87
"Morinda.jasminoides",2.64575131106459,4.47213595499958,0.860238157281692,1.41569873849821,2.625,NA
"Myrsine.variabilis",2.23606797749979,3.16227766016838,1.45337950397671,1.06790661288699,3.25,0.75917
"Neolitsea.dealbata",1.73205080756888,4.47213595499958,2.16437516485948,1.1054914572098,2.380952381,0.499757142857143
"Notelaea.longifolia",2.64575131106459,3,1.99046095519098,0.984457880738118,2.954545455,0.83987
"Ochna.serrulata",2.44948974278318,1.73205080756888,1.92303666867079,1.30530120051976,3.636363636,NA
"Olea.paniculata",1.73205080756888,5.47722557505166,1.91645394854993,1.17953580942232,2,0.760333333333333
"Pandorea.pandorana",2.64575131106459,1.26491106406735,0.600367018859099,1.43164266793251,3.28125,0.4477
"Pararchidendron.pruinosum",2,4.47213595499958,1.7481880270062,1.39104630072414,2.5,0.5125
"Parsonsia.straminea",2.23606797749979,4.12310562561766,0.946845113960623,1.34978767669375,2.947368421,NA
"Pavetta.australiensis",1.73205080756888,2.64575131106459,2.34044411484012,1.44053738355182,2.714285714,NA
"Pittosporum.undulatum",2,5,0.970464921368993,1.04737196723539,3.818181818,0.6446
"Planchonella.australis",2,6.32455532033676,2.826371099749,1.06185308656078,3.428571429,0.7568
"Pothos.longipes",1.4142135623731,4.47213595499958,2.03742649794062,1.07935492910609,3.25,NA
"Rhodamnia.rubescens",2,5.47722557505166,0.579554960400999,1.04111622796948,2.307692308,0.6414
"Rhodomyrtus.psidioides",1.4142135623731,4.47213595499958,0.620812485741877,1.11806231967417,3.333333333,0.7783
"Rhodosphaera.rhodanthema",1.73205080756888,5.19615242270663,2.65212154804631,1.16778231321981,3.714285714,0.5895
"Ricinus.communis",1.73205080756888,1.87082869338697,2.47070442972279,1.67311310423823,NA,NA
"Rubus.rosifolius",3.46410161513775,1,-0.280019322959304,1.37947472967376,3.666666667,NA
"Sarcopteryx.stipata",2,6.32455532033676,1.57042617835897,0.962334506649198,2.545454545,0.83875
"Schefflera.actinophylla",2.23606797749979,4.89897948556636,0.896473187788894,1.40066286700751,3.166666667,0.4065
"Senna.septemtrionalis",3,1.73205080756888,1.31395154120854,1.34124117777646,2.674418605,NA
"Sloanea.australis",2.44948974278318,6.70820393249937,2.38001760527163,1.14107332626748,2.846153846,0.509
"Smilax.australis",2.44948974278318,2,1.54758396763158,1.04986001564052,1.538461538,NA
"Solanum.mauritianum",3,2,0.0293837776852097,1.30377897905731,2.228571429,0.449091629
"Stephania.japonica",2.44948974278318,1,1.31362822252465,1.33476350679569,1,NA
"Streblus.brunonianus",3,5.47722557505166,1.07918124604762,1.32369225866486,1.6,0.68125
"Synoum.glandulosum",1.73205080756888,4.47213595499958,2.30584787121472,1.09263505285815,3.111111111,0.527571428571429
"Syzygium.australe",1.73205080756888,4.89897948556636,2.38698194279625,1.08876566472461,3.25,0.6115
"Syzygium.floribundum",1.4142135623731,5.47722557505166,3.16297671221882,1.13289976994448,3.307692308,0.5897
"Syzygium.oleosum",3.16227766016838,4.12310562561766,2.2973684764479,1.0554309976796,3,0.751443983333333
"Tabernaemontana.pandacaqui",2.44948974278318,2,1.37285679253523,1.33445375115093,3.285714286,NA
"Tecoma.capensis",2.44948974278318,1.73205080756888,0.332034277027518,1.39104630072414,1.666666667,NA
"Tecoma.stans",2.44948974278318,2.23606797749979,0.954242509439325,1.37947472967376,3.289473684,0.462
"Toechima.tenax",1.73205080756888,5.47722557505166,2.36821620167588,0.984457880738118,2.25,0.6622
"Toona.ciliata",2,6.70820393249937,0.301029995663981,1.17414168282411,2.923076923,0.397125
"Tristaniopsis.laurina",1.4142135623731,5.47722557505166,1.01099538445347,0.857642292873837,4.111111111,0.76154036275
"Trophis.scandens",3.46410161513775,2.82842712474619,1.90606554475524,1.02101768523006,2,0.6589391665
"Wilkiea.huegeliana",1.73205080756888,3.67423461417477,2.11776829492637,0.998291185517816,3.5,0.62095
