"","flowering.duration","maximum.height","seed.mass","SLA","leaf.narrowness","wood.density"
"Acmena.smithii",2,4.47213595499958,2.38001760527163,0.961409008371818,2.333333333,0.647333333333333
"Acronychia.oblongifolia",1.4142135623731,4.47213595499958,1.15566343625896,1.16526478291681,2.711864407,0.67375
"Alectryon.tomentosus",2,4.47213595499958,1.3749362301402,0.857642292873837,3,NA
"Alphitonia.excelsa",2.23606797749979,5.91607978309962,1.30457127849281,1.03017433009708,2.714285714,0.598
"Aphananthe.philippinensis",1.73205080756888,5.91607978309962,1.5619852885859,1.17874931341845,1.777777778,0.58125
"Archirhodomyrtus.beckleri",1.73205080756888,3.16227766016838,0.174641192660448,1.0478304421153,2.875,0.53
"Argyrodendron.trifoliolatum",1.73205080756888,6.32455532033676,2.04139268515822,1.06185308656078,NA,0.762
"Aristolochia.elegans",2.44948974278318,1.73205080756888,0.323045735481701,1.41569873849821,0.846153846,NA
"Arytera.distylis",1.4142135623731,4.47213595499958,-0.356547323513813,0.984457880738118,2.4,0.6321
"Backhousia.myrtifolia",1.73205080756888,5.91607978309962,1.0379640527809,1.0112051348188,2.444444444,0.8167649335
"Beilschmiedia.obtusifolia",1.4142135623731,5.91607978309962,2.58433122436753,1.04091088563261,2.909090909,0.637
"Breynia.oblongifolia",1.73205080756888,2.82842712474619,0.828917561616686,1.11234857146296,2,0.62
"Calamus.muelleri",1.73205080756888,3.16227766016838,2.64730960336355,1.11537498032578,3.333333333,NA
"Callerya.megasperma",1.73205080756888,4.47213595499958,3.86837091225204,1.03945685959162,2.545454545,NA
"Callistemon.viminalis",2.64575131106459,2.82842712474619,-0.427398993135586,0.93847204574779,14,0.689
"Carronia.multisepalea",2,3.87298334620742,1.79818088392634,1.11234857146296,2.363636364,0.5805
"Castanospermum.australe",1.73205080756888,5.91607978309962,4.1299294938611,1.16590039804061,3.375,0.61475
"Casuarina.cunninghamiana",3.46410161513775,5,0.0415900468893668,0.451047807241197,200,0.67705014825
"Celtis.sinensis",3.46410161513775,3.87298334620742,1.67614468035621,1.44053738355182,1.8,0.59
"Cinnamomum.camphora",2.44948974278318,4.47213595499958,1.96614173273903,1.21608076192616,2,0.460635
"Cinnamomum.oliveri",1.4142135623731,5,0.98177720371076,1.11234857146296,4.6,0.473
"Cissus.antarctica",3,1.4142135623731,1.81557774832427,1.20487343818057,2.285714286,0.545107896
"Citronella.moorei",2.23606797749979,6.32455532033676,1.30457127849281,1.24626605110988,2.1,0.576
"Cleistanthus.cunninghamii",1.4142135623731,5,1.01099538445347,1.19997443453049,2,0.643725
"Commersonia.bartramia",1.73205080756888,5,0.977723605288848,1.06083032037482,1.5,0.4205
"Cryptocarya.bidwillii",1.73205080756888,4.47213595499958,2.50701321471032,1.01914399575039,2.833333333,0.645
"Cryptocarya.glaucescens",1.4142135623731,6.70820393249937,2.51053160584908,1.01914399575039,3,0.5472
"Cryptocarya.laevigata",1.73205080756888,2.64575131106459,1.22988652924589,1.06013199921195,4.25,NA
"Cryptocarya.obovata",1.73205080756888,6.70820393249937,1.77597433112937,1.12218262053075,2.5,0.51035
"Cryptocarya.triplinervis",2,4.47213595499958,2.42141356514487,1.17132657846464,2.5,0.65
"Cupaniopsis.anacardioides",2,3.87298334620742,2.26279585330356,1.03833523854689,2.5,0.7675
"Cyperus.involucratus",2.23606797749979,1.09544511501033,-1.25963731050576,1.06185308656078,211.7647059,NA
"Daphnandra.tenuipes",2,4.47213595499958,-0.886056647693163,1.06013199921195,3.777777778,0.5633
"Derris.involuta",2.44948974278318,4.47213595499958,1.24323653794108,0.961409008371818,1.9,NA
