"","X","site","mean","sd","FRic.orig","FRic.SES"
"1",1,1,0.053361853429066,0.0121067287858404,0.0493057515965435,-0.335028718679677
"2",2,2,0.00348687569616123,0.00160784229318546,0.00315810661486704,-0.204478438393873
"3",3,3,0.00751637769560767,0.00295722234529395,0.00684586157353752,-0.22673848760043
"4",4,4,0.0703295874960075,0.00780236169744667,0.0710575604940401,0.0933016215168389
"5",5,5,0.00982763969804379,0.00627111547660588,0.00873616263323876,-0.174048312278212
"6",6,6,0.110873638773938,0.010598315984081,0.110971285196246,0.00921339035889463
"7",7,7,0.000163478065044775,7.48663073620216e-05,0.00017431610050357,0.144765193325038
"8",8,8,0.0581977551712323,0.00896514374352203,0.0587146975428381,0.0576613589692119
"9",9,9,0.184527907398063,0.0122125305775517,0.182361367553956,-0.177403023095785
"10",10,10,0.122483581193079,0.0104074485075118,0.130008980576019,0.723078223976635
"11",11,11,0.122664314746139,0.0143225429843154,0.119360362135021,-0.230681982573616
"12",12,12,0.127704388974252,0.0155338008758842,0.12392579830431,-0.243249588438372
"13",13,13,0.0276913481868137,0.00597592895231887,0.0264964179063233,-0.199957243472026
"14",14,14,0.0383919798763306,0.00749995649960323,0.0370912753761342,-0.173428272586015
"15",15,15,0.0885109233632296,0.0112295569484773,0.0840126988294259,-0.400570080764734
"16",16,16,0.0887258023002221,0.00942187891992039,0.0878177991362966,-0.0963717716649681
"17",17,17,0.126235601868148,0.0110181689822896,0.127647632784089,0.128154770380718
"18",18,18,0.154513335945766,0.0167764816985284,0.15463414186417,0.00720090902104978
"19",19,19,0.185465856193345,0.0165257172737112,0.189291289585519,0.2314836523471
"20",20,20,0.0573339296122216,0.00671470355433555,0.0591316667210872,0.267731418716897
"21",21,21,0.0185069226299822,0.00497388911322402,0.0179774664979399,-0.106447112106834
"22",22,22,0.185686767198403,0.0145772019682036,0.184740372065106,-0.0649229622640477
"23",23,23,0.147344691088501,0.0152352601557908,0.146925656181312,-0.0275042830187109
"24",24,24,0.0391029888643826,0.00514803275416404,0.0390621250112463,-0.00793776090550685
"25",25,25,0.214956009247921,0.0165130071142162,0.219785478046927,0.292464526031011
"26",26,26,0.094069531636043,0.0257692195495697,0.079028490830484,-0.583682434643629
"27",27,27,0.0528410908507597,0.00720863983662854,0.0560840096004978,0.449865553451597
"28",28,28,0.0045462248545233,0.00178652668677703,0.00456738560430001,0.0118446312240016
"29",29,29,0.132511831647224,0.0254577677446852,0.118436875165015,-0.552874730548496
"30",30,30,0.0889589642086924,0.0164088859165321,0.0819092820905244,-0.429625884050141
"31",31,31,0.0645646233667994,0.00889348417307245,0.0657574589324261,0.134124662777088
"32",32,32,0.0231302787349157,0.00420318369363014,0.0217617194366209,-0.32560063943168
"33",33,33,0.0775347479641371,0.0114484347043201,0.0805635604400109,0.264561274453607
"34",34,34,0.0782531488699391,0.00781953601682151,0.082784099860743,0.579439877386186
"35",35,35,0.0654798292352839,0.011829363830277,0.0605747835000945,-0.414650001941359
"36",36,36,0.0107516304472182,0.00379831111014954,0.00899210690483395,-0.463238395002081
"37",37,37,0.017130338298364,0.004918339355455,0.0160865963339397,-0.212214304258332
"38",38,38,0.00251592687147974,0.00160688352281801,0.002352120690163,-0.101940295603673
"39",39,39,0.0657595462513192,0.0107071136177204,0.0632229243219136,-0.236909966585907
"40",40,40,0.0896356346691784,0.0108896479415896,0.0943079468055782,0.429059980769019
"41",41,41,0.0368114660940712,0.00504812830523868,0.0383264167042647,0.300101447227745
"42",42,42,0.00966477689186052,0.00202946673903388,0.00995457782820864,0.142796593200674
"43",43,43,0.0128798803244809,0.00223327817715494,0.0133318019282073,0.202357954485605
"44",44,44,0.0036104064467885,0.000920619825262844,0.00343497305360768,-0.190560086114522
