gaugeID,gaugeName,MDF,CV,MDFAnnZer,MDFMDFWet,MDFMDFDry,CVMDFWet,CVMDFDry,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,PS1YrARI,PS2YrARI,PS10YrARI,C_MDFM,M_MDFM,C_MinM,M_MinM,C_MaxM,M_MaxM
138001A,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv],2870.247,5.812,0,1.304481809,0.760678088,1.281,1.592,27.55071149,4.343,2.792,0.919,0.754,0.412,0.088336648,33.545,7.25,0.414,0.343,0.498,0.736333842,0.298565594,1.138,0.986,0.195,0.389,13.43859187,31.17609913,89.61026908,0.069,0.096,0.037,0.107,0.251,0.084
138002C,138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv],144.901,8.805,77.958,1.328569161,0.777972547,1.304,2.224,60.0950097,4.214,2.333,1.069,0.641,0.377,0.069820084,55.932,5.667,0.4,0.692,1.059,2.617324932,1.151185982,1.29,1.971,0.13,0.699,18.29903175,70.21142711,210.4581611,0.153,0.085,0.086,0.092,0.402,0.054
138003D,138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv],50.604,11.051,25.2,1.302327879,0.802980002,1.425,2.202,69.12819145,3.581,2.15,1.011,1.092,0.375,0.061477354,49.925,6.1,0.489,0.755,0.683,1.952454351,0.771381709,1.514,1.961,0.134,0.527,14.27025532,60.64083867,258.6413525,0.121,0.098,0.041,0.122,0.4,0.056
138004AB,138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv],325.804,6.995,30.083,1.526003364,0.635817854,1.469,1.922,43.2291746,4.309,2.292,0.821,0.667,0.432,0.053559809,39.681,7.708,0.301,0.448,0.519,1.267311021,0.587083032,1.076,1.032,0.105,0.605,15.8459626,52.84978085,142.1069263,0.124,0.085,0.061,0.113,0.489,0.051
138102C,138102C [138102C_amamoor.csv],100.563,12.089,3.714,1.43201774,0.704990901,1.406,2.031,76.05007806,3.464,2,1.018,0.964,0.361,0.063780913,44.059,6.929,0.364,0.511,0.808,1.714855364,0.885256009,1.429,1.891,0.11,0.616,15.43751678,73.21482056,317.498573,0.15,0.151,0.05,0.17,0.453,0.096
138104a,138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv],216.042,4.376,8,1.270817711,0.781491562,1.018,0.908,28.05205932,4.246,2.542,0.99,0.563,0.474,0.086858111,22.626,7.083,0.367,0.426,0.604,0.612130975,0.321011655,1.153,1.169,0.284,0.272,13.46303034,29.82515437,78.54423677,0.081,0.124,0.065,0.107,0.212,0.097
138107AB,138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv],212.791,5.353,14,1.246753857,0.774614528,1.084,1.183,30.9023126,3.512,3.417,0.832,0.794,0.275,0.072874323,40.222,6.417,0.348,0.433,0.792,1.423471857,0.723902797,1.049,1.047,0.177,0.274,20.53849552,62.33006565,126.0008459,0.064,0.103,0.006,0.113,0.331,0.085
138111A,138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv],708.688,6.488,8.292,1.284579392,0.777498702,1.157,1.342,40.16091143,3.879,2.417,0.885,0.848,0.326,0.09226345,31.259,6.5,0.377,0.488,0.649,1.399306888,0.554043528,1.256,1.105,0.236,0.368,12.94893098,46.2543644,157.6538251,0.071,0.103,0.034,0.113,0.211,0.068
138119B,138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv],30.863,1.391,120.214,1.013705732,0.943783819,0.811,0.723,7.274276642,11,0.714,2.01,0.218,0.513,0.023685319,35.357,4.214,0.672,1.017,0.593,0.228558468,0.251822571,0.691,0.526,0.37,0.355,3.833003921,5.980202832,8.841817063,0.121,0.148,0.176,0.135,0.346,0.119
138903A,138903A [138903A_tinana.csv],464.261,5.877,0.5,1.284501606,0.827581899,1.621,1.42,29.85421778,4.953,2.389,1.008,0.767,0.343,0.077025639,43.633,6.222,0.413,0.416,0.643,0.834390569,0.382763144,1.114,1.054,0.162,0.492,21.43146204,32.09525461,81.05535464,0.083,0.13,0.021,0.133,0.299,0.1
141008A,141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv],92.962,5.269,28.059,1.11706934,0.796852477,0.989,0.966,38.76859362,3.857,2.471,0.933,0.538,0.309,0.066048493,31.67,7.176,0.368,0.46,0.481,1.172500592,0.557077085,0.954,0.885,0.193,0.31,24.9659108,59.39486027,109.9371248,0.062,0.143,0.038,0.156,0.349,0.139
141009A,141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv],63.355,5.553,7.941,1.304506353,0.762102439,0.822,0.939,32.04166996,3,3.706,0.703,0.605,0.194,0.06671928,20.681,12,0.257,0.357,0.3,1.681524742,0.870491674,0.724,0.927,0.13,0.294,34.04424276,65.1873096,112.6355615,0.045,0.138,0.019,0.126,0.414,0.102
143112A,143112A [reynolds_short.csv],99.23,2.776,3.1,1.024659881,2.649299607,0.746,0.57,26.50306359,7.7,1,1.183,0.658,0.479,0.048654641,9.143,6.5,0.426,0.424,0.611,0.336964628,0.139544493,1.466,0.613,0.413,0.322,2.807739595,15.51001713,51.97109745,0.312,0.163,0.357,0.128,0.304,0.114
143303A,143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv],165.11,5.046,0.125,1.254497002,0.792289988,0.926,1,34.78908001,3.386,2.917,0.862,0.645,0.33,0.100775241,24.693,8.167,0.391,0.335,0.549,1.509533039,0.558076434,1.017,0.697,0.249,0.294,23.22480165,59.96034765,99.05092968,0.069,0.117,0.053,0.121,0.206,0.103
145011A,145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv],38.064,6.744,28.667,1.371138083,0.744193989,1.355,1.394,44.26379256,3.246,2.875,0.877,0.728,0.299,0.084252837,35.325,7.292,0.387,0.486,0.666,1.86409731,0.814181379,0.997,1.234,0.171,0.441,38.02325032,73.09946406,155.9869693,0.056,0.097,0.008,0.135,0.279,0.064
145018A,145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv],36.329,4.621,11.318,0.857937185,1.01783699,0.659,1.436,32.99050345,3.917,2.727,0.858,0.609,0.424,0.075917311,28.21,8,0.44,0.45,0.589,1.391037463,0.560791654,0.825,1.063,0.218,0.354,25.73230752,49.35335407,92.37551268,0.052,0.092,0.013,0.11,0.266,0.075
145020A,145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv],235.764,4.858,0,1.277705672,0.813987717,1.115,1.171,39.36662934,4.345,2.292,0.831,0.764,0.485,0.105028758,13.06,12.083,0.373,0.15,0.341,0.964472948,0.469634889,1.059,1.166,0.252,0.447,28.91036375,58.4909104,113.1741614,0.2,0.101,0.174,0.092,0.302,0.053
145099A,145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv],45.552,2.879,0.417,1.116328591,0.932714261,1.425,0.925,17.9262601,6.974,1.625,1.801,0.436,0.531,0.057845978,14.866,9.25,0.351,0.375,0.635,0.688114682,0.65882947,2.122,2.231,0.288,0.361,8.614616263,20.30843871,36.33741658,0.148,0.1,0.211,0.073,0.309,0.069
145002B,146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv],109.302,7.412,17.556,0.673656475,1.014629193,0.891,1.715,35.42307552,7,1.556,1.055,1.563,0.868,0.063008911,21.137,11.222,0.237,0.642,0.556,0.598296463,0.214177234,0.967,0.84,0.154,0.617,17.45068709,27.51630345,89.6632541,0.121,0.171,0.079,0.248,0.386,0.132
146010A,146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv],91.971,5.662,10.333,1.109349686,0.93587109,0.879,1.176,44.29052636,3.96,2.083,0.875,0.64,0.291,0.079590306,20.566,8.625,0.39,0.379,0.445,0.955322874,0.424242424,0.904,0.997,0.228,0.33,20.02228963,57.47830294,133.077644,0.09,0.106,0.071,0.104,0.249,0.103
146012A,146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv],55.382,3.417,0,1.041945036,0.579213463,0.585,0.714,22.5173161,3.806,3.1,0.769,0.663,0.357,0.086941606,19.437,9.5,0.317,0.274,0.347,1.233379076,0.531797335,0.717,0.869,0.252,0.299,18.00588639,37.62632263,66.03833375,0.081,0.248,0.074,0.293,0.213,0.176
145012A,145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv],145.426,8.298,58.542,1.293131902,0.811471126,1.345,1.548,53.39270832,3.639,2.542,0.827,0.906,0.274,0.056805523,41.411,7.125,0.376,0.633,0.581,2.16050775,0.714514598,0.991,1.323,0.11,0.581,25.93396642,76.2219273,206.184465,0.108,0.096,0.055,0.114,0.436,0.052
