"","site","mean","sd","FRic.orig","FRic.SES"
"1",1,0.0419558343766341,0.00935278641865242,0.0378043528968763,-0.443876433602546
"2",2,0.00285686077465968,0.00149300960266545,0.00247672081702058,-0.254613203398317
"3",3,0.00991548374294377,0.00412429089195881,0.00920736240233112,-0.171695294818626
"4",4,0.0564170335192134,0.00694587009854432,0.0555810010397609,-0.120363967018002
"5",5,0.0176697106396173,0.00816384863782701,0.0165606287212365,-0.135852827212145
"6",6,0.0967101182349472,0.00938864767764311,0.097180385043504,0.0500888759173095
"7",7,0.000118262446425524,5.58036918195964e-05,0.000116714776292162,-0.0277341889558998
"8",8,0.0701226353254818,0.0094824811529345,0.0719159437375102,0.189118057089254
"9",9,0.144943586922739,0.01431595421652,0.141844013265045,-0.216511844814207
"10",10,0.129835486458154,0.0112193928655685,0.130273536018035,0.0390439629960214
"11",11,0.120229234982347,0.0147823041619231,0.114425001605661,-0.392647405513218
"12",12,0.123222937296541,0.017511919197869,0.118801706020189,-0.252469830770468
"13",13,0.0285916286353389,0.00658990204170025,0.0279672479686271,-0.0947480953071584
"14",14,0.0409972444324364,0.00686808830531054,0.039835405368199,-0.169164840722715
"15",15,0.0838317046024655,0.0112056088888606,0.0791995404070661,-0.413379071261737
"16",16,0.0798050629662136,0.00973313308004573,0.0760961296659642,-0.381062631091852
"17",17,0.109430699901972,0.0106118647340035,0.110168674740537,0.069542427939248
"18",18,0.150943737100228,0.0167679686434733,0.148997521634127,-0.11606745620073
"19",19,0.157679144367997,0.0162235903298607,0.158427726766295,0.0461415989357392
"20",20,0.0604177109847423,0.00784735747788717,0.0613490239121388,0.118678539880572
"21",21,0.0247894136164291,0.00586743005710468,0.0245217344426805,-0.0456211955052519
"22",22,0.170240881588851,0.0178668707351219,0.165702786696704,-0.253994947376349
"23",23,0.132746810165582,0.0136835651343636,0.131358513433472,-0.101457238554307
"24",24,0.0279949515945994,0.00412064676951358,0.0275922446360439,-0.0977290656250651
"25",25,0.2328309011477,0.0189237383172335,0.240057025777524,0.38185502825535
"26",26,0.0925298984127482,0.0233714152054522,0.0789091348158319,-0.582795841722876
"27",27,0.0533012226818699,0.00760026753944827,0.0569550336720661,0.480747680424599
"28",28,0.00413821906824366,0.00151510815155588,0.00413579100828221,-0.00160256543993877
"29",29,0.132495136490876,0.0198463001115006,0.121654243259835,-0.54624253236799
"30",30,0.087037053732159,0.0149722994535572,0.0807561194997345,-0.41950364751302
"31",31,0.0541254300894849,0.00756578614232223,0.0550645841312682,0.124131719310669
"32",32,0.0180691565386545,0.00367832991906157,0.0165682200703313,-0.408048353831777
"33",33,0.0785906252686469,0.0114647516344567,0.0797524724121,0.101340803577574
"34",34,0.0676177200757986,0.00772951139862347,0.0696796266678198,0.266757688252893
"35",35,0.0625622006823875,0.0110997842840724,0.0579566110490989,-0.414926048598741
"36",36,0.0129614201977064,0.00353633950832701,0.0112448018596986,-0.48542237926128
"37",37,0.0157501822420313,0.00459989709307212,0.0148892790556756,-0.187157053502833
"38",38,0.00293256488852108,0.00185563148572461,0.00254760319060119,-0.207455898911722
"39",39,0.05214197643275,0.00995217241388958,0.0491661339103519,-0.299014365772531
"40",40,0.0718746338146153,0.010129595989543,0.0743252036456906,0.241921773938968
"41",41,0.0375579275843671,0.00611649195701567,0.0389412325135413,0.226159854193481
"42",42,0.00938649271380517,0.00206671525499896,0.00979742295193554,0.198832537349503
"43",43,0.0133858350897029,0.00266179691102353,0.01342585718124,0.0150357419724018
"44",44,0.0033006891789228,0.000936715921974459,0.0031669689545635,-0.142754298525682
