Taxon,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
Endiandra.sieberi,5,15.355,30,1758.5,9.269558769,0.6325
Endiandra.virens,NA,16.625,10,NA,NA,NA
Erythrina.species..croftby.,NA,31.85,30,62.832,NA,0.215
Eugenia.uniflora,7,9.14375,8,258.292,NA,0.7568
Eupomatia.bennettii,3,47.819,2,NA,NA,NA
Eupomatia.laurina,3,36.09833333,15,13.42415737,14.64945042,0.509
Euroschinus.falcatus,NA,24.60142857,30,7.62,13.67119797,0.4225
Ficus.coronata,12,31.51154762,20,0.445,16.77467948,0.438253
Ficus.fraseri,NA,37.74314286,35,0.23,15.20347059,0.443
Ficus.obliqua,NA,19.39966667,50,0.44,13.21003963,0.513
Ficus.opposita,NA,40.62933333,10,0.8725,8.274036075,0.44
Ficus.racemosa,NA,62.717,35,0.13,NA,0.37
Ficus.virens,NA,46.288,40,0.25,NA,0.342
Ficus.watkinsiana,NA,60.86,40,1.978,NA,0.375
Flagellaria.indica,12,22.38892308,2,33.04033134,18.84589671,NA
Flindersia.schottiana,2,41.68933333,45,53.326,9.532888465,0.584857143
Geitonoplesium.cymosum,6,5.6658125,3,15.32,32.90140926,NA
Glochidion.ferdinandi,12,21.529375,35,2.242338365,14.71389809,0.587793125
Grevillea.robusta,3,43.86746667,35,21.87425633,10.60468018,0.525517021
Guioa.semiglauca,3,14.5305,40,42.63766667,12.3810054,0.7161
Helicia.glabriflora,NA,27.47666667,30,152.7,8.400537634,0.5762
Hibiscus.heterophyllus,NA,96.25,8,12.552,NA,NA
Hicksbeachia.pinnatifolia,3,41.33,NA,NA,NA,NA
Hippocratea.barbata,2,13.1896,1.3,41.5,26.60299833,NA
Hodgkinsonia.ovatiflora,3,10.25,35,NA,NA,0.8256
Hymenosporum.flavum,3,29.57566667,28,6.745120843,14.71574702,0.5885
Ipomoea.cairica,3,NA,NA,24.851,NA,NA
Ixora.beckleri,4,29.2125,15,NA,NA,0.8256
Jacaranda.mimosifolia,NA,NA,NA,11.7,NA,NA
Jagera.pseudorhus,3,5.522,15,37.25315709,22.29868475,0.653
Lantana.camara,2,28.59416667,4,19.0005,23.70912845,NA
Legnephora.moorei,3,130.847,NA,36,27.15177844,NA
Lepiderema.pulchella,2,6.431,15,NA,NA,NA
Leucaena.leucocephala,3,0.21175,8,48,NA,0.76
Ligustrum.lucidum,6,29.48565,4.5,22.793,13.21167898,0.57942
Ligustrum.sinense,5,3.6995,3,16.82566667,9.712397385,0.612
Lomandra.hystrix,6,85.25,1.3,13.92,NA,NA
Lomandra.longifolia,5,39.68233333,1,11.33,5.078207361,NA
Lomandra.sp,5,39.68233333,1,11.33,5.078207361,NA
Lophostemon.confertus,3,33.682,40,6.500124679,NA,0.7328
Lophostemon.suaveolens,3,35.58114286,30,0.565,9.421189438,0.613878132
Macadamia.tetraphylla,3,43.845,18,NA,6.254,NA
