"","site","mean","sd","FRic.orig","FRic.SES"
"1",1,0.0805343014690655,0.0105551894148013,0.0782993905621827,-0.211735746186501
"2",2,0.0158733133893669,0.0050963603731094,0.0149813969175291,-0.175010479349903
"3",3,0.0394228903780755,0.010390469840444,0.0405613230183686,0.109565078170174
"4",4,0.0619595189940789,0.00906286196780035,0.0608229805401996,-0.125406130857703
"5",5,0.0219602655424183,0.00791316138247788,0.0215659908396893,-0.0498251815768584
"6",6,0.0602796413366834,0.00943045570087749,0.0583495676971994,-0.204663878470311
"7",7,9.56180353868398e-05,0.000136175558712084,6.92924685419566e-05,-0.193320791879719
"8",8,0.0773715066580502,0.0107293460190227,0.0786808586598488,0.122034651457524
"9",9,0.155234773027392,0.014690400437568,0.15391984543966,-0.0895093087026659
"10",10,0.129926787582875,0.0116365543515036,0.129902910568821,-0.00205189726554667
"11",11,0.121700914828052,0.0165856976134248,0.115589431915787,-0.368479098962886
"12",12,0.139750681373709,0.0183128924241744,0.135449272572172,-0.234884184426164
"13",13,0.0300491761809218,0.00624813625206502,0.0289459672157582,-0.176566086374795
"14",14,0.0443569979386948,0.0089270413043131,0.0428452291620618,-0.169347124662973
"15",15,0.055988838720838,0.00869385058792339,0.0512763288566635,-0.542050937788223
"16",16,0.0846854562391491,0.0121515911507409,0.0816180195398208,-0.252430867799671
"17",17,0.0850346048991685,0.0101186027700974,0.0855742714156573,0.0533340945138851
"18",18,0.176360903393602,0.0200759442634215,0.176378986580876,0.000900739065462673
"19",19,0.182576402795292,0.0178062171309901,0.18334107183993,0.0429439357620635
"20",20,0.0521265729014863,0.00786052553198543,0.0530169759020777,0.113275250740961
"21",21,0.0535719707457935,0.00897361650796645,0.0569224963276799,0.373375169187573
"22",22,0.169308639335601,0.0189900772704489,0.163760091631309,-0.292181417972771
"23",23,0.125293949559073,0.0146910067691214,0.122370830734723,-0.198973349498004
"24",24,0.0327827375589752,0.00652740149268464,0.0316053238489335,-0.18038015761115
"25",25,0.177086363672422,0.0182816602099159,0.179771736170757,0.146888874834154
"26",26,0.151188595007734,0.0226049041550205,0.144686876947113,-0.28762422596588
"27",27,0.0405188493427825,0.00689158861690039,0.0419588793089356,0.208954719470879
"28",28,0.00778708509852431,0.00291039316637745,0.0080996563722787,0.107398298403597
"29",29,0.215024863027051,0.026835108124556,0.206763797483398,-0.307845435364368
"30",30,0.138188155362701,0.0195401865067212,0.134481124807597,-0.189713161326756
"31",31,0.0620196232210517,0.0089277943627937,0.0626733791513352,0.0732270372409116
"32",32,0.0212366653849895,0.00507857734757376,0.0205378439056159,-0.137601818687965
"33",33,0.059778748149383,0.00978438426089896,0.0588601384373046,-0.0938852857352896
"34",34,0.0722657035702897,0.00953546292954426,0.0741094320302444,0.193354897772407
"35",35,0.086894001657424,0.0139255449279064,0.083304112020786,-0.257791681059749
"36",36,0.0331290190208181,0.00669661434613933,0.0311301644507969,-0.29848733504769
"37",37,0.0288692483765046,0.0058233946160302,0.0283140330267606,-0.0953422164137089
"38",38,0.00238195439602713,0.00185909252511653,0.00197386822842089,-0.219508261204302
"39",39,0.0767614477283345,0.0117714667299836,0.073654171060613,-0.263966822401736
"40",40,0.0884240239684088,0.0123313016427395,0.0889865726016814,0.0456195663337686
"41",41,0.0471110768172627,0.00887254534698686,0.0493364897812405,0.250820128491482
"42",42,0.0122533095328318,0.00505413085139823,0.0115101832524004,-0.147033446952759
"43",43,0.00836818134435546,0.00173348665901624,0.00812270567384911,-0.141608052897074
"44",44,0.00694512423510717,0.00156457382068303,0.00680575667998706,-0.089077008241943
