"","X.1","X","site","clim_pdry","clim_psea","clim_pwet","clim_tcld","clim_tsea","clim_twrm","soil_der","soil_nto","soil_phc","soil_pto","soil_soc","CV.x","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","BFI.x","CVAnnBFI.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","FDis","FDiv","FRic","FEve","nbsp","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","BFI.y","CVAnnBFI.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","production_natural_w","production_dryland_w","intensive_w","conservation_w","production_irrigated_w","replicate","FDiS","richness.stand"
"11",11,11,15,142.9963226,47.66791153,514.1046143,15.2034359,371.7948914,24.44318962,9.086792946,0.249562219,4.876652241,0.061960746,3.182640553,5.348,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,0.922,0.35,0.080519335,37.181,0.574,0.744,0.179,0.3,0.006,0.103,0.32,0.061,0.112021518,0.211436404180931,0.738514293421525,0.0837485015374596,0.516745896669211,39,0.135714285714286,0.0118978377613728,1.115346199,1.156356144,3.178487237,2.286650076,0.534902906,5.23107942,-0.102932935,-0.031544497,0.131533483,-0.094095941,-0.065088757,-0.111920382,0.049259681,0.154911839,0.52,0.289610581,-0.418502312,-0.143187067,-0.053030303,0.288135593,0.138686131,7.833333333,-0.008849558,-0.274924471,-0.047058824,0.32,0.01,0.51,0.14,0.01,1,0.209073770784837,0.114634146341463
"12",12,12,16,153.9534302,47.6153717,547.5517578,15.66578484,371.5868225,24.90232086,11.80940914,0.216775209,4.842906475,0.065082565,3.360384941,5.348,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,0.922,0.35,0.080519335,37.181,0.574,0.744,0.179,0.3,0.006,0.103,0.32,0.061,0.112021518,0.232125045959812,0.900888925185489,0.087842480661404,0.550474241747477,34,0.107142857142857,0.0169339071328159,1.027308244,1.029125405,2.999575666,2.272683627,0.593457814,5.516674517,-0.102932935,-0.031544497,0.131533483,-0.094095941,-0.065088757,-0.111920382,0.049259681,0.154911839,0.52,0.289610581,-0.418502312,-0.143187067,-0.053030303,0.288135593,0.138686131,7.833333333,-0.008849558,-0.274924471,-0.047058824,0.48,0.04,0.35,0.11,0.01,2,0.217632621878732,0.0850599781897492
"13",13,13,17,110.6557007,46.64665604,393.8253784,15.00520515,408.7309265,25.15003967,5.678670883,0.186816216,5.155008316,0.029275855,2.661882162,11.56,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,1.08,0.472,0.084747847,42.371,0.67,0.719,0.141,0.566,0.049,0.077,0.38,0.047,0.157410179,0.234794856723532,0.868803865077809,0.127754539264495,0.619224138866112,29,0.166987797045601,0.216648267768611,1.065006915,0.79777275,3.3596815,2.23099927,0.646688648,4.680236491,-0.18043616,0.013119905,-0.002648217,-0.115789474,-0.112624886,-0.167198682,0.006422787,-0.067765568,0.005333333,0.359352665,-0.532658988,-0.471523179,0.002928258,0.492537313,-0.165085389,0.073170732,-0.204918033,-0.305,0.017857143,0.71,0.05,0.08,0.1,0.02,1,0.225647953103244,0.134874759152216
"14",14,14,18,180.3746948,44.97273636,615.5736084,15.41865253,367.1764221,24.55631447,12.90537262,0.172786817,4.726504803,0.019722953,3.451344013,5.269,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,0.726,0.347,0.068165793,28.283,0.421,0.455,0.196,0.321,0.02,0.096,0.33,0.088,0.087852935,0.21410193322093,0.920774710262004,0.152877240034078,0.608524246361746,41,0.172995780590717,0.0492160007188532,1.07378825,1.058450322,3.198868352,2.346428459,0.641678353,5.649674082,0.013664832,0.0777102,0.087842677,-0.01718908,0.069358178,-0.154099384,0.02514908,0.544609665,-0.006472492,0.027335158,-0.022576571,-0.269565217,-0.172557173,0.010362694,-0.148387097,-0.394736842,-0.173076923,-0.111747851,-0.237410072,0.19,0.22,0.17,0.38,0.02,1,0.213709499231318,0.157524613220816
"15",15,15,19,175.6973877,46.1240921,621.8434448,15.39517403,369.0868225,24.58233643,13.38751698,0.144575834,4.624115467,0.027085761,2.878742695,5.269,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,0.726,0.347,0.068165793,28.283,0.421,0.455,0.196,0.321,0.02,0.096,0.33,0.088,0.087852935,0.205873706411877,0.836504717203102,0.186307870562666,0.499193306376068,44,0.186406186406186,0.0107361355850102,1.112692928,1.626014549,3.841714782,2.129671717,0.579242321,5.375688102,0.013664832,0.0777102,0.087842677,-0.01718908,0.069358178,-0.154099384,0.02514908,0.544609665,-0.006472492,0.027335158,-0.022576571,-0.269565217,-0.172557173,0.010362694,-0.148387097,-0.394736842,-0.173076923,-0.111747851,-0.237410072,0.26,0.06,0.28,0.37,0.03,2,0.207047870861343,0.146520146520147
"16",16,16,20,92.41080475,50.12212753,362.3360596,13.05895615,455.1161194,24.36642075,0.008299958,0.156151399,5.367919445,0.038722668,3.341474533,2.776,1.788763479,1.139836743,0,0,26.50306359,7.7,0.658,0.479,0.062027613,7.951,0.45,0.654,0.413,0.322,0.357,0.128,0.304,0.114,0.379947512,0.223057185370335,0.92411659913816,0.0580181022849514,0.541857647988124,22,0.045045045045045,0.245893959831246,1.118693373,0.755446709,3.162808655,2.251367171,0.590689888,4.716160589,0.792507205,0.005269152,-0.604849124,0.257372654,0.866666667,0.4473152,-0.553506494,-0.402735562,0.392484342,-0.455076958,-0.448539867,-0.141509434,-0.617021277,-0.607748184,0.074534161,-0.299719888,0.3671875,2.072368421,-0.763157895,0.72,0,0.04,0.18,0,1,0.218823503562145,0.0388080388080388
"17",17,17,21,90.99304962,50.21345901,359.0811462,13.24980164,457.2368774,24.60858345,7.708849907,0.15448001,5.197907925,0.07580734,2.956904411,2.776,1.788763479,1.139836743,0,0,26.50306359,7.7,0.658,0.479,0.062027613,7.951,0.45,0.654,0.413,0.322,0.357,0.128,0.304,0.114,0.379947512,0.200681790725816,0.880126524796889,0.0174234740421804,0.563160954315369,17,0.0676500508646999,0.476297968397291,1.090101078,0.639010062,3.969645897,2.126072158,0.758769428,3.370646134,0.792507205,0.005269152,-0.604849124,0.257372654,0.866666667,0.4473152,-0.553506494,-0.402735562,0.392484342,-0.455076958,-0.448539867,-0.141509434,-0.617021277,-0.607748184,0.074534161,-0.299719888,0.3671875,2.072368421,-0.763157895,0.75,0,0.03,0.14,0.04,2,0.232479475867169,0.0427263479145473
"18",18,18,22,120.2618484,47.60472488,444.0291443,14.92751408,397.6425781,24.79585266,5.24861908,0.199940905,4.925070286,0.044705488,3.224890947,12.678,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,1.163,0.401,0.084922263,42.049,0.491,0.76,0.12,0.567,0.033,0.097,0.402,0.055,0.139512725,0.204565843309213,0.836893411939605,0.185100703089416,0.598546928965773,52,0.20653685674548,0.00520185367814494,1.124079008,1.531369335,3.753878392,1.987139132,0.636512982,4.978579461,-0.105219621,-0.102013726,0.156181438,0.027738265,-0.010339734,-0.192409665,0.054849885,0.041493776,0.454293629,-0.05633386,-0.143761774,0.168297456,-0.257425743,0.281818182,-0.201298701,-0.64,-0.288235294,-0.079470199,-0.53125,0.69,0.24,0,0.07,0,2,0.188686301180305,0.175243393602225
"19",19,19,23,108.7124939,46.45315552,385.0382385,15.26831341,409.4788818,25.43223381,5.378195286,0.189166054,5.128108501,0.029219031,2.74611187,11.56,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,1.08,0.472,0.084747847,42.371,0.67,0.719,0.141,0.566,0.049,0.077,0.38,0.047,0.157410179,0.182385272995636,0.800536185130222,0.148588429979829,0.50123023672012,39,0.138178555406012,0.396861488664449,1.151173862,1.550526633,4.422145492,2.081011172,0.6620225,4.503787806,-0.18043616,0.013119905,-0.002648217,-0.115789474,-0.112624886,-0.167198682,0.006422787,-0.067765568,0.005333333,0.359352665,-0.532658988,-0.471523179,0.002928258,0.492537313,-0.165085389,0.073170732,-0.204918033,-0.305,0.017857143,0.76,0.05,0.05,0.11,0.01,2,0.193616621959545,0.115746971736205
"20",20,20,24,133.8505707,47.14621735,485.6012573,15.06855774,383.6312866,24.59764099,2.028835058,0.248414099,4.832206726,0.058920935,3.257363796,6.586,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,0.829,0.383,0.099014393,30.881,0.494,0.605,0.241,0.363,0.028,0.081,0.221,0.062,0.072890363,0.171985893050489,0.835285282663692,0.0395496056483215,0.470365800527345,22,0.0952380952380952,0.117629944026613,1.195847079,1.806773186,4.64799652,2.432673259,0.562416218,5.294470179,-0.102342787,-0.047277404,0.091522657,0.002592913,-0.023099851,-0.090486745,0.031193607,0.041273585,0.101226994,0.131792319,-0.090246009,-0.342213115,-0.129429892,0.101694915,-0.024456522,1.676470588,0.026548673,0.047393365,0.308823529,0.32,0.01,0.21,0.44,0,2,0.216079080621489,0.0553709856035437
"21",21,21,25,124.3870544,44.85270691,441.6426392,13.63237,404.3740234,23.6688118,5.548941612,0.234210834,4.992982864,0.048109736,3.5434618,6.033,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,0.85,0.407,0.092796227,19.2,0.348,0.474,0.228,0.341,0.063,0.084,0.25,0.08,0.03225678,0.225022005248989,0.804641062316409,0.216727845006581,0.728778494042361,39,0.0923566878980892,0.102613482996799,1.198630596,1.166587766,3.487575117,2.601388685,0.60125659,4.769917254,-0.019074532,-0.035567244,0.002407439,-0.007963595,-0.003401361,-0.033443833,-0.00530303,-0.06875,0.054982818,0.033429134,-0.054556063,-0.142480211,-0.137078652,0.026315789,-0.021212121,0.267605634,-0.038461538,-0.064257028,0.019417476,0.83,0.04,0.04,0.1,0,2,0.226554317282697,0.0732484076433121
"22",22,22,26,138.9720001,48.35898972,531.1469116,14.74308586,378.7570801,24.17473793,6.703179359,0.277863413,4.742794991,0.047706813,3.8700881,4.938,1.281970831,0.800105029,0.902,1,34.02541314,3.404,0.675,0.384,0.105727429,22.099,0.753,0.881,0.26,0.27,0.064,0.095,0.198,0.077,0.044342519,0.154467324474365,0.679605732166505,0.0751579211593131,0.602321087647215,49,0.203344120819849,0.0476808937325263,1.165187807,1.88519436,4.371859294,1.962734445,0.579752305,5.479904747,0.018034086,-0.013989667,0.006700554,0.012958963,-0.026,0.045653531,-0.034554046,0.035658915,-0.3,0.058038482,-0.07127526,-0.011940299,0.014571949,0.044176707,0.017006803,0.188679245,-0.066115702,0.004854369,-0.029126214,0.59,0.08,0.23,0.06,0.03,2,0.187011517137377,0.0954692556634304
"23",23,23,27,96.72099304,48.70245743,357.2359314,12.794487,450.627533,23.99592972,12.53192806,0.164184108,5.369582653,0.064348981,3.002785206,2.975,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.177,0.062,0.316,0.057,0.211616851,0.226881489420082,0.904397646498199,0.0554005508696822,0.494280511897508,17,0.045131845841785,0.191575340799186,1.09429045,0.255456065,2.990309862,2.196201027,0.698171069,3.472500903,0.518582841,0.055384029,-0.081883725,-0.441403509,0.140540541,0.346410995,-0.36535704,0.561926606,-0.177024482,0.40326069,0.762276335,-0.226666667,-0.385826772,-0.322916667,-0.180055402,-0.720379147,0.876712329,-0.077669903,0.68115942,0.44,0,0.25,0.24,0,1,0.238252027882445,0.0202839756592292
"24",24,24,28,96.59196472,48.76673889,357.1707458,12.84397888,450.1040344,24.03188324,6.38536644,0.20807229,5.620397568,0.063536696,3.169724464,2.975,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.177,0.062,0.316,0.057,0.211616851,0.158901379827137,0.872273272640503,0.00434992929788492,0.497547173857702,12,0.0307017543859649,0.273247114286017,1.213440732,3.101529662,5.078944583,2.052923949,0.606394022,5.360221682,0.518582841,0.055384029,-0.081883725,-0.441403509,0.140540541,0.346410995,-0.36535704,0.561926606,-0.177024482,0.40326069,0.762276335,-0.226666667,-0.385826772,-0.322916667,-0.180055402,-0.720379147,0.876712329,-0.077669903,0.68115942,0.51,0,0.18,0.23,0.04,2,0.242694399552442,0.0285087719298246
"25",25,25,29,182.3864441,49.57830048,746.788147,14.58577728,368.1811829,23.73807335,0.949811876,0.198651895,4.557004452,0.051866807,5.469777107,3.979,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,0.543,0.31,0.097974917,18.964,0.315,0.531,0.248,0.331,0.051,0.154,0.213,0.094,0.103742363,0.145350272563306,0.666745100294008,0.115036839885997,0.53971144654334,53,0.201136363636364,0.250546472290922,1.124538456,1.459792599,3.98185817,2.167637664,0.609208654,4.687876773,0.081065262,0.124524272,0.452277876,0.235897436,0.113445378,0.153907106,-0.078560168,-0.033182504,-0.036414566,-0.016979995,-0.069712404,0.390510949,0.155619597,0.063492063,0.006688963,0.081081081,-0.587030717,-0.023474178,-0.318181818,0.83,0,0,0.17,0,1,0.179610584815717,0.145454545454545
"26",26,26,30,178.168335,47.14861298,678.9696045,14.23756695,357.7488403,23.13147545,2.835472107,0.192815363,4.608438492,0.058842644,4.636009216,3.979,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,0.543,0.31,0.097974917,18.964,0.315,0.531,0.248,0.331,0.051,0.154,0.213,0.094,0.103742363,0.205999200236429,0.891448860485243,0.081804110841141,0.60809316651541,38,0.287755102040816,0.0293214862681745,1.119473958,1.721621612,4.12765432,2.042422612,0.588453001,7.072844096,0.081065262,0.124524272,0.452277876,0.235897436,0.113445378,0.153907106,-0.078560168,-0.033182504,-0.036414566,-0.016979995,-0.069712404,0.390510949,0.155619597,0.063492063,0.006688963,0.081081081,-0.587030717,-0.023474178,-0.318181818,0.88,0,0,0.12,0,2,0.196217891743129,0.195918367346939
"27",27,27,31,104.8832703,46.1077919,359.6753845,15.52523422,414.8168335,25.8211174,3.837403059,0.167249128,5.192152023,0.03850754,3.189157724,9.583,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,0.813,0.547,0.073068121,57.578,0.773,0.955,0.123,0.799,0.121,0.068,0.457,0.042,0.182718591,0.224202851707578,0.915781526704048,0.0667848102131903,0.626593779102854,22,0.0806629834254144,0.582416906845231,1.188735231,0.940376424,3.285508232,2.189653299,0.615829791,4.287671536,-0.005678592,-0.048052935,0.065978314,-0.024539877,-0.098920863,-0.052205688,-0.059800664,0.390015601,0.275862069,0.28653317,-0.282485876,-0.213872832,0.246458924,0.453846154,-0.108726753,-0.662790698,0.065217391,-0.189054726,-0.166666667,0.85,0,0.02,0.07,0.04,1,0.219295230624529,0.0530386740331492
"28",28,28,32,105.2748108,46.11059952,359.6354675,15.45806599,415.869751,25.77962494,3.663620472,0.165497899,5.533581257,0.052234191,2.965215921,9.583,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,0.813,0.547,0.073068121,57.578,0.773,0.955,0.123,0.799,0.121,0.068,0.457,0.042,0.182718591,0.17747953567712,0.841622577010623,0.0219799286628784,0.495113715133123,16,0.0490291262135922,0.86255583859982,1.04863263,1.346392773,3.470565327,1.980646456,0.742545624,2.293399163,-0.005678592,-0.048052935,0.065978314,-0.024539877,-0.098920863,-0.052205688,-0.059800664,0.390015601,0.275862069,0.28653317,-0.282485876,-0.213872832,0.246458924,0.453846154,-0.108726753,-0.662790698,0.065217391,-0.189054726,-0.166666667,0.81,0,0.02,0.07,0.06,2,0.233982980740288,0.0368932038834951
"29",29,29,33,109.610878,46.89871979,376.1097107,15.45924377,414.7208557,25.75291061,6.105927467,0.14967297,5.232156277,0.039847791,2.410166264,7.339,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,0.811,0.425,0.058321024,40.891,0.519,0.516,0.1,0.632,0.08,0.091,0.497,0.045,0.055746011,0.216494855253277,0.855837027503496,0.0791172554878662,0.587810328516101,25,0.0575825266815587,0.0223887163092591,1.170261498,1.521457121,3.900147227,2.018155963,0.601183543,4.366103095,0,-0.003029094,0.009886212,0.042205582,-0.039021852,0.041703306,-0.020654444,-0.182908546,-0.208333333,-0.058081705,0.047604647,0.220982143,-0.030828516,-0.038095238,0.067768595,-0.032786885,0.123893805,0.00204499,-0.039215686,0.79,0,0.02,0.18,0,1,0.218308459055403,0.0416976917349218
"30",30,30,34,109.610878,46.89871979,376.1097107,15.45924377,414.7208557,25.75291061,5.616991997,0.146004155,5.318706989,0.04654979,2.291818619,7.339,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,0.811,0.425,0.058321024,40.891,0.519,0.516,0.1,0.632,0.08,0.091,0.497,0.045,0.055746011,0.187418371557302,0.8739199928519,0.0812648884371526,0.539856283452586,22,0.0310859063222012,0.079956966265099,1.222486881,1.817391899,4.580138795,2.153827378,0.61680934,3.781384846,0,-0.003029094,0.009886212,0.042205582,-0.039021852,0.041703306,-0.020654444,-0.182908546,-0.208333333,-0.058081705,0.047604647,0.220982143,-0.030828516,-0.038095238,0.067768595,-0.032786885,0.123893805,0.00204499,-0.039215686,0.79,0,0.02,0.18,0,2,0.221364695772536,0.0277252678008822
"31",31,31,35,173.1053314,45.97392654,592.9439087,15.65501595,364.0437317,24.71052933,5.382903576,0.178362012,4.592539787,0.04280049,3.442286491,5.573,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,0.641,0.245,0.078646372,19.354,0.35,0.374,0.137,0.345,0.02,0.103,0.392,0.063,0.073307437,0.196020572375199,0.800227007289601,0.0606421355113508,0.544827865422198,34,0.129429892141757,0.227048778248531,1.183166044,1.57429954,3.594950067,2.273014237,0.558064368,7.186989274,-0.057266343,-0.01406365,0.057105141,-0.03163017,0.019169329,-0.070614531,0.007666667,0.451239669,0.56185567,0.056244986,-0.058991345,-0.117647059,0.13,0.046153846,0.051020408,1.263157895,0.03968254,-0.120772947,0.058823529,0.41,0.11,0.38,0.1,0,1,0.193282579380201,0.117103235747304
