"","X.1","X","site","clim_pdry","clim_psea","clim_pwet","clim_tcld","clim_tsea","clim_twrm","soil_der","soil_nto","soil_phc","soil_pto","soil_soc","CV.x","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","BFI.x","CVAnnBFI.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","FDis","FDiv","FRic","FEve","nbsp","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","BFI.y","CVAnnBFI.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","production_natural_w","production_dryland_w","intensive_w","conservation_w","production_irrigated_w","replicate","FDiS","richness.stand"
"1",1,1,1,118.697998,46.90408707,442.6585693,14.8249712,389.8130493,24.52971649,15.96392727,0.225267485,4.850421906,0.067161635,4.216975212,4.938,1.281970831,0.800105029,0.902,1,34.02541314,3.404,0.675,0.384,0.105727429,22.099,0.753,0.881,0.26,0.27,0.064,0.095,0.198,0.077,0.044342519,0.152529768486083,0.70246036443645,0.047641071253672,0.676635734868465,32,0.0914158305462653,0.0596750241505878,1.186000009,1.589133986,4.451220565,2.292709953,0.597644041,4.734291147,0.018034086,-0.013989667,0.006700554,0.012958963,-0.026,0.045653531,-0.034554046,0.035658915,-0.3,0.058038482,-0.07127526,-0.011940299,0.014571949,0.044176707,0.017006803,0.188679245,-0.066115702,0.004854369,-0.029126214,0.58,0.12,0.21,0.08,0.01,1,0.203215093874267,0.0824972129319955
"2",2,2,4,142.5914917,44.22193527,480.625946,14.70363712,384.7421875,24.25049591,3.583175898,0.174282745,4.612263203,0.044354651,3.385577917,2.975,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.066,0.145,0.329,0.078,0.23025904,0.229045532677235,0.922385733234738,0.0707345173708323,0.586098162966575,26,0.0619183285849953,0.226968726300114,1.144259073,1.025298342,3.303810868,2.586916073,0.575819284,5.651134109,0.048030221,0.9313503,-0.208392441,0.481481481,-0.101457726,0.350856387,-0.5,-0.53103007,-0.671658986,-0.004293758,0.860576241,-0.186915888,0.044964029,-0.24025974,0.021069692,-0.708860759,-0.471774194,0.121761658,-0.621212121,0.32,0,0.09,0.5,0.04,1,0.218341673750466,0.0550807217473884
"3",3,3,5,127.6242981,44.97564697,453.189209,13.58786678,397.3336792,23.45186424,4.248885155,0.206879646,4.835061073,0.044240389,3.460840464,6.033,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,0.85,0.407,0.092796227,19.2,0.348,0.474,0.228,0.341,0.063,0.084,0.25,0.08,0.03225678,0.129814420278968,0.521786555059739,0.00802527448514271,0.665748442055558,15,0.0402414486921529,0.0754987839676196,1.037016881,1.272132871,1.53797095,2.293061707,0.647972478,3.979268098,-0.019074532,-0.035567244,0.002407439,-0.007963595,-0.003401361,-0.033443833,-0.00530303,-0.06875,0.054982818,0.033429134,-0.054556063,-0.142480211,-0.137078652,0.026315789,-0.021212121,0.267605634,-0.038461538,-0.064257028,0.019417476,0.7,0.02,0.04,0.24,0,1,0.24948029645773,0.0382293762575453
"4",4,4,6,144.0125732,43.74140549,476.1430969,14.8046999,381.8599243,24.27853966,5.05502224,0.16823931,4.626170158,0.054521311,3.588429213,2.975,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.066,0.145,0.329,0.078,0.23025904,0.227995051794275,0.887541236631202,0.111745846251156,0.588742538497033,29,0.107023411371237,0.198397777359988,1.183352283,0.953408993,2.902004124,2.499336924,0.530648338,6.000240096,0.048030221,0.9313503,-0.208392441,0.481481481,-0.101457726,0.350856387,-0.5,-0.53103007,-0.671658986,-0.004293758,0.860576241,-0.186915888,0.044964029,-0.24025974,0.021069692,-0.708860759,-0.471774194,0.121761658,-0.621212121,0.28,0,0.13,0.53,0.02,2,0.228922632724563,0.084726867335563
"5",5,5,9,122.2714691,47.68352509,449.5500488,15.22526455,396.1566772,25.05847168,5.216386795,0.210364312,4.973424435,0.046734612,2.84725523,12.678,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,1.163,0.401,0.084922263,42.049,0.491,0.76,0.12,0.567,0.033,0.097,0.402,0.055,0.139512725,0.220674706259289,0.874591188233451,0.184285770380513,0.585543936109202,42,0.187100638977636,0.334377735317905,1.158846889,1.375816439,2.713351477,2.337878186,0.599953643,4.678709648,-0.105219621,-0.102013726,0.156181438,0.027738265,-0.010339734,-0.192409665,0.054849885,0.041493776,0.454293629,-0.05633386,-0.143761774,0.168297456,-0.257425743,0.281818182,-0.201298701,-0.64,-0.288235294,-0.079470199,-0.53125,0.65,0.21,0.04,0.08,0,1,0.223692045801716,0.153354632587859
"6",6,6,10,115.2363205,47.22675705,429.9311218,14.84904575,395.9205933,24.67420006,10.35305309,0.205140367,5.052348614,0.067297325,2.714846611,1.498,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,0.357,0.699,0.023516088,29.977,2.372,0.63,0.357,0.374,0.183,0.095,0.401,0.075,0.472524735,0.219524183166518,0.811934451345176,0.123425922503752,0.556358741327266,32,0.0722801788375559,0.265326781918622,1.206291312,1.220307759,3.499547742,2.464025556,0.56693907,4.633870946,5.434219986,0.211898725,-0.103153691,0.892725031,1.492392808,5.332753476,-0.688545455,3.637614679,-0.319688109,0.577956581,-0.520575841,-0.635201573,-0.200674536,-0.648648649,0.197183099,-0.761363636,-0.296296296,0.924855491,-0.470588235,0.6,0.1,0.07,0.18,0,1,0.228768083125103,0.0521609538002981
"7",7,7,11,117.9629822,46.57189178,427.7681274,14.82857132,402.2951965,24.81098747,4.085037231,0.21017696,5.113440037,0.045529574,2.883789539,1.498,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,0.357,0.699,0.023516088,29.977,2.372,0.63,0.357,0.374,0.183,0.095,0.401,0.075,0.472524735,0.234242939543359,0.880343926909329,0.118885175885658,0.538053486821331,45,0.107177317598159,0.0951621383303593,1.100940175,1.776690098,3.262556288,2.046176619,0.58798565,6.034213827,5.434219986,0.211898725,-0.103153691,0.892725031,1.492392808,5.332753476,-0.688545455,3.637614679,-0.319688109,0.577956581,-0.520575841,-0.635201573,-0.200674536,-0.648648649,0.197183099,-0.761363636,-0.296296296,0.924855491,-0.470588235,0.63,0.05,0,0.26,0,2,0.204731620348265,0.0774883099532398
"8",8,8,12,140.6659698,46.8634491,505.5458374,14.96645164,380.9794922,24.43831825,4.900153637,0.236093491,4.712797642,0.065761514,3.873775005,4.439,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,0.626,0.376,0.078709517,25.015,0.568,0.602,0.297,0.318,0.056,0.084,0.219,0.066,0.043585689,0.167591754651129,0.771105322978755,0.123567184768891,0.522262384942112,41,0.106221792392005,0.0351135544474007,1.152654887,2.015512419,4.504577472,2.014984061,0.597302126,5.097383938,-0.034963437,-0.019082231,0.073116155,0.033398821,-0.023127753,-0.02480447,-0.025435704,0.046181172,0.037974684,0.161798085,-0.024264121,-0.17370892,0.046357616,0.056338028,0.044117647,0.569230769,-0.028037383,-0.047169811,0.051546392,0.16,0.01,0.41,0.37,0,1,0.191618152821406,0.0904255319148936
"9",9,9,13,149.7206421,47.5550766,546.2020874,14.87631035,378.6060181,24.29091644,6.154711723,0.205991253,4.66545105,0.049153753,3.177581787,4.439,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,0.626,0.376,0.078709517,25.015,0.568,0.602,0.297,0.318,0.056,0.084,0.219,0.066,0.043585689,0.160135412011041,0.939050624765584,0.0266429418236827,0.459908876010995,22,0.0703551912568306,0.0907390149478287,1.146962986,0.614287658,2.1657572,2.358019433,0.557941274,8.487896055,-0.034963437,-0.019082231,0.073116155,0.033398821,-0.023127753,-0.02480447,-0.025435704,0.046181172,0.037974684,0.161798085,-0.024264121,-0.17370892,0.046357616,0.056338028,0.044117647,0.569230769,-0.028037383,-0.047169811,0.051546392,0.17,0.01,0.39,0.35,0,2,0.228298915703772,0.0368852459016393
"10",10,10,14,133.2174683,47.16553497,483.5106812,14.51522636,373.4295959,23.79650497,5.148770332,0.236646309,4.984775543,0.060827896,2.565692425,6.586,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,0.829,0.383,0.099014393,30.881,0.494,0.605,0.241,0.363,0.028,0.081,0.221,0.062,0.072890363,0.16915042346734,0.745272098078967,0.0385854067274155,0.490459781683186,25,0.071551724137931,0.0754469669196861,1.186735965,1.363968678,4.384770607,2.493916394,0.554654215,5.135044289,-0.102342787,-0.047277404,0.091522657,0.002592913,-0.023099851,-0.090486745,0.031193607,0.041273585,0.101226994,0.131792319,-0.090246009,-0.342213115,-0.129429892,0.101694915,-0.024456522,1.676470588,0.026548673,0.047393365,0.308823529,0.32,0.01,0.21,0.44,0,1,0.203959536081128,0.0574712643678161
