site,clim_pdry,clim_psea,clim_pwet,clim_tcld,clim_tsea,clim_twrm,soil_der,soil_nto,soil_phc,soil_pto,soil_soc,CV.x,MDFMDFWet.x,MDFMDFDry.x,CVMDFWet.x,CVMDFDry.x,HSPeak.x,HSMeanDur.x,CVAnnHSPeak.x,CVAnnHSMeanDur.x,LSPeak.x,LSMeanDur.x,CVAnnLSPeak.x,CVAnnLSMeanDur.x,BFI.x,CVAnnBFI.x,C_MinM.x,M_MinM.x,C_MaxM.x,M_MaxM.x,regulation,FDis,FDiv,FRic,FEve,nbsp,richness,exotics,SLA,seed.mass,maximum.height,flowering.duration,wood.density,leaf.area,CV.y,MDFMDFWet.y,MDFMDFDry.y,CVMDFWet.y,CVMDFDry.y,HSPeak.y,HSMeanDur.y,CVAnnHSPeak.y,CVAnnHSMeanDur.y,LSPeak.y,LSMeanDur.y,CVAnnLSPeak.y,CVAnnLSMeanDur.y,BFI.y,CVAnnBFI.y,C_MinM.y,M_MinM.y,C_MaxM.y,M_MaxM.y,production_natural_w,production_dryland_w,intensive_w,conservation_w,production_irrigated_w,replicate,richness.stand,FRic.SES,FDis.SES,MDFAnnHSNum.x,CVAnnHSNum.x,MDFAnnLSNum.x,CVAnnLSNum.x,MDFAnnHSNum.y,CVAnnHSNum.y,MDFAnnLSNum.y,CVAnnLSNum.y
15,142.9963226,47.66791153,514.1046143,15.2034359,371.7948914,24.44318962,9.086792946,0.249562219,4.876652241,0.061960746,3.182640553,5.348,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,0.922,0.35,0.080519335,37.181,0.574,0.744,0.179,0.3,0.006,0.103,0.32,0.061,0.112021518,0.211436404,0.738514293,0.083748502,0.516745897,39,0.135714286,0.011897838,1.115346199,1.156356144,3.178487237,2.286650076,0.534902906,5.23107942,0.114743857,0.032571963,-0.116243563,0.103869654,0.069620253,0.126025167,-0.046947083,-0.134133043,-0.342105263,-0.224572119,0.719697294,0.167115903,0.056,-0.223684211,-0.121794872,-0.886792453,0.008928571,0.379166667,0.049382716,0.32,0.01,0.51,0.14,0.01,1,0.114634146,-0.400570081,0.895007887,3.424,0.781,6.848,0.316,0.076559546,0.023370234,-0.293826345,-0.025210084
16,153.9534302,47.6153717,547.5517578,15.66578484,371.5868225,24.90232086,11.80940914,0.216775209,4.842906475,0.065082565,3.360384941,5.348,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,0.922,0.35,0.080519335,37.181,0.574,0.744,0.179,0.3,0.006,0.103,0.32,0.061,0.112021518,0.232125046,0.900888925,0.087842481,0.550474242,34,0.107142857,0.016933907,1.027308244,1.029125405,2.999575666,2.272683627,0.593457814,5.516674517,0.114743857,0.032571963,-0.116243563,0.103869654,0.069620253,0.126025167,-0.046947083,-0.134133043,-0.342105263,-0.224572119,0.719697294,0.167115903,0.056,-0.223684211,-0.121794872,-0.886792453,0.008928571,0.379166667,0.049382716,0.48,0.04,0.35,0.11,0.01,2,0.085059978,-0.096371772,1.753168323,3.424,0.781,6.848,0.316,0.076559546,0.023370234,-0.293826345,-0.025210084
17,110.6557007,46.64665604,393.8253784,15.00520515,408.7309265,25.15003967,5.678670883,0.186816216,5.155008316,0.029275855,2.661882162,11.56,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,1.08,0.472,0.084747847,42.371,0.67,0.719,0.141,0.566,0.049,0.077,0.38,0.047,0.157410179,0.234794857,0.868803865,0.127754539,0.619224139,29,0.166987797,0.216648268,1.065006915,0.79777275,3.3596815,2.23099927,0.646688648,4.680236491,0.220161201,-0.012950002,0.002655248,0.130952381,0.12691914,0.200766592,-0.006381798,0.072691552,-0.00530504,-0.264355729,1.139765129,0.892230576,-0.002919708,-0.33,0.197727273,-0.068181818,0.257731959,0.438848921,-0.01754386,0.71,0.05,0.08,0.1,0.02,1,0.134874759,0.12815477,1.669860641,2.103,0.903,6.966,0.456,-0.066840278,-0.096514745,-0.294960703,-0.14059754
18,180.3746948,44.97273636,615.5736084,15.41865253,367.1764221,24.55631447,12.90537262,0.172786817,4.726504803,0.019722953,3.451344013,5.269,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,0.726,0.347,0.068165793,28.283,0.421,0.455,0.196,0.321,0.02,0.096,0.33,0.088,0.087852935,0.214101933,0.92077471,0.15287724,0.608524246,41,0.172995781,0.049216001,1.07378825,1.058450322,3.198868352,2.346428459,0.641678353,5.649674082,-0.013480622,-0.072106769,-0.080749431,0.017489712,-0.064859632,0.182171973,-0.024532119,-0.352587244,0.006514658,-0.026607829,0.023098046,0.369047619,0.208542714,-0.01025641,0.174242424,0.652173913,0.209302326,0.125806452,0.311320755,0.19,0.22,0.17,0.38,0.02,1,0.157524613,0.007200909,1.0288288,2.385,0.847,7.846,0.34,-0.12561925,0.129539952,-0.051421018,0.139318885
19,175.6973877,46.1240921,621.8434448,15.39517403,369.0868225,24.58233643,13.38751698,0.144575834,4.624115467,0.027085761,2.878742695,5.269,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,0.726,0.347,0.068165793,28.283,0.421,0.455,0.196,0.321,0.02,0.096,0.33,0.088,0.087852935,0.205873706,0.836504717,0.186307871,0.499193306,44,0.186406186,0.010736136,1.112692928,1.626014549,3.841714782,2.129671717,0.579242321,5.375688102,-0.013480622,-0.072106769,-0.080749431,0.017489712,-0.064859632,0.182171973,-0.024532119,-0.352587244,0.006514658,-0.026607829,0.023098046,0.369047619,0.208542714,-0.01025641,0.174242424,0.652173913,0.209302326,0.125806452,0.311320755,0.26,0.06,0.28,0.37,0.03,2,0.146520147,0.231483652,0.740740764,2.385,0.847,7.846,0.34,-0.12561925,0.129539952,-0.051421018,0.139318885
20,92.41080475,50.12212753,362.3360596,13.05895615,455.1161194,24.36642075,0.008299958,0.156151399,5.367919445,0.038722668,3.341474533,2.776,1.788763479,1.139836743,0,0,26.50306359,7.7,0.658,0.479,0.062027613,7.951,0.45,0.654,0.413,0.322,0.357,0.128,0.304,0.114,0.379947512,0.223057185,0.924116599,0.058018102,0.541857648,22,0.045045045,0.24589396,1.118693373,0.755446709,3.162808655,2.251367171,0.590689888,4.716160589,-0.442122186,-0.005241534,1.530678941,-0.204690832,-0.464285714,-0.309065503,1.239674229,0.674300254,-0.28185907,0.835121517,0.813367711,0.164835165,1.611111111,1.549382716,-0.069364162,0.428,-0.268571429,-0.674518201,3.222222222,0.72,0,0.04,0.18,0,1,0.038808039,0.267731419,1.202437789,1,1.183,7.7,0.439,-0.656239257,0.439172749,-0.78783131,0.48951049
21,90.99304962,50.21345901,359.0811462,13.24980164,457.2368774,24.60858345,7.708849907,0.15448001,5.197907925,0.07580734,2.956904411,2.776,1.788763479,1.139836743,0,0,26.50306359,7.7,0.658,0.479,0.062027613,7.951,0.45,0.654,0.413,0.322,0.357,0.128,0.304,0.114,0.379947512,0.200681791,0.880126525,0.017423474,0.563160954,17,0.067650051,0.476297968,1.090101078,0.639010062,3.969645897,2.126072158,0.758769428,3.370646134,-0.442122186,-0.005241534,1.530678941,-0.204690832,-0.464285714,-0.309065503,1.239674229,0.674300254,-0.28185907,0.835121517,0.813367711,0.164835165,1.611111111,1.549382716,-0.069364162,0.428,-0.268571429,-0.674518201,3.222222222,0.75,0,0.03,0.14,0.04,2,0.042726348,-0.106447112,1.021858328,1,1.183,7.7,0.439,-0.656239257,0.439172749,-0.78783131,0.48951049
22,120.2618484,47.60472488,444.0291443,14.92751408,397.6425781,24.79585266,5.24861908,0.199940905,4.925070286,0.044705488,3.224890947,12.678,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,1.163,0.401,0.084922263,42.049,0.491,0.76,0.12,0.567,0.033,0.097,0.402,0.055,0.139512725,0.204565843,0.836893412,0.185100703,0.598546929,52,0.206536857,0.005201854,1.124079008,1.531369335,3.753878392,1.987139132,0.636512982,4.978579461,0.117592678,0.113602767,-0.135083849,-0.026989619,0.010447761,0.23825157,-0.051997811,-0.039840637,-0.312380952,0.059696811,0.167899271,-0.144053601,0.346666667,-0.219858156,0.25203252,1.777777778,0.404958678,0.086330935,1.133333333,0.69,0.24,0,0.07,0,2,0.175243394,-0.064922962,0.618798781,2.217,0.977,7,0.423,-0.115435648,0.070452156,-0.06805649,0.028248588
23,108.7124939,46.45315552,385.0382385,15.26831341,409.4788818,25.43223381,5.378195286,0.189166054,5.128108501,0.029219031,2.74611187,11.56,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,1.08,0.472,0.084747847,42.371,0.67,0.719,0.141,0.566,0.049,0.077,0.38,0.047,0.157410179,0.182385273,0.800536185,0.14858843,0.501230237,39,0.138178555,0.396861489,1.151173862,1.550526633,4.422145492,2.081011172,0.6620225,4.503787806,0.220161201,-0.012950002,0.002655248,0.130952381,0.12691914,0.200766592,-0.006381798,0.072691552,-0.00530504,-0.264355729,1.139765129,0.892230576,-0.002919708,-0.33,0.197727273,-0.068181818,0.257731959,0.438848921,-0.01754386,0.76,0.05,0.05,0.11,0.01,2,0.115746972,-0.027504283,0.188446512,2.103,0.903,6.966,0.456,-0.066840278,-0.096514745,-0.294960703,-0.14059754
24,133.8505707,47.14621735,485.6012573,15.06855774,383.6312866,24.59764099,2.028835058,0.248414099,4.832206726,0.058920935,3.257363796,6.586,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,0.829,0.383,0.099014393,30.881,0.494,0.605,0.241,0.363,0.028,0.081,0.221,0.062,0.072890363,0.171985893,0.835285283,0.039549606,0.470365801,22,0.095238095,0.117629944,1.195847079,1.806773186,4.64799652,2.432673259,0.562416218,5.294470179,0.114010989,0.049623473,-0.083848609,-0.002586207,0.023646072,0.099489199,-0.03025,-0.039637599,-0.091922006,-0.116445673,0.099198256,0.520249221,0.148672566,-0.092307692,0.025069638,-0.626373626,-0.025862069,-0.045248869,-0.235955056,0.32,0.01,0.21,0.44,0,2,0.055370986,-0.007937761,-0.14975039,2.424,0.868,6.636,0.394,-0.024616626,-0.013377926,0.045520347,-0.035805627
25,124.3870544,44.85270691,441.6426392,13.63237,404.3740234,23.6688118,5.548941612,0.234210834,4.992982864,0.048109736,3.5434618,6.033,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,0.85,0.407,0.092796227,19.2,0.348,0.474,0.228,0.341,0.063,0.084,0.25,0.08,0.03225678,0.225022005,0.804641062,0.216727845,0.728778494,39,0.092356688,0.102613483,1.198630596,1.166587766,3.487575117,2.601388685,0.60125659,4.769917254,0.019445445,0.036878926,-0.002401658,0.008027523,0.003412969,0.034601024,0.005331302,0.073825503,-0.052117264,-0.032347776,0.057704176,0.166153846,0.158854167,-0.025641026,0.021671827,-0.211111111,0.04,0.068669528,-0.019047619,0.83,0.04,0.04,0.1,0,2,0.073248408,0.292464526,1.506097944,2,0.788,9.606,0.376,0.064384262,0.051682692,-0.068675089,0.06557377
26,138.9720001,48.35898972,531.1469116,14.74308586,378.7570801,24.17473793,6.703179359,0.277863413,4.742794991,0.047706813,3.8700881,4.938,1.281970831,0.800105029,0.902,1,34.02541314,3.404,0.675,0.384,0.105727429,22.099,0.753,0.881,0.26,0.27,0.064,0.095,0.198,0.077,0.044342519,0.154467324,0.679605732,0.075157921,0.602321088,49,0.203344121,0.047680894,1.165187807,1.88519436,4.371859294,1.962734445,0.579752305,5.479904747,-0.017714619,0.014188154,-0.006655956,-0.012793177,0.026694045,-0.043660284,0.035790762,-0.034431138,0.428571429,-0.054854793,0.076745302,0.012084592,-0.014362657,-0.042307692,-0.016722408,-0.158730159,0.07079646,-0.004830918,0.03,0.59,0.08,0.23,0.06,0.03,2,0.095469256,-0.583682435,-1.341992315,2.75,0.843,8.875,0.429,0.099924585,-0.108583247,-0.026695269,0.104519774
27,96.72099304,48.70245743,357.2359314,12.794487,450.627533,23.99592972,12.53192806,0.164184108,5.369582653,0.064348981,3.002785206,2.975,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.177,0.062,0.316,0.057,0.211616851,0.226881489,0.904397646,0.055400551,0.494280512,17,0.045131846,0.191575341,1.09429045,0.255456065,2.990309862,2.196201027,0.698171069,3.472500903,-0.341491308,-0.052477608,0.089186661,0.790201005,-0.123222749,-0.257284734,0.57568911,-0.359765051,0.215102975,-0.287374037,-0.432552103,0.293103448,0.628205128,0.476923077,0.219594595,2.576271186,-0.467153285,0.084210526,-0.405172414,0.44,0,0.25,0.24,0,1,0.020283976,0.449865553,1.332229605,1.576,1.914,10.212,0.425,-0.40671778,1.858730159,0.085425956,0.150819672
28,96.59196472,48.76673889,357.1707458,12.84397888,450.1040344,24.03188324,6.38536644,0.20807229,5.620397568,0.063536696,3.169724464,2.975,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.177,0.062,0.316,0.057,0.211616851,0.15890138,0.872273273,0.004349929,0.497547174,12,0.030701754,0.273247114,1.213440732,3.101529662,5.078944583,2.052923949,0.606394022,5.360221682,-0.341491308,-0.052477608,0.089186661,0.790201005,-0.123222749,-0.257284734,0.57568911,-0.359765051,0.215102975,-0.287374037,-0.432552103,0.293103448,0.628205128,0.476923077,0.219594595,2.576271186,-0.467153285,0.084210526,-0.405172414,0.51,0,0.18,0.23,0.04,2,0.028508772,0.011844631,0.634194965,1.576,1.914,10.212,0.425,-0.40671778,1.858730159,0.085425956,0.150819672
29,182.3864441,49.57830048,746.788147,14.58577728,368.1811829,23.73807335,0.949811876,0.198651895,4.557004452,0.051866807,5.469777107,3.979,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,0.543,0.31,0.097974917,18.964,0.315,0.531,0.248,0.331,0.051,0.154,0.213,0.094,0.103742363,0.145350273,0.6667451,0.11503684,0.539711447,53,0.201136364,0.250546472,1.124538456,1.459792599,3.98185817,2.167637664,0.609208654,4.687876773,-0.074986465,-0.110735068,-0.311426542,-0.190871369,-0.101886792,-0.133379113,0.085258055,0.034321373,0.037790698,0.017273295,0.074936401,-0.280839895,-0.134663342,-0.059701493,-0.006644518,-0.075,1.421487603,0.024038462,0.466666667,0.83,0,0,0.17,0,1,0.145454545,-0.552874731,-2.044766809,3,0.725,9.474,0.355,0.16892911,0.034993271,0.055555556,-0.006269592
30,178.168335,47.14861298,678.9696045,14.23756695,357.7488403,23.13147545,2.835472107,0.192815363,4.608438492,0.058842644,4.636009216,3.979,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,0.543,0.31,0.097974917,18.964,0.315,0.531,0.248,0.331,0.051,0.154,0.213,0.094,0.103742363,0.2059992,0.89144886,0.081804111,0.608093167,38,0.287755102,0.029321486,1.119473958,1.721621612,4.12765432,2.042422612,0.588453001,7.072844096,-0.074986465,-0.110735068,-0.311426542,-0.190871369,-0.101886792,-0.133379113,0.085258055,0.034321373,0.037790698,0.017273295,0.074936401,-0.280839895,-0.134663342,-0.059701493,-0.006644518,-0.075,1.421487603,0.024038462,0.466666667,0.88,0,0,0.12,0,2,0.195918367,-0.429625884,0.740169712,3,0.725,9.474,0.355,0.16892911,0.034993271,0.055555556,-0.006269592
31,104.8832703,46.1077919,359.6753845,15.52523422,414.8168335,25.8211174,3.837403059,0.167249128,5.192152023,0.03850754,3.189157724,9.583,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,0.813,0.547,0.073068121,57.578,0.773,0.955,0.123,0.799,0.121,0.068,0.457,0.042,0.182718591,0.224202852,0.915781527,0.06678481,0.626593779,22,0.080662983,0.582416907,1.188735231,0.940376424,3.285508232,2.189653299,0.615829791,4.287671536,0.005711022,0.050478579,-0.061894612,0.025157233,0.109780439,0.055081242,0.06360424,-0.280583614,-0.216216216,-0.222717281,0.393700787,0.272058824,-0.197727273,-0.312169312,0.121990369,1.965517241,-0.06122449,0.233128834,0.2,0.85,0,0.02,0.07,0.04,1,0.053038674,0.134124663,1.328492037,2.182,0.94,5.727,0.505,0.012586806,0.057368942,-0.034582624,-0.238095238
32,105.2748108,46.11059952,359.6354675,15.45806599,415.869751,25.77962494,3.663620472,0.165497899,5.533581257,0.052234191,2.965215921,9.583,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,0.813,0.547,0.073068121,57.578,0.773,0.955,0.123,0.799,0.121,0.068,0.457,0.042,0.182718591,0.177479536,0.841622577,0.021979929,0.495113715,16,0.049029126,0.862555839,1.04863263,1.346392773,3.470565327,1.980646456,0.742545624,2.293399163,0.005711022,0.050478579,-0.061894612,0.025157233,0.109780439,0.055081242,0.06360424,-0.280583614,-0.216216216,-0.222717281,0.393700787,0.272058824,-0.197727273,-0.312169312,0.121990369,1.965517241,-0.06122449,0.233128834,0.2,0.81,0,0.02,0.07,0.06,2,0.036893204,-0.325600639,0.416172716,2.182,0.94,5.727,0.505,0.012586806,0.057368942,-0.034582624,-0.238095238
33,109.610878,46.89871979,376.1097107,15.45924377,414.7208557,25.75291061,6.105927467,0.14967297,5.232156277,0.039847791,2.410166264,7.339,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,0.811,0.425,0.058321024,40.891,0.519,0.516,0.1,0.632,0.08,0.091,0.497,0.045,0.055746011,0.216494855,0.855837028,0.079117255,0.587810329,25,0.057582527,0.022388716,1.170261498,1.521457121,3.900147227,2.018155963,0.601183543,4.366103095,0,0.003038297,-0.009789431,-0.040496408,0.040606389,-0.040033765,0.021090047,0.223853211,0.263157895,0.061663209,-0.045441424,-0.180987203,0.031809145,0.03960396,-0.063467492,0.033898305,-0.11023622,-0.002040816,0.040816327,0.79,0,0.02,0.18,0,1,0.041697692,0.264561274,1.041429744,2.242,0.829,7.606,0.325,0.054277829,-0.104689204,0.030756887,-0.038338658
