site,long,lat
39,152.7222,-25.82
40,152.7229,-25.8356
37,152.4864,-25.8861
34,152.35,-25.9014
33,152.3489,-25.9042
38,152.4956,-25.9533
31,152.4286,-26.0019
32,152.4072,-26.0047
23,152.5528,-26.1544
17,152.527611,-26.183528
15,152.809194,-26.329694
16,152.864111,-26.342028
9,152.656028,-26.346139
22,152.6223,-26.3669
35,152.9544,-26.4697
10,152.627528,-26.490111
11,152.591639,-26.498278
14,152.746139,-26.511722
36,152.96,-26.5231
24,152.7395,-26.5257
12,152.783722,-26.634028
13,152.790106,-26.639725
18,153.018139,-26.662528
19,152.996361,-26.686
26,152.8403,-26.8392
1,152.772544,-26.919739
43,152.9014,-27.8969
44,152.8583,-27.9061
21,152.569917,-28.000694
6,153.313944,-28.005972
20,152.556528,-28.011556
4,153.302583,-28.022306
5,153.189944,-28.046806
25,153.1786,-28.0561
8,152.571833,-28.156194
7,152.558306,-28.162139
28,152.6814,-28.1659
27,152.6722,-28.1759
30,153.4167,-28.1908
29,153.3953,-28.2075
41,152.8739,-28.2128
2,152.613778,-28.216333
42,152.8583,-28.2233
3,152.604028,-28.227389
