"","site","mean","sd","FDis.orig","FDis.SES"
"1",1,0.194046155221428,0.0375538858159288,0.159242093744197,-0.926776569748975
"2",2,0.199362290958978,0.0400163675803054,0.211238335252458,0.296779668210685
"3",3,0.195760599756382,0.0386690774154929,0.198956741782189,0.0826536922891949
"4",4,0.191195251026758,0.0421183074953383,0.247199442545606,1.32968760734383
"5",5,0.110434646325924,0.0366212912171853,0.165285237607872,1.49777873632725
"6",6,0.188296376431584,0.0444576365845214,0.262042423095681,1.65879368157355
"7",7,0.139449122262081,0.0455808828734828,0.105261126049918,-0.750051206929385
"8",8,0.0518681925818203,0.0173314942836649,0.0421762840542266,-0.559207900309465
"9",9,0.206728369476541,0.0295157905277923,0.232438932884089,0.871078258376278
"10",10,0.200987787772873,0.0374521375941053,0.234266756562493,0.888573281191233
"11",11,0.192465295177956,0.0416417355824716,0.243006822821653,1.21372288970999
"12",12,0.204622621491319,0.0339140858332433,0.175824126072453,-0.849160303493632
"13",13,0.10881881774227,0.0344880236838589,0.188137159292317,2.29988074344688
"14",14,0.188385858839583,0.0436747019771192,0.174726702000668,-0.312747568284981
"15",15,0.206557943329753,0.0309756786263068,0.234247822974366,0.893923260848167
"16",16,0.200941633070756,0.0319258111634059,0.251745013049911,1.59129488422793
"17",17,0.205925055974473,0.0284824227728765,0.179077672719108,-0.942594788001388
"18",18,0.205016464462754,0.0338288483164939,0.227060388752818,0.651630941846636
"19",19,0.202053001849623,0.033177267476515,0.212936331899216,0.328035756931967
"20",20,0.202528323136419,0.0329214841744041,0.237650092171202,1.06683431551028
"21",21,0.180561821040672,0.041929903509408,0.19986345845839,0.46033107167508
"22",22,0.201943130167226,0.0319424272618,0.227277957725178,0.793140338093513
"23",23,0.208334219784196,0.0274368972319033,0.223238992429072,0.543238272130329
"24",24,0.191973991453073,0.0453534974145567,0.170432361134941,-0.474971756229288
"25",25,0.208954536636401,0.0284458545729594,0.235821662557963,0.944500572224033
"26",26,0.204693523854851,0.0306681128501263,0.172139743341273,-1.06148626335983
"27",27,0.189038818321038,0.0442827882061039,0.225906773256418,0.832557217575976
"28",28,0.119200778267048,0.0408749391337351,0.133292527454689,0.344752787069244
"29",29,0.208786339239488,0.0278142762787343,0.152504044349089,-2.02350384120656
"30",30,0.203520439280958,0.03129943904885,0.219711400198642,0.517292367202289
"31",31,0.200177018552302,0.0358085086090158,0.24132338643137,1.14906678544854
"32",32,0.121131841494269,0.0385228711883095,0.106594219249261,-0.37737639476415
"33",33,0.198562502825348,0.0383077346743123,0.175927884600557,-0.59086287448808
"34",34,0.198345035245574,0.039133259085017,0.181670464573649,-0.426097162919646
"35",35,0.202670923976795,0.0340502990427539,0.211330319928054,0.254311891369475
"36",36,0.190639406125931,0.0438749386115049,0.199961606812654,0.212472107807756
"37",37,0.190848365154263,0.040335655746477,0.25355272965336,1.5545641526994
"38",38,0.163265126233794,0.0454617282329764,0.134863553518274,-0.624735878274819
"39",39,0.200662393679669,0.035412028092948,0.246042741283683,1.28149530111357
"40",40,0.161805691390224,0.0444511162987732,0.173549005932626,0.264184918629947
"41",41,0.185901610857772,0.0441495644141971,0.25435065875598,1.55039010704706
"42",42,0.153885985523596,0.0428531911739429,0.184519981457451,0.7148591527177
"43",43,0.196422502022253,0.0429794115112244,0.240056269510043,1.01522487054981
"44",44,0.191594624230956,0.0449469849955044,0.240186075997953,1.08108367606543
