Species,leafArea,SLA,seedMass,maxHeight,woodDensity,floweringStart,floweringEnd,,abundance
Quassia spp,,,,,,,,,5
Rhodamnia argentea,,,,,,,,,3
Rhodamnia rubescens,,,,,,,,,11
Rhodomyrtus psidioides,,,,,,,,,50
Rhodosphaera rhodanthema,,,,,,,,,14
Ricinus communis*,,,,,,,,,128
Rosaceae fruit tree,,,,,,,,,11
Sarcopteryx stipitata,,,,,,,,,24
Schefflera actinophylla**,,,,,,,,,6
Senna spp*,,,,,,,,,4
Senna pendula*,,,,,,,,,88
Senna septemtrionalis*,,,,,,,,,15
Senna sulfurea,,,,,,,,,3
Sloanea australis,,,,,,,,,29
sloanea woollsii,,,,,,,,,2
Solanum chrysotrichum*,,,,,,,,,1
Solanum mauritianum*,,,,,,,,,71
Solanum torvum*,,,,,,,,,2
Sterculia quadrifida,,,,,,,,,2
Streblus brunonianus,,,,,,,,,485
Symplocos spp,,,,,,,,,14
Synoum glandulosum,,,,,,,,,33
Syzygium australe,,,,,,,,,96
Syzygium floribundum,,,,,,,,,816
Syzygium luehmannii,,,,,,,,,2
Syzygium oleosum,,,,,,,,,17
Syzygium smithii,,,,,,,,,39
Tabernaemontana pandacaqui,,,,,,,,,83
Tecoma stans,,,,,,,,,126
Tecoma capensis,,,,,,,,,23
Toechima tenax,,,,,,,,,7
Toona ciliata,,,,,,,,,16
Trema tomentosa,,,,,,,,,1
Tristaniopsis laurina,,,,,,,,,108
Turraea pubescens,,,,,,,,,2
Vitex melicopea,,,,,,,,,1
Wikstroemia indica,,,,,,,,,1
Wilkea macrophylla,,,,,,,,,12
Wilkea huegeliana,,,,,,,,,106
,,,,,,,,,0
,,,,,,,,,0
HERBS,,,,,,,,,0
Adiantum spp,,,,,,,,,470
Alocasia spp,,,,,,,,,13
Alpinia spp,,,,,,,,,105
Carex,,,,,,,,,589
Carex appressa,,,,,,,,,1
cyperus,,,,,,,,,92
Cyperus involucratus,,,,,,,,,50
fern,,,,,,,,,195
Grass,,,,,,,,,1186
Juncus spp,,,,,,,,,66
Lomandra,,,,,,,,,486
Lomandra hystrix,,,,,,,,,1785
Lomandra Leucocephala,,,,,,,,,2
Lomandra longifolia,,,,,,,,,732
Pteridium esculentum,,,,,,,,,1162
Schoenoplectus validus,,,,,,,,,1971
,,,,,,,,,0
VINES,,,,,,,,,0
Andredera cordifoli,,,,,,,,,113
Aristolochia elegans,,,,,,,,,26
Asparagus plumosus,,,,,,,,,21
Calamus muelleri,,,,,,,,,32
Carronia multisepalea,,,,,,,,,111
Capparis velutina,,,,,,,,,1
Cardiospermum grandiflorum,,,,,,,,,57
Cayratia clematidea,,,,,,,,,3
Cissus antarctica,,,,,,,,,102
Cissus hypoglauca,,,,,,,,,1
Clematis aristata,,,,,,,,,3
Derris involuta,,,,,,,,,68
Desmodium spp,,,,,,,,,64
Dioscorea transversa,,,,,,,,,5
Elaeagnus triflora ,,,,,,,,,3
Embelia australis,,,,,,,,,54
Flagellaria indica,,,,,,,,,25
Geitonoplesium cymosum,,,,,,,,,326
Hippocratea barbata,,,,,,,,,2
Ipomoea cairica,,,,,,,,,3
Legnephora moorei,,,,,,,,,29
Macfadyena unguis-cati,,,,,,,,,1937
Maclura cochinchinensis,,,,,,,,,153
Marsdenia rostrata,,,,,,,,,10
Melodinus australis,,,,,,,,,226
Melodorum leichhardtii,,,,,,,,,148
Millettia megasperma,,,,,,,,,22
Morinda jasminoides,,,,,,,,,150
Pandorea pandorana,,,,,,,,,60
Parsonsia straminea,,,,,,,,,32
Passiflora edulis,,,,,,,,,1
Passiflora suberosa,,,,,,,,,14
Passiflora subpeltata,,,,,,,,,33
Piper hederaceum,,,,,,,,,13
Pothos longipes,,,,,,,,,9
Ripogonum spp,,,,,,,,,206
Rubus spp,,,,,,,,,13
Rubus moluccanus,,,,,,,,,1
Rubus rosifolius,,,,,,,,,55
Smilax australis,,,,,,,,,145
Solanum seaforthianum,,,,,,,,,9
Stephania japonica,,,,,,,,,63
Trophis scandens,,,,,,,,,225
,,,,,,,,,0
,,,,,,,,,0
UNKNOWNS,,,,,,,,,0
S1 Livingston palm,,,,,,,,,1
S1 unknown round leaves,,,,,,,,,1
S3 unknown,,,,,,,,,3
S4 unknown,,,,,,,,,1
Ficus (obliqua?),,,,,,,,,1
S8 unknown vine,,,,,,,,,1
S8 tessilated bark ,,,,,,,,,1
S9 unknown,,,,,,,,,1
S9 unknown 2,,,,,,,,,1
S14 unknown climber,,,,,,,,,1
S15 unknown,,,,,,,,,9
S16 unknown,,,,,,,,,2
S18 unknown climber,,,,,,,,,3
S18 unknown tree,,,,,,,,,1
S18 unknown,,,,,,,,,1
S19 unknown palm,,,,,,,,,8
S19 unknown tree,,,,,,,,,1
S19 unknown climber,,,,,,,,,1
S20 unknown herb,,,,,,,,,1
S29 unknown vine,,,,,,,,,2
S22 unknown tree,,,,,,,,,1
S22 unknown climber,,,,,,,,,1
S35 unknown vine,,,,,,,,,2
S24 unknown 2,,,,,,,,,2
S30 tree fern,,,,,,,,,6
S30 large buttressed tree,,,,,,,,,1
S30 unknown vine,,,,,,,,,1
S33 unknown vine,,,,,,,,,1
S33 unknown vine 2,,,,,,,,,1
S33 and 34 unknown round,,,,,,,,,1
S34 unknown,,,,,,,,,17
S35 unknown 2,,,,,,,,,4
S35 unknown 3,,,,,,,,,1
S35 unknown 4,,,,,,,,,1
S36 unknown 2,,,,,,,,,1
S39 unknown tree,,,,,,,,,1
S42 unknown,,,,,,,,,1
S44 unknown,,,,,,,,,1
