"","X.1","X","site","clim_pdry","clim_psea","clim_pwet","clim_tcld","clim_tsea","clim_twrm","soil_awc","soil_bdw","soil_cly","soil_der","soil_des","soil_ece","soil_nto","soil_phc","soil_pto","soil_slt","soil_snd","soil_soc","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","BFI.x","CVAnnBFI.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","FDis","FDiv","FRic","FEve","nbsp","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","BFI.y","CVAnnBFI.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","production_natural_w","production_dryland_w","intensive_w","conservation_w","production_irrigated_w","replicate","richness.stand","FRic.SES","FDis.SES","MDFAnnHSNum.x","CVAnnHSNum.x","MDFAnnLSNum.x","CVAnnLSNum.x","MDFAnnHSNum.y","CVAnnHSNum.y","MDFAnnLSNum.y","CVAnnLSNum.y","richness.stand.ln","exoticRich.ln","richness.stand.chao","richness.chao","richness.ACE"
"1",1,1,1,118.697998,46.90408707,442.6585693,14.8249712,389.8130493,24.52971649,13.1887064,1.23506403,26.685215,15.96392727,1.13616991,7.168894291,0.225267485,4.850421906,0.067161635,15.6005621,46.35223007,4.216975212,1.281970831,0.800105029,0.902,1,34.02541314,3.404,0.675,0.384,0.105727429,22.099,0.753,0.881,0.26,0.27,0.064,0.095,0.198,0.077,0.044342519,0.152529768,0.702460364,0.047641071,0.676635735,32,0.091415831,0.059675024,1.186000009,1.589133986,4.451220565,2.292709953,0.597644041,4.734291147,-0.017714619,0.014188154,-0.006655956,-0.012793177,0.026694045,-0.043660284,0.035790762,-0.034431138,0.428571429,-0.054854793,0.076745302,0.012084592,-0.014362657,-0.042307692,-0.016722408,-0.158730159,0.07079646,-0.004830918,0.03,0.58,0.12,0.21,0.08,0.01,1,0.082497213,-0.335028718679677,-0.861996605549012,2.75,0.843,8.875,0.429,0.099924585,-0.108583247,-0.026695269,0.104519774,6.0597041210445,0.655103148221027,0.100287134539239,44.9787798408488,41
"2",2,2,4,142.5914917,44.22193527,480.625946,14.70363712,384.7421875,24.25049591,13.15342522,1.197072864,22.65402603,3.583175898,1.129638195,9.990216255,0.174282745,4.612263203,0.044354651,20.67567635,52.77626038,3.385577917,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.066,0.145,0.329,0.078,0.23025904,0.229045533,0.922385733,0.070734517,0.586098163,26,0.061918329,0.226968726,1.144259073,1.025298342,3.303810868,2.586916073,0.575819284,5.651134109,-0.045829042,-0.482227538,0.263252212,-0.325,0.112913692,-0.259728858,1,1.132332879,2.045614035,0.004312274,-0.462532103,0.229885057,-0.04302926,0.316239316,-0.020634921,2.434782609,0.893129771,-0.108545035,1.64,0.32,0,0.09,0.5,0.04,1,0.055080722,0.0933016215168389,1.49615655079596,1.576,1.914,10.212,0.425,-0.422848665,0.261961722,0.50934768,-0.220394737,4.62796630161903,0.957510269300489,0.0664604531271198,34.9914285714286,32.6
"3",3,3,5,127.6242981,44.97564697,453.189209,13.58786678,397.3336792,23.45186424,13.55158997,1.153934479,21.23000717,4.248885155,1.069239497,10.28589153,0.206879646,4.835061073,0.044240389,20.04157066,49.53961182,3.460840464,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,0.85,0.407,0.092796227,19.2,0.348,0.474,0.228,0.341,0.063,0.084,0.25,0.08,0.03225678,0.12981442,0.521786555,0.008025274,0.665748442,15,0.040241449,0.075498784,1.037016881,1.272132871,1.53797095,2.293061707,0.647972478,3.979268098,0.019445445,0.036878926,-0.002401658,0.008027523,0.003412969,0.034601024,0.005331302,0.073825503,-0.052117264,-0.032347776,0.057704176,0.166153846,0.158854167,-0.025641026,0.021671827,-0.211111111,0.04,0.068669528,-0.019047619,0.7,0.02,0.04,0.24,0,1,0.038229376,-0.174048312278212,0.386583468137595,2,0.788,9.606,0.376,0.064384262,0.051682692,-0.068675089,0.06557377,3.0602761529006,0.96640299565282,0.0422508329872354,20.998663994656,20
"4",4,4,6,144.0125732,43.74140549,476.1430969,14.8046999,381.8599243,24.27853966,13.5691967,1.210136533,21.60365295,5.05502224,1.162707686,8.458163261,0.16823931,4.626170158,0.054521311,19.61895943,51.64487076,3.588429213,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,0.567,0.629,0.054219334,14.39,0.423,0.681,0.305,0.411,0.066,0.145,0.329,0.078,0.23025904,0.227995052,0.887541237,0.111745846,0.588742538,29,0.107023411,0.198397777,1.183352283,0.953408993,2.902004124,2.499336924,0.530648338,6.000240096,-0.045829042,-0.482227538,0.263252212,-0.325,0.112913692,-0.259728858,1,1.132332879,2.045614035,0.004312274,-0.462532103,0.229885057,-0.04302926,0.316239316,-0.020634921,2.434782609,0.893129771,-0.108545035,1.64,0.28,0,0.13,0.53,0.02,2,0.084726867,0.00921339035889463,1.43163842824015,1.576,1.914,10.212,0.425,-0.422848665,0.261961722,0.50934768,-0.220394737,6.22347990809976,1.47398208349731,0.106987850694945,47.9840510366826,48
"5",5,5,9,122.2714691,47.68352509,449.5500488,15.22526455,396.1566772,25.05847168,13.66369915,1.241800547,23.01506615,5.216386795,1.193337083,10.38984203,0.210364312,4.973424435,0.046734612,21.46771431,59.48788452,2.84725523,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,1.163,0.401,0.084922263,42.049,0.491,0.76,0.12,0.567,0.033,0.097,0.402,0.055,0.139512725,0.220674706,0.874591188,0.18428577,0.585543936,42,0.187100639,0.334377735,1.158846889,1.375816439,2.713351477,2.337878186,0.599953643,4.678709648,0.117592678,0.113602767,-0.135083849,-0.026989619,0.010447761,0.23825157,-0.051997811,-0.039840637,-0.312380952,0.059696811,0.167899271,-0.144053601,0.346666667,-0.219858156,0.25203252,1.777777778,0.404958678,0.086330935,1.133333333,0.65,0.21,0.04,0.08,0,1,0.153354633,-0.177403023095785,1.30629194237257,2.217,0.977,7,0.423,-0.115435648,0.070452156,-0.06805649,0.028248588,8.35334192132665,1.39222365355444,0.194797494314773,60.971615720524,58.5625
"6",6,6,10,115.2363205,47.22675705,429.9311218,14.84904575,395.9205933,24.67420006,13.44261932,1.245633245,21.97478867,10.35305309,1.282849908,10.66763306,0.205140367,5.052348614,0.067297325,18.53188705,50.7361908,2.714846611,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,0.357,0.699,0.023516088,29.977,2.372,0.63,0.357,0.374,0.183,0.095,0.401,0.075,0.472524735,0.219524183,0.811934451,0.123425923,0.556358741,32,0.072280179,0.265326782,1.206291312,1.220307759,3.499547742,2.464025556,0.56693907,4.633870946,-0.844581006,-0.174848542,0.115018247,-0.471661238,-0.598779134,-0.842090806,2.210741389,-0.784371909,0.46991404,-0.366269001,1.085835644,1.741239892,0.251054852,1.846153846,-0.164705882,3.19047619,0.421052632,-0.48048048,0.888888889,0.6,0.1,0.07,0.18,0,1,0.052160954,0.723078223976635,1.13800498895904,1.083,1.619,5.042,0.585,-0.75853906,1.472324723,-0.716610625,0.936599424,5.37736079794103,1.07547215958821,0.0655526479458324,43.9858267716535,48.5
"7",7,7,11,117.9629822,46.57189178,427.7681274,14.82857132,402.2951965,24.81098747,13.82916737,1.212114453,22.13776588,4.085037231,1.151995182,10.10849953,0.21017696,5.113440037,0.045529574,16.24158669,56.77944565,2.883789539,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,0.357,0.699,0.023516088,29.977,2.372,0.63,0.357,0.374,0.183,0.095,0.401,0.075,0.472524735,0.23424294,0.880343927,0.118885176,0.538053487,45,0.107177318,0.095162138,1.100940175,1.776690098,3.262556288,2.046176619,0.58798565,6.034213827,-0.844581006,-0.174848542,0.115018247,-0.471661238,-0.598779134,-0.842090806,2.210741389,-0.784371909,0.46991404,-0.366269001,1.085835644,1.741239892,0.251054852,1.846153846,-0.164705882,3.19047619,0.421052632,-0.48048048,0.888888889,0.63,0.05,0,0.26,0,2,0.07748831,-0.230681982573616,1.59786145394816,1.083,1.619,5.042,0.585,-0.75853906,1.472324723,-0.716610625,0.936599424,8.76388274066531,0.906608559379171,0.104186885724175,77.9838839645447,80.2222222222222
"8",8,8,12,140.6659698,46.8634491,505.5458374,14.96645164,380.9794922,24.43831825,12.74608994,1.190961003,28.29791451,4.900153637,1.084346652,8.864079475,0.236093491,4.712797642,0.065761514,16.90513992,42.53391647,3.873775005,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,0.626,0.376,0.078709517,25.015,0.568,0.602,0.297,0.318,0.056,0.084,0.219,0.066,0.043585689,0.167591755,0.771105323,0.123567185,0.522262385,41,0.106221792,0.035113554,1.152654887,2.015512419,4.504577472,2.014984061,0.597302126,5.097383938,0.036230168,0.019453446,-0.068134427,-0.032319392,0.02367531,0.025435381,0.026099565,-0.044142615,-0.036585366,-0.139265236,0.024867509,0.210227273,-0.044303797,-0.053333333,-0.042253521,-0.362745098,0.028846154,0.04950495,-0.049019608,0.16,0.01,0.41,0.37,0,1,0.090425532,-0.243249588438372,-0.749414063765375,2.394,1.033,6.788,0.418,0.007930214,-0.064272212,0.044228218,-0.209051724,8.05044408071801,0.947111068319766,0.115213117056386,64.980198019802,59.9090909090909
"9",9,9,13,149.7206421,47.5550766,546.2020874,14.87631035,378.6060181,24.29091644,13.6856823,1.226225853,20.69457817,6.154711723,1.24091053,9.230606079,0.205991253,4.66545105,0.049153753,19.01200867,46.36630249,3.177581787,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,0.626,0.376,0.078709517,25.015,0.568,0.602,0.297,0.318,0.056,0.084,0.219,0.066,0.043585689,0.160135412,0.939050625,0.026642942,0.459908876,22,0.070355191,0.090739015,1.146962986,0.614287658,2.1657572,2.358019433,0.557941274,8.487896055,0.036230168,0.019453446,-0.068134427,-0.032319392,0.02367531,0.025435381,0.026099565,-0.044142615,-0.036585366,-0.139265236,0.024867509,0.210227273,-0.044303797,-0.053333333,-0.042253521,-0.362745098,0.028846154,0.04950495,-0.049019608,0.17,0.01,0.39,0.35,0,2,0.036885246,-0.199957243472026,1.93087258620057,2.394,1.033,6.788,0.418,0.007930214,-0.064272212,0.044228218,-0.209051724,4.09352614794398,1.21289663642785,0.0464450361102102,33.9977664326739,51.5
"10",10,10,14,133.2174683,47.16553497,483.5106812,14.51522636,373.4295959,23.79650497,13.32135773,1.252987862,23.61512756,5.148770332,1.284927487,10.84250259,0.236646309,4.984775543,0.060827896,21.3055687,51.38861847,2.565692425,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,0.829,0.383,0.099014393,30.881,0.494,0.605,0.241,0.363,0.028,0.081,0.221,0.062,0.072890363,0.169150423,0.745272098,0.038585407,0.490459782,25,0.071551724,0.075446967,1.186735965,1.363968678,4.384770607,2.493916394,0.554654215,5.135044289,0.114010989,0.049623473,-0.083848609,-0.002586207,0.023646072,0.099489199,-0.03025,-0.039637599,-0.091922006,-0.116445673,0.099198256,0.520249221,0.148672566,-0.092307692,0.025069638,-0.626373626,-0.025862069,-0.045248869,-0.235955056,0.32,0.01,0.21,0.44,0,1,0.057471264,-0.173428272586015,-0.177462636160698,2.424,0.868,6.636,0.394,-0.024616626,-0.013377926,0.045520347,-0.035805627,4.11499194812449,0.658398711699918,0.0735242548217417,31.9830508474576,31.125
