"","X.1","X","site","clim_pdry","clim_psea","clim_pwet","clim_tcld","clim_tsea","clim_twrm","soil_awc","soil_bdw","soil_cly","soil_der","soil_des","soil_ece","soil_nto","soil_phc","soil_pto","soil_slt","soil_snd","soil_soc","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","BFI.x","CVAnnBFI.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","FDis","FDiv","FRic","FEve","nbsp","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","BFI.y","CVAnnBFI.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","production_natural_w","production_dryland_w","intensive_w","conservation_w","production_irrigated_w","replicate","richness.stand","FRic.SES","FDis.SES","MDFAnnHSNum.x","CVAnnHSNum.x","MDFAnnLSNum.x","CVAnnLSNum.x","MDFAnnHSNum.y","CVAnnHSNum.y","MDFAnnLSNum.y","CVAnnLSNum.y","richness.stand.ln","exoticRich.ln","richness.stand.chao","richness.chao","richness.ACE"
"25",25,25,29,182.3864441,49.57830048,746.788147,14.58577728,368.1811829,23.73807335,12.34877777,1.003418565,25.05378723,0.949811876,1.130906701,8.59089756,0.198651895,4.557004452,0.051866807,24.11776924,47.61996078,5.469777107,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,0.543,0.31,0.097974917,18.964,0.315,0.531,0.248,0.331,0.051,0.154,0.213,0.094,0.103742363,0.145350273,0.6667451,0.11503684,0.539711447,53,0.201136364,0.250546472,1.124538456,1.459792599,3.98185817,2.167637664,0.609208654,4.687876773,-0.074986465,-0.110735068,-0.311426542,-0.190871369,-0.101886792,-0.133379113,0.085258055,0.034321373,0.037790698,0.017273295,0.074936401,-0.280839895,-0.134663342,-0.059701493,-0.006644518,-0.075,1.421487603,0.024038462,0.466666667,0.83,0,0,0.17,0,1,0.145454545,-0.552874730548496,-2.04476680923177,3,0.725,9.474,0.355,0.16892911,0.034993271,0.055555556,-0.006269592,10.5145997464023,0.821453105187679,0.193121096460791,84.9732824427481,88.5
"26",26,26,30,178.168335,47.14861298,678.9696045,14.23756695,357.7488403,23.13147545,13.11222649,0.961631596,27.44244576,2.835472107,1.126103163,8.552789688,0.192815363,4.608438492,0.058842644,25.17512321,43.12921906,4.636009216,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,0.543,0.31,0.097974917,18.964,0.315,0.531,0.248,0.331,0.051,0.154,0.213,0.094,0.103742363,0.2059992,0.89144886,0.081804111,0.608093167,38,0.287755102,0.029321486,1.119473958,1.721621612,4.12765432,2.042422612,0.588453001,7.072844096,-0.074986465,-0.110735068,-0.311426542,-0.190871369,-0.101886792,-0.133379113,0.085258055,0.034321373,0.037790698,0.017273295,0.074936401,-0.280839895,-0.134663342,-0.059701493,-0.006644518,-0.075,1.421487603,0.024038462,0.466666667,0.88,0,0,0.12,0,2,0.195918367,-0.429625884050141,0.740169711974374,3,0.725,9.474,0.355,0.16892911,0.034993271,0.055555556,-0.006269592,8.72527668452179,0.727106390376816,0.257022573272924,62.9705304518664,70.5
"27",27,27,31,104.8832703,46.1077919,359.6753845,15.52523422,414.8168335,25.8211174,13.62606239,1.303489804,23.73209763,3.837403059,1.038965583,9.863471031,0.167249128,5.192152023,0.03850754,17.60295868,58.60747528,3.189157724,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,0.813,0.547,0.073068121,57.578,0.773,0.955,0.123,0.799,0.121,0.068,0.457,0.042,0.182718591,0.224202852,0.915781527,0.06678481,0.626593779,22,0.080662983,0.582416907,1.188735231,0.940376424,3.285508232,2.189653299,0.615829791,4.287671536,0.005711022,0.050478579,-0.061894612,0.025157233,0.109780439,0.055081242,0.06360424,-0.280583614,-0.216216216,-0.222717281,0.393700787,0.272058824,-0.197727273,-0.312169312,0.121990369,1.965517241,-0.06122449,0.233128834,0.2,0.85,0,0.02,0.07,0.04,1,0.053038674,0.134124662777088,1.32849203740086,2.182,0.94,5.727,0.505,0.012586806,0.057368942,-0.034582624,-0.238095238,3.92491136727137,0.817689868181536,0.0640547096078696,28.984756097561,36.5
"28",28,28,32,105.2748108,46.11059952,359.6354675,15.45806599,415.869751,25.77962494,13.79745483,1.30492723,37.01009369,3.663620472,1.25180757,11.79919052,0.165497899,5.533581257,0.052234191,18.10488892,48.8753624,2.965215921,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,0.813,0.547,0.073068121,57.578,0.773,0.955,0.123,0.799,0.121,0.068,0.457,0.042,0.182718591,0.177479536,0.841622577,0.021979929,0.495113715,16,0.049029126,0.862555839,1.04863263,1.346392773,3.470565327,1.980646456,0.742545624,2.293399163,0.005711022,0.050478579,-0.061894612,0.025157233,0.109780439,0.055081242,0.06360424,-0.280583614,-0.216216216,-0.222717281,0.393700787,0.272058824,-0.197727273,-0.312169312,0.121990369,1.965517241,-0.06122449,0.233128834,0.2,0.81,0,0.02,0.07,0.06,2,0.036893204,-0.32560063943168,0.416172715872348,2.182,0.94,5.727,0.505,0.012586806,0.057368942,-0.034582624,-0.238095238,3.04283986995613,0.800747334198981,0.0465931316406181,23.9954627949183,25.25
"29",29,29,33,109.610878,46.89871979,376.1097107,15.45924377,414.7208557,25.75291061,14.31150627,1.329680443,22.39549446,6.105927467,1.190771341,10.37076378,0.14967297,5.232156277,0.039847791,18.41442299,55.94258118,2.410166264,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,0.811,0.425,0.058321024,40.891,0.519,0.516,0.1,0.632,0.08,0.091,0.497,0.045,0.055746011,0.216494855,0.855837028,0.079117255,0.587810329,25,0.057582527,0.022388716,1.170261498,1.521457121,3.900147227,2.018155963,0.601183543,4.366103095,0,0.003038297,-0.009789431,-0.040496408,0.040606389,-0.040033765,0.021090047,0.223853211,0.263157895,0.061663209,-0.045441424,-0.180987203,0.031809145,0.03960396,-0.063467492,0.033898305,-0.11023622,-0.002040816,0.040816327,0.79,0,0.02,0.18,0,1,0.041697692,0.264561274453607,1.04142974399487,2.242,0.829,7.606,0.325,0.054277829,-0.104689204,0.030756887,-0.038338658,4.30139637634016,0.153621299155006,0.0535871523744939,35.9837728194726,38.6666666666667
"30",30,30,34,109.610878,46.89871979,376.1097107,15.45924377,414.7208557,25.75291061,14.60508251,1.313132644,19.72196579,5.616991997,1.226912618,11.1349268,0.146004155,5.318706989,0.04654979,16.1189518,59.92668533,2.291818619,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,0.811,0.425,0.058321024,40.891,0.519,0.516,0.1,0.632,0.08,0.091,0.497,0.045,0.055746011,0.187418372,0.873919993,0.081264888,0.539856283,22,0.031085906,0.079956966,1.222486881,1.817391899,4.580138795,2.153827378,0.61680934,3.781384846,0,0.003038297,-0.009789431,-0.040496408,0.040606389,-0.040033765,0.021090047,0.223853211,0.263157895,0.061663209,-0.045441424,-0.180987203,0.031809145,0.03960396,-0.063467492,0.033898305,-0.11023622,-0.002040816,0.040816327,0.79,0,0.02,0.18,0,2,0.027725268,0.579439877386186,0.12893661520164,2.242,0.829,7.606,0.325,0.054277829,-0.104689204,0.030756887,-0.038338658,3.29516259917095,0.449340354432403,0.0327541658752484,25.9904306220096,24.6666666666667
"31",31,31,35,173.1053314,45.97392654,592.9439087,15.65501595,364.0437317,24.71052933,13.43427181,1.137929797,22.00115776,5.382903576,1.333310246,9.882054329,0.178362012,4.592539787,0.04280049,18.11139297,48.39881516,3.442286491,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,0.641,0.245,0.078646372,19.354,0.35,0.374,0.137,0.345,0.02,0.103,0.392,0.063,0.073307437,0.196020572,0.800227007,0.060642136,0.544827865,34,0.129429892,0.227048778,1.183166044,1.57429954,3.594950067,2.273014237,0.558064368,7.186989274,0.060744986,0.014264258,-0.054020304,0.032663317,-0.018808777,0.075979809,-0.007608336,-0.310933941,-0.359735974,-0.053249944,0.062689482,0.133333333,-0.115044248,-0.044117647,-0.048543689,-0.558139535,-0.038167939,0.137362637,-0.055555556,0.41,0.11,0.38,0.1,0,1,0.117103236,-0.414650001941359,0.328894973767881,3.615,0.686,12.538,0.301,-0.031364349,-0.019525802,-0.048298834,0.112554113,6.57179583444437,1.03765197385964,0.141717416293687,45.9873015873016,42
"32",32,32,36,174.6337128,45.53351593,594.2196655,15.62129784,365.2148743,24.70670891,13.24448299,1.162249923,18.37912178,14.67020321,1.476833224,7.618019581,0.20398964,4.710796833,0.035720848,19.27512932,51.20161819,3.259968758,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,0.641,0.245,0.078646372,19.354,0.35,0.374,0.137,0.345,0.02,0.103,0.392,0.063,0.073307437,0.192581991,0.851664553,0.008701511,0.61264699,25,0.107728337,0.063080988,1.178608463,2.027795057,4.798898504,2.281600758,0.553568709,6.181078506,0.060744986,0.014264258,-0.054020304,0.032663317,-0.018808777,0.075979809,-0.007608336,-0.310933941,-0.359735974,-0.053249944,0.062689482,0.133333333,-0.115044248,-0.044117647,-0.048543689,-0.558139535,-0.038167939,0.137362637,-0.055555556,0.34,0.25,0.14,0.21,0.05,2,0.06557377,-0.463238395002081,0.444347548453795,3.615,0.686,12.538,0.301,-0.031364349,-0.019525802,-0.048298834,0.112554113,4.62291538526802,0.495312362707288,0.0795907681153583,33.985257985258,46
"33",33,33,37,104.5128937,45.75644302,359.5658875,15.88125324,406.1400757,25.96599197,14.16942883,1.336469054,21.00814438,8.671669006,1.117469311,10.60014534,0.179275975,4.934397697,0.042755529,15.52996254,56.90710068,2.652782917,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,0.825,0.438,0.086182581,35.074,0.431,0.604,0.196,0.405,0.029,0.086,0.26,0.068,0.084167315,0.219690037,0.866467277,0.01607762,0.623338988,21,0.043161272,0.152918477,1.187575566,1.321330323,3.434230571,2.501087667,0.582102595,5.927660702,0.174616006,0.013677776,-0.058264771,0.164545455,0.125088339,0.145002897,-0.017198461,-0.142207053,0.218934911,-0.132465291,0.679349186,0.33463035,0.205811138,-0.180672269,0.154302671,-0.513157895,-0.218978102,0.020325203,0.150684932,0.61,0.03,0.15,0.15,0.03,1,0.038495188,-0.212214304258332,1.26243624210825,2.727,0.881,6.909,0.454,0.035608309,0.001089325,-0.231584526,0.137362637,3.4655140878424,0.630093470516801,0.0454792936290689,25.9914163090129,24.6666666666667
"34",34,34,38,103.131218,45.77086258,355.3100891,15.77677727,407.9249268,25.90482712,14.47156811,1.305361032,19.64848709,6.043702602,1.209150076,12.00130653,0.159985557,5.336770535,0.04734074,18.62579727,62.17832947,2.356807947,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,0.825,0.438,0.086182581,35.074,0.431,0.604,0.196,0.405,0.029,0.086,0.26,0.068,0.084167315,0.184073502,0.853967365,0.002271863,0.590742316,14,0.015802469,0.352450279,1.103565893,0.898047945,3.928687871,2.29815933,0.64653227,3.355543417,0.174616006,0.013677776,-0.058264771,0.164545455,0.125088339,0.145002897,-0.017198461,-0.142207053,0.218934911,-0.132465291,0.679349186,0.33463035,0.205811138,-0.180672269,0.154302671,-0.513157895,-0.218978102,0.020325203,0.150684932,0.61,0.03,0.16,0.15,0.03,2,0.014814815,-0.101940295603673,0.415433445098314,2.727,0.881,6.909,0.454,0.035608309,0.001089325,-0.231584526,0.137362637,2.16757436524383,0.144504957682922,0.0167848977725521,16.994708994709,16
"35",35,35,39,122.7455292,43.39176559,393.5278625,16.15975952,384.5278015,25.71652603,12.95532322,1.294698834,13.07931328,11.04504585,1.326170564,5.092062473,0.097677544,4.680103779,0.027188832,16.64107323,74.51133728,2.997516155,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,0.898,0.332,0.084566581,41.458,0.468,0.615,0.16,0.49,0.016,0.083,0.307,0.076,0.098901964,0.222368818,0.868655889,0.061776217,0.593194371,31,0.20681458,0.002750388,1.187498347,1.278665956,2.982203539,2.429800262,0.581080591,6.336074668,0.265231432,0.153764931,-0.130146278,0.052597403,0.011396011,0.120798032,-0.144854972,0.903225806,-0.025568182,-0.157201683,0.138024569,0.158774373,-0.038863976,-0.181818182,0.086092715,-0.553191489,0.17699115,0.230452675,0.333333333,0.15,0.53,0.04,0.26,0.01,1,0.110935024,-0.236909966585907,1.33034320327223,2.444,0.979,6.481,0.465,0.144705319,-0.164871582,-0.058556514,0.101333333,6.0825573179968,0.173787351942766,0.145717106233618,45.9737470167064,65.25
"36",36,36,40,122.7991409,43.42730713,393.9874573,16.1499939,384.3728027,25.70302582,13.5854063,1.302524924,18.68117142,10.38372803,1.281009197,7.484339714,0.126680046,4.689802647,0.035884593,21.14614296,62.0632782,3.012557745,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,0.898,0.332,0.084566581,41.458,0.468,0.615,0.16,0.49,0.016,0.083,0.307,0.076,0.098901964,0.172425511,0.932475524,0.095083683,0.650664026,24,0.150242326,0.001699934,0.900125598,1.14956685,2.077388357,2.184681534,0.630247304,6.176123412,0.265231432,0.153764931,-0.130146278,0.052597403,0.011396011,0.120798032,-0.144854972,0.903225806,-0.025568182,-0.157201683,0.138024569,0.158774373,-0.038863976,-0.181818182,0.086092715,-0.553191489,0.17699115,0.230452675,0.333333333,0.19,0.49,0.03,0.27,0.01,2,0.106623586,0.429059980769019,0.632030793557976,2.444,0.979,6.481,0.465,0.144705319,-0.164871582,-0.058556514,0.101333333,5.75418328606729,0.174369190486887,0.135651550660993,41.9841549295775,46.5
"37",37,37,41,89.97753143,47.44617462,320.8670654,13.27583218,441.4157715,24.24716377,14.97382927,1.244943261,28.71584892,11.97836494,1.29869628,16.80957031,0.228967041,5.545087337,0.096713394,18.30203438,47.97805786,3.331651211,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,0.763,0.502,0.111685631,11.553,0.289,0.51,0.249,0.485,0.153,0.09,0.267,0.035,0.108089453,0.233297772,0.893655658,0.037777968,0.592346097,17,0.072186837,0.109023019,1.121702733,0.685173323,2.866152799,2.673234512,0.589144649,5.831501845,0.016530655,0.006066306,0.012554986,-0.216444132,0.033539276,0.223660109,0.230878187,0.135215453,0.332417582,0.776187452,0.828875508,-0.651162791,-0.295454545,0.172093023,0.419047619,-0.138613861,-0.010752688,-0.28436019,-0.018518519,0.57,0,0.04,0.36,0.02,1,0.063694268,0.300101447227745,1.61321547741868,2.333,0.965,14.394,0.367,-0.135746606,-0.140641158,-0.44859216,0.268707483,3.47862810022205,0.69572562004441,0.0763819609648786,23.9839357429719,22.6666666666667
"38",38,38,42,90.59474945,47.30292511,324.0668945,13.23464298,441.9187012,24.219244,14.59913826,1.251537681,23.55164719,5.615754128,1.274479508,15.01302624,0.177977636,5.608204365,0.065834992,16.84064484,55.09396744,2.759526014,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,0.763,0.502,0.111685631,11.553,0.289,0.51,0.249,0.485,0.153,0.09,0.267,0.035,0.108089453,0.177557923,0.818046924,0.009898137,0.682531685,14,0.061131387,0.187435598,1.170831313,2.633945476,4.664313273,2.102608175,0.608500008,5.543167591,0.016530655,0.006066306,0.012554986,-0.216444132,0.033539276,0.223660109,0.230878187,0.135215453,0.332417582,0.776187452,0.828875508,-0.651162791,-0.295454545,0.172093023,0.419047619,-0.138613861,-0.010752688,-0.28436019,-0.018518519,0.58,0,0.02,0.36,0.04,2,0.058394161,0.142796593200674,0.907262564496415,2.333,0.965,14.394,0.367,-0.135746606,-0.140641158,-0.44859216,0.268707483,2.85046050913947,0.890768909106084,0.069269086604853,18.9797297297297,16.75
"39",39,39,43,89.25119019,46.68381882,322.0532837,13.95260429,431.8603516,24.68051529,14.18189144,1.26809752,18.57963562,6.886637688,1.305926561,14.01405716,0.164609596,5.712595463,0.063174807,16.89924431,61.37449646,2.53485775,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,0.935,0.327,0.068050465,43.014,0.655,1.127,0.107,0.693,0.113,0.09,0.486,0.04,0.087980781,0.213120593,0.949847143,0.012841214,0.588068321,15,0.042267051,0.287683267,1.149747277,1.105009061,2.907324314,2.099502163,0.629873311,5.061021874,0.663592622,-0.001580966,0.025056676,0.158484065,0.270935961,0.642468257,0.016480447,0.413416537,-0.007246377,-0.299874668,1.220428954,0.753462604,0.200413223,-0.476190476,0.553475936,-0.367816092,0.075471698,0.608856089,-0.174603175,0.87,0,0.02,0.07,0.03,1,0.038424592,0.202357954485605,0.949091441891521,2.485,0.83,7.121,0.42,-0.114285714,-0.011947431,-0.336530403,0.189873418,3.19754945536934,0.319754945536934,0.0422574925564301,21.9950248756219,22
"40",40,40,44,90.1111908,47.3900795,330.3085022,13.77093887,433.0838318,24.53026199,13.29948902,1.09079361,26.7574234,1.862619042,1.011930108,16.29348946,0.208528861,5.301919937,0.059132177,15.99515152,46.6536026,3.008567333,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,0.935,0.327,0.068050465,43.014,0.655,1.127,0.107,0.693,0.113,0.09,0.486,0.04,0.087980781,0.214656248,0.889094136,0.003644875,0.592101695,13,0.029212532,0.417827471,1.15264104,0.924536763,3.222077308,2.160076091,0.648954361,3.670069476,0.663592622,-0.001580966,0.025056676,0.158484065,0.270935961,0.642468257,0.016480447,0.413416537,-0.007246377,-0.299874668,1.220428954,0.753462604,0.200413223,-0.476190476,0.553475936,-0.367816092,0.075471698,0.608856089,-0.174603175,0.87,0,0.02,0.07,0.03,2,0.025402202,-0.190560086114522,1.01244283921018,2.485,0.83,7.121,0.42,-0.114285714,-0.011947431,-0.336530403,0.189873418,2.35073991203871,0.313431988271828,0.0304514734835301,17.9815950920245,17.25
