Date,FilledLI145012A
11/03/1966 12:00:00 AM,5.01
12/03/1966 12:00:00 AM,4.949
13/03/1966 12:00:00 AM,4.581
14/03/1966 12:00:00 AM,4.52
15/03/1966 12:00:00 AM,5.031
16/03/1966 12:00:00 AM,8.1
17/03/1966 12:00:00 AM,8.295
18/03/1966 12:00:00 AM,6.397
19/03/1966 12:00:00 AM,22.625
20/03/1966 12:00:00 AM,172.342
21/03/1966 12:00:00 AM,80.743
22/03/1966 12:00:00 AM,57.498
23/03/1966 12:00:00 AM,47.001
24/03/1966 12:00:00 AM,209.513
25/03/1966 12:00:00 AM,115.889
26/03/1966 12:00:00 AM,255.654
27/03/1966 12:00:00 AM,222.596
28/03/1966 12:00:00 AM,124.098
29/03/1966 12:00:00 AM,51.365
30/03/1966 12:00:00 AM,32.243
31/03/1966 12:00:00 AM,23.581
1/04/1966 12:00:00 AM,17.427
2/04/1966 12:00:00 AM,12.405
3/04/1966 12:00:00 AM,11.488
4/04/1966 12:00:00 AM,10.096
5/04/1966 12:00:00 AM,8.628
6/04/1966 12:00:00 AM,7.37
7/04/1966 12:00:00 AM,6.668
8/04/1966 12:00:00 AM,6.02
9/04/1966 12:00:00 AM,5.082
10/04/1966 12:00:00 AM,4.581
11/04/1966 12:00:00 AM,4.463
12/04/1966 12:00:00 AM,4.064
13/04/1966 12:00:00 AM,3.635
14/04/1966 12:00:00 AM,3.28
15/04/1966 12:00:00 AM,3.183
16/04/1966 12:00:00 AM,2.902
17/04/1966 12:00:00 AM,2.812
18/04/1966 12:00:00 AM,2.553
19/04/1966 12:00:00 AM,2.47
20/04/1966 12:00:00 AM,2.23
21/04/1966 12:00:00 AM,2.066
22/04/1966 12:00:00 AM,1.446
23/04/1966 12:00:00 AM,2.066
24/04/1966 12:00:00 AM,2.23
25/04/1966 12:00:00 AM,2.47
26/04/1966 12:00:00 AM,2.762
27/04/1966 12:00:00 AM,4.269
28/04/1966 12:00:00 AM,4.463
29/04/1966 12:00:00 AM,4.601
30/04/1966 12:00:00 AM,7.444
1/05/1966 12:00:00 AM,7.77
2/05/1966 12:00:00 AM,6.822
3/05/1966 12:00:00 AM,6.591
4/05/1966 12:00:00 AM,6.154
5/05/1966 12:00:00 AM,6.012
6/05/1966 12:00:00 AM,5.533
7/05/1966 12:00:00 AM,5.075
8/05/1966 12:00:00 AM,5.01
9/05/1966 12:00:00 AM,5.01
10/05/1966 12:00:00 AM,4.949
11/05/1966 12:00:00 AM,4.581
12/05/1966 12:00:00 AM,4.52
13/05/1966 12:00:00 AM,4.52
14/05/1966 12:00:00 AM,4.463
15/05/1966 12:00:00 AM,4.118
16/05/1966 12:00:00 AM,4.007
17/05/1966 12:00:00 AM,3.685
18/05/1966 12:00:00 AM,3.631
19/05/1966 12:00:00 AM,3.631
20/05/1966 12:00:00 AM,3.631
21/05/1966 12:00:00 AM,3.631
22/05/1966 12:00:00 AM,3.631
23/05/1966 12:00:00 AM,3.631
24/05/1966 12:00:00 AM,3.581
25/05/1966 12:00:00 AM,3.28
26/05/1966 12:00:00 AM,3.229
27/05/1966 12:00:00 AM,3.183
28/05/1966 12:00:00 AM,2.902
29/05/1966 12:00:00 AM,2.856
30/05/1966 12:00:00 AM,2.856
31/05/1966 12:00:00 AM,2.902
1/06/1966 12:00:00 AM,3.183
2/06/1966 12:00:00 AM,3.229
3/06/1966 12:00:00 AM,3.229
4/06/1966 12:00:00 AM,3.229
5/06/1966 12:00:00 AM,3.229
6/06/1966 12:00:00 AM,3.229
7/06/1966 12:00:00 AM,3.229
8/06/1966 12:00:00 AM,3.391
9/06/1966 12:00:00 AM,5.947
10/06/1966 12:00:00 AM,186.42
11/06/1966 12:00:00 AM,154.733
12/06/1966 12:00:00 AM,76.63
13/06/1966 12:00:00 AM,57.7
14/06/1966 12:00:00 AM,38.913
15/06/1966 12:00:00 AM,25.501
16/06/1966 12:00:00 AM,18.743
17/06/1966 12:00:00 AM,14.558
18/06/1966 12:00:00 AM,11.731
19/06/1966 12:00:00 AM,9.534
20/06/1966 12:00:00 AM,8.534
21/06/1966 12:00:00 AM,7.37
22/06/1966 12:00:00 AM,6.668
23/06/1966 12:00:00 AM,6.154
24/06/1966 12:00:00 AM,6.012
25/06/1966 12:00:00 AM,5.598
26/06/1966 12:00:00 AM,5.464
27/06/1966 12:00:00 AM,5.075
28/06/1966 12:00:00 AM,4.949
29/06/1966 12:00:00 AM,4.581
30/06/1966 12:00:00 AM,4.52
1/07/1966 12:00:00 AM,4.52
2/07/1966 12:00:00 AM,4.52
3/07/1966 12:00:00 AM,4.52
4/07/1966 12:00:00 AM,4.52
5/07/1966 12:00:00 AM,4.52
6/07/1966 12:00:00 AM,4.52
7/07/1966 12:00:00 AM,4.52
8/07/1966 12:00:00 AM,4.463
9/07/1966 12:00:00 AM,4.064
10/07/1966 12:00:00 AM,3.685
11/07/1966 12:00:00 AM,3.685
12/07/1966 12:00:00 AM,4.064
13/07/1966 12:00:00 AM,4.463
14/07/1966 12:00:00 AM,4.463
15/07/1966 12:00:00 AM,4.118
16/07/1966 12:00:00 AM,4.007
17/07/1966 12:00:00 AM,3.685
18/07/1966 12:00:00 AM,3.581
19/07/1966 12:00:00 AM,3.28
20/07/1966 12:00:00 AM,3.229
21/07/1966 12:00:00 AM,3.229
22/07/1966 12:00:00 AM,3.183
23/07/1966 12:00:00 AM,2.902
24/07/1966 12:00:00 AM,2.856
25/07/1966 12:00:00 AM,2.856
26/07/1966 12:00:00 AM,2.812
27/07/1966 12:00:00 AM,2.553
28/07/1966 12:00:00 AM,2.51
29/07/1966 12:00:00 AM,2.51
30/07/1966 12:00:00 AM,2.51
31/07/1966 12:00:00 AM,2.51
1/08/1966 12:00:00 AM,2.51
2/08/1966 12:00:00 AM,2.51
3/08/1966 12:00:00 AM,2.51
4/08/1966 12:00:00 AM,2.51
5/08/1966 12:00:00 AM,2.47
6/08/1966 12:00:00 AM,2.106
7/08/1966 12:00:00 AM,1.322
8/08/1966 12:00:00 AM,1.198
9/08/1966 12:00:00 AM,1.198
10/08/1966 12:00:00 AM,1.808
11/08/1966 12:00:00 AM,5.067
12/08/1966 12:00:00 AM,3.259
13/08/1966 12:00:00 AM,3.409
14/08/1966 12:00:00 AM,7.386
15/08/1966 12:00:00 AM,11.486
16/08/1966 12:00:00 AM,9.398
17/08/1966 12:00:00 AM,6.855
18/08/1966 12:00:00 AM,5.541
19/08/1966 12:00:00 AM,29.851
20/08/1966 12:00:00 AM,770.293
21/08/1966 12:00:00 AM,1629.898
22/08/1966 12:00:00 AM,383.713
23/08/1966 12:00:00 AM,169.489
24/08/1966 12:00:00 AM,112.529
25/08/1966 12:00:00 AM,74.397
26/08/1966 12:00:00 AM,50.738
27/08/1966 12:00:00 AM,43.669
28/08/1966 12:00:00 AM,36.783
29/08/1966 12:00:00 AM,31.561
30/08/1966 12:00:00 AM,27.779
31/08/1966 12:00:00 AM,46.78
1/09/1966 12:00:00 AM,102.094
2/09/1966 12:00:00 AM,347.594
3/09/1966 12:00:00 AM,164.485
4/09/1966 12:00:00 AM,84.979
5/09/1966 12:00:00 AM,54.458
6/09/1966 12:00:00 AM,42.504
7/09/1966 12:00:00 AM,35.211
8/09/1966 12:00:00 AM,31.151
9/09/1966 12:00:00 AM,26.836
10/09/1966 12:00:00 AM,23.917
11/09/1966 12:00:00 AM,22.364
12/09/1966 12:00:00 AM,20.888
13/09/1966 12:00:00 AM,18.7
14/09/1966 12:00:00 AM,17.65
15/09/1966 12:00:00 AM,25.808
16/09/1966 12:00:00 AM,68.494
17/09/1966 12:00:00 AM,62.284
18/09/1966 12:00:00 AM,48.497
19/09/1966 12:00:00 AM,36.714
20/09/1966 12:00:00 AM,27.481
21/09/1966 12:00:00 AM,23.917
22/09/1966 12:00:00 AM,22.205
23/09/1966 12:00:00 AM,19.932
24/09/1966 12:00:00 AM,18.689
25/09/1966 12:00:00 AM,18.388
26/09/1966 12:00:00 AM,17.36
27/09/1966 12:00:00 AM,16.361
28/09/1966 12:00:00 AM,16.219
29/09/1966 12:00:00 AM,16.509
30/09/1966 12:00:00 AM,18.724
1/10/1966 12:00:00 AM,23
2/10/1966 12:00:00 AM,29.607
3/10/1966 12:00:00 AM,26.664
4/10/1966 12:00:00 AM,22.564
5/10/1966 12:00:00 AM,19.932
6/10/1966 12:00:00 AM,18.541
7/10/1966 12:00:00 AM,17.36
8/10/1966 12:00:00 AM,16.094
9/10/1966 12:00:00 AM,14.228
10/10/1966 12:00:00 AM,13.211
11/10/1966 12:00:00 AM,12.966
12/10/1966 12:00:00 AM,12.136
13/10/1966 12:00:00 AM,12.245
14/10/1966 12:00:00 AM,19.218
15/10/1966 12:00:00 AM,29.129
16/10/1966 12:00:00 AM,26.664
17/10/1966 12:00:00 AM,22.564
18/10/1966 12:00:00 AM,19.932
19/10/1966 12:00:00 AM,18.541
20/10/1966 12:00:00 AM,17.36
21/10/1966 12:00:00 AM,16.094
22/10/1966 12:00:00 AM,14.353
23/10/1966 12:00:00 AM,13.962
24/10/1966 12:00:00 AM,13.091
25/10/1966 12:00:00 AM,12.25
26/10/1966 12:00:00 AM,11.908
27/10/1966 12:00:00 AM,10.271
28/10/1966 12:00:00 AM,8.183
29/10/1966 12:00:00 AM,7.271
30/10/1966 12:00:00 AM,8.026
31/10/1966 12:00:00 AM,15.357
1/11/1966 12:00:00 AM,12.457
2/11/1966 12:00:00 AM,9.843
3/11/1966 12:00:00 AM,9.516
4/11/1966 12:00:00 AM,9.234
5/11/1966 12:00:00 AM,7.222
6/11/1966 12:00:00 AM,10.859
7/11/1966 12:00:00 AM,38.685
8/11/1966 12:00:00 AM,453.994
9/11/1966 12:00:00 AM,1215.596
10/11/1966 12:00:00 AM,419.093
11/11/1966 12:00:00 AM,202.323
12/11/1966 12:00:00 AM,201.807
13/11/1966 12:00:00 AM,114.117
14/11/1966 12:00:00 AM,74.078
15/11/1966 12:00:00 AM,52.84
16/11/1966 12:00:00 AM,36.123
17/11/1966 12:00:00 AM,28.399
18/11/1966 12:00:00 AM,24.106
19/11/1966 12:00:00 AM,22.051
20/11/1966 12:00:00 AM,19.013
21/11/1966 12:00:00 AM,18.246
22/11/1966 12:00:00 AM,16.373
23/11/1966 12:00:00 AM,15.268
24/11/1966 12:00:00 AM,15.132
25/11/1966 12:00:00 AM,15.132
26/11/1966 12:00:00 AM,15.132
27/11/1966 12:00:00 AM,15.001
28/11/1966 12:00:00 AM,14.217
29/11/1966 12:00:00 AM,14.087
30/11/1966 12:00:00 AM,14.087
1/12/1966 12:00:00 AM,13.962
2/12/1966 12:00:00 AM,13.211
3/12/1966 12:00:00 AM,13.085
4/12/1966 12:00:00 AM,13.085
5/12/1966 12:00:00 AM,13.085
6/12/1966 12:00:00 AM,13.085
7/12/1966 12:00:00 AM,13.211
8/12/1966 12:00:00 AM,13.836
9/12/1966 12:00:00 AM,13.211
10/12/1966 12:00:00 AM,13.085
11/12/1966 12:00:00 AM,13.085
12/12/1966 12:00:00 AM,13.085
13/12/1966 12:00:00 AM,13.085
14/12/1966 12:00:00 AM,13.085
15/12/1966 12:00:00 AM,12.966
16/12/1966 12:00:00 AM,12.25
17/12/1966 12:00:00 AM,12.131
18/12/1966 12:00:00 AM,12.25
19/12/1966 12:00:00 AM,12.966
20/12/1966 12:00:00 AM,13.085
21/12/1966 12:00:00 AM,12.966
22/12/1966 12:00:00 AM,12.25
23/12/1966 12:00:00 AM,12.131
24/12/1966 12:00:00 AM,12.131
25/12/1966 12:00:00 AM,12.017
26/12/1966 12:00:00 AM,11.33
27/12/1966 12:00:00 AM,11.216
28/12/1966 12:00:00 AM,11.216
29/12/1966 12:00:00 AM,11.216
30/12/1966 12:00:00 AM,11.33
31/12/1966 12:00:00 AM,12.017
1/01/1967 12:00:00 AM,12.25
2/01/1967 12:00:00 AM,12.966
3/01/1967 12:00:00 AM,13.085
4/01/1967 12:00:00 AM,13.211
5/01/1967 12:00:00 AM,13.962
6/01/1967 12:00:00 AM,14.087
7/01/1967 12:00:00 AM,13.962
8/01/1967 12:00:00 AM,13.211
9/01/1967 12:00:00 AM,12.966
10/01/1967 12:00:00 AM,12.136
11/01/1967 12:00:00 AM,11.33
12/01/1967 12:00:00 AM,11.216
13/01/1967 12:00:00 AM,11.003
14/01/1967 12:00:00 AM,9.536
15/01/1967 12:00:00 AM,7.996
16/01/1967 12:00:00 AM,6.853
17/01/1967 12:00:00 AM,7.099
18/01/1967 12:00:00 AM,6.681
19/01/1967 12:00:00 AM,9.288
20/01/1967 12:00:00 AM,24.236
21/01/1967 12:00:00 AM,19.053
22/01/1967 12:00:00 AM,13.647
23/01/1967 12:00:00 AM,12.25
24/01/1967 12:00:00 AM,11.908
25/01/1967 12:00:00 AM,10.366
26/01/1967 12:00:00 AM,8.746
27/01/1967 12:00:00 AM,7.287
28/01/1967 12:00:00 AM,13.314
29/01/1967 12:00:00 AM,92.124
30/01/1967 12:00:00 AM,107.368
31/01/1967 12:00:00 AM,70.223
1/02/1967 12:00:00 AM,37.22
2/02/1967 12:00:00 AM,38.39
3/02/1967 12:00:00 AM,33.524
4/02/1967 12:00:00 AM,20.92
5/02/1967 12:00:00 AM,14.328
6/02/1967 12:00:00 AM,10.708
7/02/1967 12:00:00 AM,9.427
8/02/1967 12:00:00 AM,7.996
9/02/1967 12:00:00 AM,6.691
10/02/1967 12:00:00 AM,5.97
11/02/1967 12:00:00 AM,5.375
12/02/1967 12:00:00 AM,4.817
13/02/1967 12:00:00 AM,4.295
14/02/1967 12:00:00 AM,3.986
15/02/1967 12:00:00 AM,39.191
16/02/1967 12:00:00 AM,68.624
17/02/1967 12:00:00 AM,61.144
18/02/1967 12:00:00 AM,17.655
19/02/1967 12:00:00 AM,19.159
20/02/1967 12:00:00 AM,18.906
21/02/1967 12:00:00 AM,668.423
22/02/1967 12:00:00 AM,385.344
23/02/1967 12:00:00 AM,1047.583
24/02/1967 12:00:00 AM,248.343
25/02/1967 12:00:00 AM,241.72
26/02/1967 12:00:00 AM,163.435
27/02/1967 12:00:00 AM,131.423
28/02/1967 12:00:00 AM,127.364
1/03/1967 12:00:00 AM,127.364
2/03/1967 12:00:00 AM,316.575
3/03/1967 12:00:00 AM,384.58
4/03/1967 12:00:00 AM,383.188
5/03/1967 12:00:00 AM,271.726
6/03/1967 12:00:00 AM,250.731
7/03/1967 12:00:00 AM,248.603
8/03/1967 12:00:00 AM,514.308
9/03/1967 12:00:00 AM,1969.095
10/03/1967 12:00:00 AM,640.331
11/03/1967 12:00:00 AM,296.59
12/03/1967 12:00:00 AM,290.809
13/03/1967 12:00:00 AM,219.973
14/03/1967 12:00:00 AM,155.027
15/03/1967 12:00:00 AM,118.422
16/03/1967 12:00:00 AM,99.61
17/03/1967 12:00:00 AM,89.896
18/03/1967 12:00:00 AM,1689.129
19/03/1967 12:00:00 AM,7138.26
20/03/1967 12:00:00 AM,3783.883
21/03/1967 12:00:00 AM,936.287
22/03/1967 12:00:00 AM,471.151
23/03/1967 12:00:00 AM,315.22
24/03/1967 12:00:00 AM,233.839
25/03/1967 12:00:00 AM,179.484
26/03/1967 12:00:00 AM,140.589
27/03/1967 12:00:00 AM,113.551
28/03/1967 12:00:00 AM,93.43
29/03/1967 12:00:00 AM,78.088
30/03/1967 12:00:00 AM,65.568
31/03/1967 12:00:00 AM,59.328
1/04/1967 12:00:00 AM,52.934
2/04/1967 12:00:00 AM,48.02
3/04/1967 12:00:00 AM,42.642
4/04/1967 12:00:00 AM,39.961
