"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",0.080382704839157,0.071008,0.0183217523029735,0.17725,0.0937798223123498,0.0183217523029735
"value6","flowering.duration",0.0405884720336971,0.096086,0.0100445371918106,0.20103,0.056823860847176,0.0177176615184749
"value5","maximum.height",1.82060193559882e-05,0.3575,1.56952861044069e-07,0.53432,6.37210677459586e-05,5.49335013654242e-07
"value4","seed.mass",0,1,0,1,0,0
"value3","RaoQ",0.00890187199517822,0.15197,0.0159262400814904,0.18286,0.0207710346554158,0.0183217523029735
"value2","FDiv",0.138575782013696,0.051481,0.0112386334318013,0.19664,0.138575782013696,0.0177176615184749
"value1","FDis",0.0124905613336465,0.13957,0.0126554725131964,0.19197,0.0218584823338813,0.0177176615184749
